ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,1.0439946532448603e-06,1.186987855299331e-06,7.1849290187583304e-06,5.161945631523451e-06,0,0
1097511572,1.3224974870778063e-06,1.0749901597211614e-06,6.432933577477622e-06,2.927972497311142e-06,0,0
1097629073,4.074989918765826e-07,6.689978194393872e-07,3.677987951988689e-06,4.127319279979505e-06,0,0
1097746574,6.776646687279844e-07,5.809939574682002e-07,2.957970970569688e-06,5.882942165378004e-06,0,0
1097864075,3.066495125726689e-06,6.718001920451158e-07,4.982190370399178e-06,5.299588834605773e-06,0,0
1097981576,6.094999886219635e-07,7.606648785444159e-07,3.5816545942880926e-06,1.9366606484833572e-06,0,0
1098099077,7.139976256307947e-07,1.5817455752138539e-06,4.995589747142704e-06,2.993794456939547e-06,0,0
1098216578,5.94997222364408e-07,6.561983873366317e-07,4.842591216428717e-06,3.94719256294753e-06,0,0
1098334079,6.124979634085651e-07,6.373305321408806e-07,4.506651278414565e-06,4.77431710224613e-06,0,0
1098451580,5.403329334174136e-07,6.454994494952941e-07,3.503993043193815e-06,2.6124933527471085e-06,0,0
1098569081,5.689995523097969e-07,8.193307292347411e-07,4.216238640302867e-06,2.317326568034614e-06,0,0
1098686582,5.669989633643979e-07,8.129980099039012e-07,5.3217376004968825e-06,2.63824290236983e-06,0,0
1098804083,6.727497300377064e-07,9.079967714887596e-07,7.555922749589428e-06,2.9829709109326186e-06,0,0
1098921584,5.45165980207557e-07,7.663983657695742e-07,3.615995144129697e-06,2.4453949868252995e-06,0,0
1099039085,5.802004344566301e-07,9.317477077560425e-07,6.895643364744621e-06,3.562322439347724e-06,0,0
1099156586,7.015702179230145e-07,9.434273809095621e-07,5.632156000773023e-06,3.863392616321827e-06,0,0
1099274087,4.799983681190087e-07,8.081236858954648e-07,5.08488342763338e-06,3.520995652052465e-06,0,0
1099391588,6.817491576131806e-07,7.759980389463023e-07,4.4552386985134186e-06,6.371233654941792e-06,0,0
1099509089,6.932496464332335e-07,7.125000060977039e-07,4.883237649718064e-06,2.915794164528801e-06,0,0
1099626590,5.828569025029647e-07,7.201997652955174e-07,3.7025920918621382e-06,2.453994288327398e-06,0,0
1099744091,6.107128664346317e-07,8.144986724101702e-07,5.180236949557274e-06,3.1823222676990046e-06,0,0
1099861592,6.341647390831827e-07,9.388322234721481e-07,5.035705938206082e-06,4.200493066656889e-06,0,0
1099979093,5.114608083014439e-07,8.310658730099684e-07,4.722782775028348e-06,4.31574703330167e-06,0,0
1100096594,5.73099323328852e-07,8.819982101985173e-07,5.05349096121173e-06,4.025992247041224e-06,0,0
1100214095,6.24198062154342e-07,8.394159196635548e-07,6.457658653268403e-06,3.5696628958593756e-06,0,0
1100331596,6.804991726058492e-07,7.683325675458764e-07,3.963325741214041e-06,3.1697097579350736e-06,0,0
1100449097,5.698875342629431e-07,8.259986798367011e-07,4.929118609171354e-06,4.562849924037765e-06,0,0
1100566598,5.935712544948908e-07,1.0527991297478643e-06,5.881735735245383e-06,5.658984668754227e-06,0,0
1100684099,6.101106001413234e-07,1.0154265166248061e-06,5.291795043021756e-06,5.685771761745688e-06,0,0
1100801600,6.453739051765831e-07,8.235707023549451e-07,7.386846168078911e-06,4.916279060247959e-06,0,0
1100919101,4.532217257468625e-07,7.527265654462006e-07,4.552579559447803e-06,3.00463339984794e-06,0,0
1101036602,5.356639152866185e-07,9.569946440627115e-07,5.476980665347199e-06,4.040653212404653e-06,0,0
1101154103,6.985709685368385e-07,1.3212469349892487e-06,6.128155992005653e-06,4.2575915699281956e-06,0,0
1101271604,6.318315858968232e-07,9.431979614289488e-07,5.264657089125822e-06,4.855738236663791e-06,0,0
1101389105,8.136652024575863e-07,7.524957828633746e-07,5.353471869036325e-06,2.8403935665742143e-06,0,0
1101506606,5.35331327223474e-07,7.253984266135288e-07,3.5735925317448317e-06,2.7274932133184335e-06,0,0
1101624107,5.509998506673325e-07,9.236350164532431e-07,6.907447563026824e-06,3.4586120379613012e-06,0,0
1101741608,6.138174162107164e-07,7.741105025429041e-07,4.464895656197141e-06,3.067397326377407e-06,0,0
1101859109,5.161990564977444e-07,7.763998771030081e-07,6.188587568569363e-06,3.230991859452118e-06,0,0
1101976610,5.317483904410931e-07,7.097988046879634e-07,4.714488605634322e-06,3.2363918608998884e-06,0,0
1102094111,4.933315382250496e-07,7.735547008427115e-07,4.003496085385339e-06,3.453422846725548e-06,0,0
1102211612,8.706636517526659e-07,6.693300870628762e-07,5.8249852267204275e-06,4.570190094496593e-06,0,0
1102329113,5.771978661543787e-07,1.2654987663785428e-06,5.139086210887031e-06,3.943269442912255e-06,0,0
1102446614,6.848875545561189e-07,6.939982016340484e-07,4.8838250073725805e-06,2.924657214272234e-06,0,0
1102564115,5.994984968074762e-07,1.935996026713578e-06,1.1123978345597539e-05,1.3228966633044739e-05,0,0
1102681616,5.714982332559995e-07,8.047480040891335e-07,5.055486420664912e-06,3.4224909471308998e-06,0,0
1102799117,7.40748840912684e-07,9.407480448239447e-07,6.3023227244576795e-06,3.6335935962080668e-06,0,0
1102916618,8.147972114256696e-07,1.103498076852323e-06,9.017476452708677e-06,5.215987277918743e-06,0,0
1103034119,6.267485125197773e-07,7.29996815425753e-07,4.498478364761152e-06,2.0109818151660054e-06,0,0
1103151620,6.253322907770731e-07,9.313313300032154e-07,4.27999201583409e-06,3.3049930900627586e-06,0,0
1103269121,8.496661178503075e-07,8.334967949876144e-07,5.952469360594132e-06,4.054479823263544e-06,0,0
1103386622,6.403323155415114e-07,7.655543901152835e-07,4.222440068262836e-06,3.0921966755102405e-06,0,0
1103504123,5.67666348559264e-07,9.451983357789134e-07,7.309703457389661e-06,3.7621604003726654e-06,0,0
1103621624,6.441111122940558e-07,8.512848736650623e-07,5.5907459780047775e-06,5.2187652950522085e-06,0,0
1103739125,8.989946379412789e-07,7.454963466357112e-07,5.467587449536993e-06,5.052988044965081e-06,0,0
1103856626,6.061430518699729e-07,8.759980788998771e-07,4.317565270200095e-06,6.945321067691608e-06,0,0
1103974127,7.359970391392607e-07,9.67987359096179e-07,4.881951392578026e-06,0.0,0,0
1104091628,6.98747571093283e-07,7.797487857195469e-07,4.943389221236559e-06,4.014192357042389e-06,0,0
1104209129,3.7233012523058866e-07,8.093984616734449e-07,3.773491359885094e-06,2.9631940232024433e-06,0,0
1104326630,4.7329984190702854e-07,7.546994040232947e-07,4.119722830031147e-06,3.543695951216338e-06,0,0
1104444131,5.966255048444055e-07,7.988315120435556e-07,5.194421372020512e-06,4.078392368246875e-06,0,0
1104561632,8.776630996460174e-07,8.50497292204495e-07,4.407984771416185e-06,3.3569895366204647e-06,0,0
1104679133,6.049974969398358e-07,8.761988949283965e-07,4.677991194501896e-06,5.009189212320444e-06,0,0
1104796634,6.219935686280122e-07,8.789970207622139e-07,5.0429755683113584e-06,6.60198188835272e-06,0,0
1104914135,0.0,7.716636644752367e-07,4.232984022215676e-06,6.014646674963672e-06,0,0
1105031636,6.339983106567407e-07,8.769915051529335e-07,3.997960486194261e-06,3.860962850253161e-06,0,0
1105149137,2.28448829229164e-06,7.47331730660251e-07,5.415970213461035e-06,5.969980932715609e-06,0,0
1105266638,0.0,0.0,6.1409377664633236e-06,0.0,0,0
1105384139,8.229935256990657e-07,0.0,0.0,0.0,0,0
1105501640,6.254982156744459e-07,1.2559887093248993e-06,6.2109390546565e-06,4.605476243456537e-06,0,0
1105619141,0.0,0.0,0.0,0.0,0,0
1105736642,0.0,0.0,0.0,0.0,0,0
1105854143,3.2799688927849603e-07,1.0004955581439403e-06,5.432943238845253e-06,4.691977852034117e-06,0,0
1105971644,7.609920729043296e-07,0.0,0.0,0.0,0,0
1106089145,5.504980195884236e-07,1.0729946563055767e-06,6.2129673495753925e-06,6.9399664854525e-06,0,0
1106206646,9.349912212772354e-07,0.0,0.0,0.0,0,0
1106324147,6.779960543595247e-07,0.0,0.0,0.0,0,0
1106441648,0.0,7.489942457692343e-07,2.251986752136783e-06,4.2354792778555054e-06,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
