ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,1.7462519129647296e-05,9.986421968467328e-06,4.257532549859671e-05,2.1105945951647432e-05,0,0
1097511572,1.638773431134066e-05,1.0104966649847576e-05,4.3268004712850254e-05,2.7766215582960512e-05,0,0
1097629073,1.6960607091450482e-05,1.0398846545168274e-05,4.3077454901649255e-05,2.7929996029852834e-05,0,0
1097746574,1.5505668526506073e-05,1.0375654615576977e-05,4.0113546903979176e-05,1.769110185793462e-05,0,0
1097864075,2.1329828978385596e-05,1.0295806402031529e-05,4.265673808316798e-05,2.2228331144046752e-05,0,0
1097981576,1.9451434045123527e-05,1.017746440598284e-05,4.345935926059539e-05,2.0576508650253747e-05,0,0
1098099077,1.6631023581327728e-05,1.0125251819561606e-05,4.430412073794287e-05,2.6612781333748113e-05,0,0
1098216578,2.3333863918598953e-05,1.0065188151923633e-05,4.284575236338684e-05,2.340692338827522e-05,0,0
1098334079,1.686739793710258e-05,1.0495598250525386e-05,4.930722011193626e-05,3.177682557123833e-05,0,0
1098451580,2.2234988166589605e-05,1.0270081784416712e-05,4.640563807551275e-05,3.439995150131201e-05,0,0
1098569081,2.1666671208040414e-05,1.130462606035759e-05,4.7281957150661636e-05,2.850028331640343e-05,0,0
1098686582,1.5491686380330395e-05,1.008960748843757e-05,4.702988171912048e-05,2.0899564560345634e-05,0,0
1098804083,1.664429938380594e-05,1.0331628076377265e-05,4.73238056541288e-05,2.576973115891944e-05,0,0
1098921584,1.711990571456557e-05,1.0470737305705967e-05,4.926771323549192e-05,2.2799588198845377e-05,0,0
1099039085,1.8975912141550632e-05,1.0792875666271843e-05,4.973014384982273e-05,2.695222881957693e-05,0,0
1099156586,1.6166684749942933e-05,1.0369920542420984e-05,4.891714065971975e-05,3.0517025995792967e-05,0,0
1099274087,2.2773465385662943e-05,1.0413541561639636e-05,4.8163366404559735e-05,2.616312163838159e-05,0,0
1099391588,1.7286679703739094e-05,1.0312096399515341e-05,4.61272583671849e-05,2.489581017668772e-05,0,0
1099509089,1.6209051316473013e-05,1.0296784265324367e-05,4.6135230008315445e-05,2.1595783627810972e-05,0,0
1099626590,1.788823193602058e-05,1.0969790607247173e-05,5.147739668864643e-05,2.7980757184767156e-05,0,0
1099744091,1.7232635415675856e-05,1.034563326101198e-05,4.848647876157767e-05,2.5320262926826322e-05,0,0
1099861592,1.6602263378326176e-05,1.0623107627889843e-05,4.8393921163121146e-05,3.161126433368488e-05,0,0
1099979093,2.002530756144753e-05,1.0598452656875308e-05,5.0042541015185674e-05,2.8313945978700577e-05,0,0
1100096594,1.6584771696923206e-05,1.0498949326716348e-05,5.3316136095402284e-05,3.7019407947511186e-05,0,0
1100214095,2.147997861423345e-05,1.0983049486264287e-05,4.9061566777341426e-05,4.6320485659642815e-05,0,0
1100331596,1.6928316338636985e-05,1.0538718858158163e-05,5.2015948414772426e-05,2.4810636838387693e-05,0,0
1100449097,1.7313983274233704e-05,1.0431483345037648e-05,5.21406800480102e-05,3.909987830180226e-05,0,0
1100566598,1.8201200074320898e-05,1.1653441866264993e-05,4.745048177042937e-05,2.3558920648991925e-05,0,0
1100684099,1.6485232356314848e-05,1.116764899165337e-05,4.537618746622806e-05,2.974041063825959e-05,0,0
1100801600,1.6125205611490005e-05,9.782536801762995e-06,3.7593507614866344e-05,2.6809069916717195e-05,0,0
1100919101,1.935460176030716e-05,1.0554902006572019e-05,4.5077903829384195e-05,3.4035178543153584e-05,0,0
1101036602,1.93604471187063e-05,1.0867044189659606e-05,4.45765503824048e-05,2.8734960605650376e-05,0,0
1101154103,1.6784677658594404e-05,1.0117560823804834e-05,4.549960106961436e-05,3.0391803213261355e-05,0,0
1101271604,1.8813017827050167e-05,1.0651536800835877e-05,4.69560643809893e-05,3.0934006573384915e-05,0,0
1101389105,2.0343882592517847e-05,1.2086581133354159e-05,4.910516042818265e-05,3.523022982882578e-05,0,0
1101506606,1.5428660497631874e-05,1.032923567990848e-05,4.6045393649452076e-05,3.2718196172711844e-05,0,0
1101624107,2.0166462187388994e-05,1.0625611720087419e-05,4.890402052483595e-05,2.874983497602651e-05,0,0
1101741608,1.6737054641762207e-05,1.0860014943994414e-05,4.703165769649567e-05,3.0672386240840615e-05,0,0
1101859109,1.6295828201761673e-05,1.0382265811701709e-05,4.7858819205391594e-05,2.8571341927852868e-05,0,0
1101976610,1.6082889637669786e-05,1.0455837563213993e-05,4.496045183550652e-05,2.6709866908849497e-05,0,0
1102094111,1.7784654301482272e-05,1.0405502879004171e-05,4.5793155760369175e-05,3.5319383127090585e-05,0,0
1102211612,1.5509135675435733e-05,1.0701077725122682e-05,4.520422982232809e-05,2.9458349484062798e-05,0,0
1102329113,1.672537306942283e-05,1.0562067694330444e-05,4.523378285620941e-05,2.9464028309641975e-05,0,0
1102446614,1.5882005446189504e-05,1.0476396738193634e-05,4.626358207680455e-05,3.386127275286622e-05,0,0
1102564115,1.6858577049350683e-05,1.0774725103387058e-05,4.3453819228254596e-05,2.6814541885728927e-05,0,0
1102681616,1.6108418305087087e-05,1.0364921326724866e-05,4.39442772880328e-05,2.6949408304856277e-05,0,0
1102799117,1.67636811530996e-05,1.0238875147672948e-05,4.219551067681055e-05,2.1168054610506124e-05,0,0
1102916618,1.6577404801579983e-05,1.0629923514621887e-05,4.482927451357676e-05,3.3684759186732514e-05,0,0
1103034119,1.8881192520276533e-05,1.0288170240878112e-05,4.310025080989783e-05,3.324227010500742e-05,0,0
1103151620,1.552705972514234e-05,1.0472160043791077e-05,4.601179249694887e-05,2.7124313883916414e-05,0,0
1103269121,1.6635812926964763e-05,1.0949077190599774e-05,4.7508368214518554e-05,3.040244750125309e-05,0,0
1103386622,1.9084182868497782e-05,1.0602543330051436e-05,4.5776692107610484e-05,3.458134180818252e-05,0,0
1103504123,1.984526488282142e-05,1.0632701070468937e-05,4.566635116001002e-05,2.8054783586506166e-05,0,0
1103621624,1.8661818094419912e-05,1.0719412958543937e-05,4.534286894286724e-05,3.6836526818583865e-05,0,0
1103739125,1.6362424693858352e-05,1.0777581697444048e-05,4.2415527140126166e-05,2.8721339653278486e-05,0,0
1103856626,2.3248928800712378e-05,1.066448701181127e-05,5.0238094583076806e-05,3.1945473239207777e-05,0,0
1103974127,1.639326370656756e-05,1.1115080594378765e-05,4.5308735257317453e-05,3.801966080788731e-05,0,0
1104091628,1.615148898716847e-05,1.0190499143805431e-05,4.338417676025513e-05,2.5277188026929542e-05,0,0
1104209129,1.6643054560811147e-05,1.0792896746050879e-05,4.518708483744906e-05,2.425817949517229e-05,0,0
1104326630,2.4454567900507266e-05,1.1344683756551382e-05,5.0042193181593795e-05,3.02640816210689e-05,0,0
1104444131,2.1558616332190107e-05,1.1233638627032805e-05,4.94551133854845e-05,4.2714251010460455e-05,0,0
1104561632,2.1627568942382994e-05,1.042128204243254e-05,4.986147062515522e-05,2.8192207410242204e-05,0,0
1104679133,1.549638148844974e-05,1.0235560100859196e-05,4.395468629854259e-05,2.68756879038127e-05,0,0
1104796634,1.6757327467544206e-05,1.0055170801349709e-05,4.386210525028767e-05,1.953635680141548e-05,0,0
1104914135,2.377298653743641e-05,1.1475416651636811e-05,4.4826072989276983e-05,2.9565085696235605e-05,0,0
1105031636,1.8414298764596925e-05,1.2075846959771863e-05,4.4648282398595465e-05,2.577423095449341e-05,0,0
1105149137,2.0853407226120966e-05,1.0830752019886489e-05,4.752800378685673e-05,3.615444565133069e-05,0,0
1105266638,2.1132767570496207e-05,1.425840353116944e-05,4.8659845130485244e-05,4.814283108911712e-05,0,0
1105384139,1.5735903495164525e-05,1.056782944638647e-05,4.233240184639314e-05,2.8173148597393995e-05,0,0
1105501640,2.2539715440604735e-05,1.1694745557318765e-05,4.116415173218833e-05,3.462876947532944e-05,0,0
1105619141,1.619310515181979e-05,1.106308236081838e-05,3.8397542537306725e-05,2.90961631574549e-05,0,0
1105736642,1.503669575200415e-05,1.0133035931235154e-05,3.793513407565123e-05,2.6385456577287878e-05,0,0
1105854143,1.5410828171979304e-05,9.980216845988217e-06,3.825781787279848e-05,2.7777005651200948e-05,0,0
1105971644,1.5149428367408479e-05,1.0426407317386405e-05,3.6218031715879825e-05,2.378782356809978e-05,0,0
1106089145,1.717086459689258e-05,1.0339804805732034e-05,3.584618588049759e-05,2.5037306711171236e-05,0,0
1106206646,1.6689753975865763e-05,1.1416625121677567e-05,3.383551485370164e-05,2.2854073339682046e-05,0,0
1106324147,1.7185448834191265e-05,1.0698463577352212e-05,3.1744735633848704e-05,2.3510438127909468e-05,0,0
1106441648,1.5119774571497977e-05,9.662930039147282e-06,2.4603873468386824e-05,1.7846693008366094e-05,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
