ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,2.5063728164854463e-06,1.4586239515506403e-06,2.930247749371264e-06,4.333745022219042e-06,0,0
1096219061,2.800873812933943e-06,1.2354611300460084e-06,3.434073330094349e-06,3.441458701236214e-06,0,0
1096336562,1.5754233787237095e-06,1.149903001699673e-06,3.108386198147571e-06,2.9847089237468004e-06,0,0
1096454063,1.277971593573543e-06,1.1099993367756294e-06,2.4348142360710025e-06,2.71844322016008e-06,0,0
1096571564,1.1851397655602947e-06,1.0496340034357092e-06,2.132413623698534e-06,2.491804049792307e-06,0,0
1096689065,1.6044747635217711e-06,1.3455505316984287e-06,3.2419995023995964e-06,3.6581712133262594e-06,0,0
1096806566,1.2102288138123021e-06,1.3630123363955235e-06,2.79122479367014e-06,2.873962107519815e-06,0,0
1096924067,1.5119576806227898e-06,1.2360004291792898e-06,3.011635518003083e-06,3.256399679817677e-06,0,0
1097041568,1.3948293058800072e-06,1.2670903265834987e-06,3.671725790697757e-06,3.624089449182261e-06,0,0
1097159069,1.7314761118069028e-06,1.4692075911832433e-06,3.937727583135168e-06,4.486457303128196e-06,0,0
1097276570,1.4425452489686442e-06,1.3945273112273185e-06,4.368399094742331e-06,4.305544952579403e-06,0,0
1097394071,1.413499536480993e-06,1.3884840759239997e-06,3.4497805084649567e-06,3.6324525476169617e-06,0,0
1097511572,1.1524281486070005e-06,1.4015805241169263e-06,3.3500332601446072e-06,4.377722653690756e-06,0,0
1097629073,1.2732921067464824e-06,1.5080748888263158e-06,3.2320377484520774e-06,3.6846339873699793e-06,0,0
1097746574,1.400229102052098e-06,1.4184540113156498e-06,3.7239400480448814e-06,4.095720996880507e-06,0,0
1097864075,1.3689702695775187e-06,1.4187167964051056e-06,3.2393581622056714e-06,3.577576996018085e-06,0,0
1097981576,1.1960844187822278e-06,1.439965905842384e-06,3.1748387218008746e-06,3.425700802389789e-06,0,0
1098099077,1.4284117954252676e-06,1.5002101537405922e-06,3.21253078081228e-06,3.3111713206791124e-06,0,0
1098216578,1.5826929279795807e-06,1.6775408758508662e-06,4.2120772161341194e-06,4.590037063503994e-06,0,0
1098334079,1.6455709589098265e-06,1.6831269939937859e-06,3.2064341244073843e-06,3.91096839556496e-06,0,0
1098451580,1.4019637025375e-06,1.7225669741215796e-06,4.665806248147447e-06,5.701235358492411e-06,0,0
1098569081,1.5621719111553926e-06,1.6142533618810744e-06,3.6665746390841364e-06,4.348970097500306e-06,0,0
1098686582,1.7461569942589644e-06,1.7598566636324832e-06,4.162861812935902e-06,4.921953518611887e-06,0,0
1098804083,1.4677219333476882e-06,1.6761715245602922e-06,3.7893992811846794e-06,5.009641770892346e-06,0,0
1098921584,1.4982885235337378e-06,1.5006503856010328e-06,3.533515743364626e-06,4.150467290344339e-06,0,0
1099039085,1.2122626829923304e-06,1.5111396408325568e-06,3.86248334489353e-06,4.735936472837169e-06,0,0
1099156586,1.4621858751033038e-06,1.9387454536035747e-06,4.678778306789104e-06,5.70065811248723e-06,0,0
1099274087,1.238449008762409e-06,1.2900182772274508e-06,2.8671592177681047e-06,3.0967244044636387e-06,0,0
1099391588,1.4603032106561407e-06,1.5832680162290968e-06,3.7742673429532127e-06,4.434151344031043e-06,0,0
1099509089,1.2552694304202037e-06,1.4483795962789585e-06,3.416721447397127e-06,4.227107861898257e-06,0,0
1099626590,1.2293909814250742e-06,1.4904024284686867e-06,3.7917403877097375e-06,4.6839355732818235e-06,0,0
1099744091,1.4103514244618458e-06,1.6262374185090202e-06,3.7704994972347034e-06,4.697170998526569e-06,0,0
