ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,1.6577677189503308e-06,1.8451936584293002e-06,1.0542831965488425e-05,1.009539325804642e-05,0,0
1096219061,1.539120726773574e-06,1.6096665278915643e-06,1.662940986792742e-05,1.2908815852600996e-05,0,0
1096336562,1.597304522928653e-06,1.7311300895691301e-06,2.0232997816965473e-05,1.6207639318124532e-05,0,0
1096454063,1.7282270990930398e-06,1.813109537369695e-06,2.335882520101223e-05,1.6890017041014276e-05,0,0
1096571564,1.6380787647244568e-06,1.7500874312915536e-06,2.362685776828099e-05,1.7293156336066948e-05,0,0
1096689065,1.8829534424703103e-06,1.937605291157462e-06,2.5922566804779046e-05,2.023406255816953e-05,0,0
1096806566,2.008336529353336e-06,2.0190610670489058e-06,2.8878527742277596e-05,2.203736534819084e-05,0,0
1096924067,1.8278803225511367e-06,1.9405598636929965e-06,3.0249281521891395e-05,1.9717677013105287e-05,0,0
1097041568,1.9519008397383684e-06,2.1963518706203e-06,2.9754207003260043e-05,2.1517433701880786e-05,0,0
1097159069,1.965890486291583e-06,1.9411090658801546e-06,2.840673718848956e-05,2.1019762991786796e-05,0,0
1097276570,2.0099998799315706e-06,2.0391207186113525e-06,2.9687210385129337e-05,2.1468007144977635e-05,0,0
1097394071,2.0594104540534183e-06,2.3122733524770517e-06,3.126923892658403e-05,2.1776323569053844e-05,0,0
1097511572,1.9503301388082355e-06,2.063528241150663e-06,2.579058248084679e-05,2.0234563682663473e-05,0,0
1097629073,1.8402634617383492e-06,2.032109374647548e-06,2.4037986141978396e-05,1.872402010628672e-05,0,0
1097746574,1.9791555101708633e-06,2.1631944558459392e-06,2.6214879875344943e-05,1.9980685421686255e-05,0,0
1097864075,1.949025876141793e-06,2.358938803834253e-06,2.7817162719791995e-05,2.104471999313917e-05,0,0
1097981576,1.9168150825154758e-06,2.462333187886882e-06,2.653211804395543e-05,2.070072009526935e-05,0,0
1098099077,1.973249994208809e-06,2.545142663229642e-06,2.9350484307759178e-05,2.201277118780106e-05,0,0
1098216578,2.139188446162857e-06,2.511622338616469e-06,2.7289554397493326e-05,2.272103547493979e-05,0,0
1098334079,2.064407229038457e-06,2.4890088334448596e-06,2.8070432591569154e-05,2.2463062805534958e-05,0,0
1098451580,2.200038860644807e-06,2.572533558429167e-06,3.001249207910078e-05,2.3945327649681928e-05,0,0
1098569081,2.1549115679436583e-06,2.4047129096175143e-06,2.8805196341873992e-05,2.4746329177849377e-05,0,0
1098686582,2.1947870786698413e-06,2.4401805271826632e-06,3.0806092420029166e-05,2.426412477876014e-05,0,0
1098804083,2.1394225804000803e-06,2.418170586812083e-06,2.9174013628324644e-05,2.295047773752355e-05,0,0
1098921584,2.028039429331926e-06,2.5477375957148495e-06,2.9720783107067867e-05,2.2132879460141892e-05,0,0
1099039085,1.9612799809283256e-06,2.281339647346661e-06,2.6684797217945302e-05,2.3956057671970124e-05,0,0
1099156586,2.192714904821602e-06,2.9938021486825106e-06,3.269755033536688e-05,2.7887300566869712e-05,0,0
1099274087,2.0434455347004247e-06,2.357215818874256e-06,2.932317049080817e-05,2.349927885244081e-05,0,0
1099391588,2.0943232756050986e-06,2.3705487733827935e-06,3.032365376177451e-05,2.5527722749148403e-05,0,0
1099509089,1.9020936970770873e-06,2.0981600987485857e-06,2.1092928918451983e-05,1.835145635533168e-05,0,0
1099626590,2.1171013597657457e-06,2.4871573381984074e-06,3.0378867096199932e-05,2.4168794360180373e-05,0,0
1099744091,2.030287561332459e-06,2.3856236495324307e-06,3.0122237256746293e-05,2.297021404548887e-05,0,0
1099861592,2.1022856576128704e-06,2.4766463132579545e-06,3.071338116257032e-05,2.4217735013770837e-05,0,0
1099979093,2.278214822256463e-06,2.681913424342589e-06,3.206231899953528e-05,2.468278199831741e-05,0,0
1100096594,2.2114871135777553e-06,2.7775872406448946e-06,3.1935971411033744e-05,2.5214384581487474e-05,0,0
1100214095,2.3760074878563807e-06,2.7933535021038093e-06,3.454135137741822e-05,2.767095166364483e-05,0,0
1100331596,2.0669915596922993e-06,2.303957617627953e-06,2.9798005821649757e-05,2.698527513747154e-05,0,0
1100449097,2.2271330838649817e-06,2.844207057310677e-06,3.415717521580711e-05,2.5789872196396785e-05,0,0
1100566598,2.368862872754847e-06,2.8559472469171797e-06,3.593315426396935e-05,2.8217691825358107e-05,0,0
1100684099,2.4279748989869095e-06,3.201925511162482e-06,3.7423218022500245e-05,2.8621082989967064e-05,0,0
1100801600,2.4442233319265552e-06,2.8264730070158602e-06,3.549315736554334e-05,2.6582122730607853e-05,0,0
1100919101,2.184264243396763e-06,2.5390332327057928e-06,3.455107149455946e-05,2.555107207786956e-05,0,0
1101036602,2.186342146397224e-06,2.605359886432379e-06,3.395982586051175e-05,2.517678177984829e-05,0,0
1101154103,2.47762787425041e-06,2.8540775162144455e-06,3.538309811654614e-05,2.7865385436012186e-05,0,0
1101271604,2.2682267684935626e-06,3.0263950618150673e-06,4.489183655928316e-05,2.792357760000511e-05,0,0
1101389105,2.139969918108356e-06,2.490345764226791e-06,3.280036597482903e-05,2.2951442025076807e-05,0,0
1101506606,2.030849770295123e-06,2.5307499179153672e-06,3.091969705596362e-05,2.506279728942563e-05,0,0
1101624107,2.087863739113999e-06,2.641236416686767e-06,3.113904512883241e-05,2.3642114067951077e-05,0,0
1101741608,2.112858406250043e-06,2.5708351584438197e-06,2.9277196176402157e-05,2.2797338312510333e-05,0,0
1101859109,2.066885378894593e-06,2.4664281996448556e-06,2.8994978122092013e-05,2.2553493528138644e-05,0,0
1101976610,2.004318881199123e-06,2.4411344449819892e-06,3.018998070184705e-05,2.2290594848667687e-05,0,0
1102094111,2.116284169987833e-06,2.468256517973869e-06,3.162729086159609e-05,2.39762915100247e-05,0,0
1102211612,2.2053859020929043e-06,2.7097422308990634e-06,3.3385056045620455e-05,2.4645482827320465e-05,0,0
1102329113,2.269817855894548e-06,2.5696363055611862e-06,3.1198087330075085e-05,2.3575997568877578e-05,0,0
1102446614,2.264336777173465e-06,2.509601959008882e-06,3.2111285723052326e-05,2.3854707927558367e-05,0,0
1102564115,2.4589601966603407e-06,3.144446885476828e-06,3.594770538485183e-05,2.8304614773326663e-05,0,0
1102681616,2.4500861002020026e-06,2.9713783286932298e-06,3.685833832101087e-05,2.7507805898941076e-05,0,0
1102799117,2.479563845032707e-06,2.830126925407515e-06,3.341442445496562e-05,2.6519597638434294e-05,0,0
1102916618,2.498693118036919e-06,2.846886771326044e-06,3.070143069568192e-05,2.532073803804658e-05,0,0
1103034119,2.081952344496201e-06,2.594285065106075e-06,2.6496154340238457e-05,2.2800535694804842e-05,0,0
1103151620,2.0036893154569377e-06,2.379218129284207e-06,2.6944721017546813e-05,2.145698579643638e-05,0,0
1103269121,2.3557397508109232e-06,2.8999608991952702e-06,3.092029496157591e-05,2.673137320329926e-05,0,0
1103386622,1.963405341472434e-06,2.1881230915674374e-06,2.576127340728068e-05,2.111052009970487e-05,0,0
1103504123,2.2586964415863647e-06,2.532068827660741e-06,2.4882184531336253e-05,2.0984929476405627e-05,0,0
1103621624,2.2349779598081533e-06,2.399358590782208e-06,2.8975083666128875e-05,2.5595138363694998e-05,0,0
1103739125,2.1875523899589044e-06,2.4931838280517807e-06,2.8885248067194514e-05,2.3804439085823874e-05,0,0
1103856626,2.1454098225582156e-06,2.320324761468269e-06,2.5872869585512795e-05,2.1061024163785773e-05,0,0
1103974127,2.3516106484719517e-06,2.4320133037555494e-06,2.713935708823875e-05,2.1638982996350248e-05,0,0
1104091628,2.3580657635417495e-06,2.47696693120596e-06,2.5320195109703437e-05,1.9990931774586853e-05,0,0
1104209129,2.26192680251439e-06,2.280290456307843e-06,2.48373589107748e-05,1.9790304848576638e-05,0,0
1104326630,1.9666493690646843e-06,2.2347010461042674e-06,2.466616575679115e-05,2.020524426454535e-05,0,0
1104444131,2.203242617181533e-06,2.5322237859680632e-06,2.6467782301293856e-05,2.6417212394613126e-05,0,0
1104561632,2.1685048809702877e-06,2.388927556347137e-06,2.7969306142473727e-05,2.3314513188734676e-05,0,0
1104679133,2.049072381195992e-06,2.4632166390303063e-06,2.4552021332359237e-05,1.98576119591551e-05,0,0
1104796634,2.2528837338532136e-06,2.337157145163462e-06,2.8331253676753998e-05,2.223214648126482e-05,0,0
1104914135,2.0792942348011015e-06,2.406785869824014e-06,2.407421200539407e-05,1.9786060765015927e-05,0,0
1105031636,2.3861381642429924e-06,2.4508086489255173e-06,3.0617209548006444e-05,2.3449604128520032e-05,0,0
1105149137,2.2682168892115565e-06,2.484999661900907e-06,3.251981465988103e-05,2.4171919660519152e-05,0,0
1105266638,0.0,0.0,0.0,0.0,0,0
1105384139,0.0,0.0,0.0,0.0,0,0
1105501640,0.0,0.0,0.0,0.0,0,0
1105619141,0.0,0.0,0.0,0.0,0,0
1105736642,0.0,0.0,0.0,0.0,0,0
1105854143,0.0,0.0,0.0,0.0,0,0
1105971644,0.0,0.0,0.0,0.0,0,0
1106089145,0.0,0.0,0.0,0.0,0,0
1106206646,0.0,0.0,0.0,0.0,0,0
1106324147,0.0,0.0,0.0,0.0,0,0
1106441648,0.0,0.0,0.0,0.0,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
