ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,0.0,0.0,0.0,0.0,0,0
1424167867,0.0,0.0,0.0,0.0,0,0
1424602484,0.0,0.0,0.0,0.0,0,0
1425037101,0.0,0.0,0.0,0.0,0,0
1425471718,0.0,0.0,0.0,0.0,0,0
1425906335,0.0,0.0,0.0,0.0,0,0
1426340952,0.0,0.0,0.0,0.0,0,0
1426775569,0.0,0.0,0.0,0.0,0,0
1427210186,0.0,0.0,0.0,0.0,0,0
1427644803,0.0,0.0,0.0,0.0,0,0
1428079420,0.0,0.0,0.0,0.0,0,0
1428514037,0.0,0.0,0.0,0.0,0,0
1428948654,0.0,0.0,0.0,0.0,0,0
1429383271,0.0,0.0,0.0,0.0,0,0
1429817888,0.0,0.0,0.0,0.0,0,0
1430252505,0.0,0.0,0.0,0.0,0,0
1430687122,0.0,0.0,0.0,0.0,0,0
1431121739,0.0,0.0,0.0,0.0,0,0
1431556356,0.0,0.0,0.0,0.0,0,0
1431990973,0.0,0.0,0.0,0.0,0,0
1432425590,0.0,0.0,0.0,0.0,0,0
1432860207,0.0,0.0,0.0,0.0,0,0
1433294824,0.0,0.0,0.0,0.0,0,0
1433729441,0.0,0.0,0.0,0.0,0,0
1434164058,0.0,0.0,0.0,0.0,0,0
1434598675,0.0,0.0,0.0,0.0,0,0
1435033292,0.0,0.0,0.0,0.0,0,0
1435467909,0.0,0.0,0.0,0.0,0,0
1435902526,0.0,0.0,0.0,0.0,0,0
1436337143,0.0,0.0,0.0,0.0,0,0
1436771760,0.0,0.0,0.0,0.0,0,0
1437206377,0.0,0.0,0.0,0.0,0,0
1437640994,0.0,0.0,0.0,0.0,0,0
1438075611,0.0,0.0,0.0,0.0,0,0
1438510228,0.0,0.0,0.0,0.0,0,0
1438944845,0.0,0.0,0.0,0.0,0,0
1439379462,0.0,0.0,0.0,0.0,0,0
1439814079,0.0,0.0,0.0,0.0,0,0
1440248696,0.0,0.0,0.0,0.0,0,0
1440683313,0.0,0.0,0.0,0.0,0,0
1441117930,0.0,0.0,0.0,0.0,0,0
1441552547,0.0,0.0,0.0,0.0,0,0
1441987164,0.0,0.0,0.0,0.0,0,0
1442421781,0.0,0.0,0.0,0.0,0,0
1442856398,0.0,0.0,0.0,0.0,0,0
1443291015,0.0,0.0,0.0,0.0,0,0
1443725632,0.0,0.0,0.0,0.0,0,0
1444160249,0.0,0.0,0.0,0.0,0,0
1444594866,0.0,0.0,0.0,0.0,0,0
1445029483,0.0,0.0,0.0,0.0,0,0
1445464100,0.0,0.0,0.0,0.0,0,0
1445898717,0.0,0.0,0.0,0.0,0,0
1446333334,0.0,0.0,0.0,0.0,0,0
1446767951,0.0,0.0,0.0,0.0,0,0
1447202568,0.0,0.0,0.0,0.0,0,0
1447637185,0.0,0.0,0.0,0.0,0,0
1448071802,0.0,0.0,0.0,0.0,0,0
1448506419,0.0,0.0,0.0,0.0,0,0
1448941036,0.0,0.0,0.0,0.0,0,0
1449375653,0.0,0.0,0.0,0.0,0,0
1449810270,0.0,0.0,0.0,0.0,0,0
1450244887,0.0,0.0,0.0,0.0,0,0
1450679504,0.0,0.0,0.0,0.0,0,0
1451114121,2.6379739166896324e-06,0.0,0.0,0.0,0,0
1451548738,0.0,0.0,0.0,0.0,0,0
1451983355,0.0,0.0,0.0,0.0,0,0
1452417972,0.0,0.0,0.0,0.0,0,0
1452852589,0.0,0.0,0.0,0.0,0,0
1453287206,0.0,0.0,0.0,0.0,0,0
1453721823,0.0,0.0,0.0,0.0,0,0
1454156440,1.3869855592315621e-06,0.0,0.0,0.0,0,0
1454591057,0.0,0.0,0.0,0.0,0,0
1455025674,0.0,0.0,0.0,0.0,0,0
1455460291,0.0,0.0,0.0,0.0,0,0
1455894908,0.0,0.0,0.0,0.0,0,0
1456329525,0.0,0.0,0.0,0.0,0,0
1456764142,0.0,0.0,0.0,0.0,0,0
1457198759,1.5509840038708102e-06,0.0,0.0,0.0,0,0
1457633376,0.0,0.0,0.0,0.0,0,0
1458067993,0.0,0.0,0.0,0.0,0,0
1458502610,0.0,0.0,0.0,0.0,0,0
1458937227,0.0,0.0,0.0,0.0,0,0
1459371844,0.0,0.0,0.0,0.0,0,0
1459806461,0.0,0.0,0.0,0.0,0,0
1460241078,0.0,0.0,0.0,0.0,0,0
1460675695,0.0,0.0,0.0,0.0,0,0
1461110312,0.0,0.0,0.0,0.0,0,0
1461544929,0.0,0.0,0.0,0.0,0,0
1461979546,1.1429887606079073e-06,0.0,0.0,0.0,0,0
1462414163,0.0,0.0,0.0,0.0,0,0
1462848780,9.978257378422664e-07,8.119222263108135e-07,3.6053818424434504e-06,2.898613353752467e-06,0,0
1463283397,4.1260447057128216e-07,5.079033156881875e-07,2.9111605055745543e-06,1.92343039899495e-06,0,0
1463718014,4.1711507100405346e-07,5.222292488312258e-07,2.622147427936353e-06,1.9483331325751286e-06,0,0
1464152631,4.643393079087905e-07,5.665180462064708e-07,3.168905280665279e-06,2.1339724134148623e-06,0,0
1464587248,4.851529691605852e-07,6.037833364993119e-07,3.6542259748774093e-06,2.6354714722849502e-06,0,0
1465021865,4.5911632224512175e-07,5.915592480329961e-07,3.2014081621965787e-06,2.35025200790158e-06,0,0
1465456482,4.800370948579934e-07,6.162466198302256e-07,2.779747432546017e-06,2.3506688189737516e-06,0,0
1465891099,0.0,0.0,0.0,0.0,0,0
1466325716,0.0,0.0,0.0,0.0,0,0
1466760333,0.0,0.0,0.0,0.0,0,0
