ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,0.0,0.0,0.0,0.0,0,0
1424167867,0.0,0.0,0.0,0.0,0,0
1424602484,0.0,0.0,0.0,0.0,0,0
1425037101,1.9882900862827715e-05,1.4505927768203706e-05,7.627211806684186e-05,1.2889435438027523e-05,0,0
1425471718,1.835881643517366e-05,1.809881814678191e-05,0.00010359596394694608,1.6517835669652554e-05,0,0
1425906335,0.0,0.0,0.0,0.0,0,0
1426340952,0.0,0.0,0.0,0.0,0,0
1426775569,0.0,0.0,0.0,0.0,0,0
1427210186,1.6456418534182693e-05,1.371793094665652e-05,7.803161044347227e-05,1.938640382115217e-05,0,0
1427644803,1.3296123897501367e-05,9.612986404278374e-06,4.410665094607199e-05,1.0090413792142898e-05,0,0
1428079420,1.3849430490109344e-05,9.330954255834955e-06,4.503227449499976e-05,1.0525446792366274e-05,0,0
1428514037,1.3290288998701451e-05,9.35496886723726e-06,4.207419302758213e-05,9.646300876981272e-06,0,0
1428948654,1.2618468476483e-05,8.29672916927349e-06,3.266366840288535e-05,7.319981595162793e-06,0,0
1429383271,1.456985392247768e-05,1.0825890938640731e-05,6.371536386920122e-05,1.008689932256772e-05,0,0
1429817888,1.5305847873990293e-05,1.0748892068187936e-05,6.126738695271016e-05,1.0418896129545436e-05,0,0
1430252505,1.4574854274344508e-05,1.0884891088932642e-05,6.020139888152627e-05,9.927901229795302e-06,0,0
1430687122,0.0,0.0,0.0,0.0,0,0
1431121739,1.4071859621496711e-05,1.0695892703930463e-05,5.22374772507315e-05,8.853911504241748e-06,0,0
1431556356,0.0,0.0,0.0,0.0,0,0
1431990973,0.0,0.0,0.0,0.0,0,0
1432425590,1.4116971357408774e-05,9.963179846395923e-06,4.1487516835318884e-05,1.2213575193585819e-05,0,0
1432860207,0.0,0.0,0.0,0.0,0,0
1433294824,1.444985639150107e-05,1.0113900131265868e-05,6.129138645890548e-05,1.5349846968681714e-05,0,0
1433729441,0.0,0.0,0.0,0.0,0,0
1434164058,1.4066930513064715e-05,9.5059528943887e-06,5.11627438116569e-05,1.0932945674990626e-05,0,0
