ts,Dtree,nDtree,HK,HDT,ET,opt
1423733250,3.295985043342261e-06,4.52447795980276e-06,3.2987835445471105e-05,2.087339748621504e-05,0,0
1424167867,2.662973857052563e-06,5.616944909923031e-06,5.187048161862842e-05,3.804862140076101e-05,0,0
1424602484,0.0,0.0,0.0,0.0,0,0
1425037101,0.0,0.0,0.0,0.0,0,0
1425471718,0.0,0.0,0.0,0.0,0,0
1425906335,4.6129777182493855e-06,5.892471204603653e-06,2.643536815414941e-05,1.7429413838530395e-05,0,0
1426340952,1.8731403808752485e-06,2.590996247518626e-06,1.3632266942248451e-05,1.0905984330674224e-05,0,0
1426775569,2.0084898626102667e-06,3.319984669534514e-06,2.471487653431664e-05,1.672391595939162e-05,0,0
1427210186,1.5866615753934593e-06,1.782660668274023e-06,1.0325632340776722e-05,1.0187633350683947e-05,0,0
1427644803,1.3729956899061884e-06,1.3369966153656495e-06,1.2996217971038333e-05,9.940975973634808e-06,0,0
1428079420,2.0739782452147086e-06,2.932971030206757e-06,2.2824770930119127e-05,1.2631874698007675e-05,0,0
1428514037,1.8939819487497929e-06,3.0699686661478575e-06,2.206277842304719e-05,1.3305869015696767e-05,0,0
1428948654,1.9379810434412168e-06,2.6289736471235833e-06,1.2273875697528206e-05,1.0041899793708688e-05,0,0
1429383271,0.0,0.0,0.0,0.0,0,0
1429817888,1.9329806915743878e-06,3.010970334827161e-06,1.5315846758752737e-05,1.255587626172249e-05,0,0
1430252505,0.0,0.0,0.0,0.0,0,0
1430687122,0.0,0.0,0.0,0.0,0,0
1431121739,2.006395869001448e-06,2.509594998029786e-06,1.4337771491143084e-05,1.3202173584534889e-05,0,0
1431556356,0.0,0.0,0.0,0.0,0,0
1431990973,2.219976150721858e-06,3.1349677835029916e-06,3.0146699403789772e-05,2.151478424134036e-05,0,0
1432425590,0.0,0.0,0.0,0.0,0,0
1432860207,2.6484853513446078e-06,2.1869891287679962e-06,1.0604446926151005e-05,1.0062949221129754e-05,0,0
1433294824,2.0499805579906003e-06,3.0469677751489303e-06,1.5017851980675214e-05,1.3306865811921948e-05,0,0
1433729441,3.0819684192455186e-06,3.405967209796008e-06,1.5077848927192304e-05,1.3904861693325852e-05,0,0
1434164058,1.9207452353800357e-06,2.489992908121723e-06,1.6890207073222263e-05,1.324196691781117e-05,0,0
1434598675,1.6484950434927018e-06,2.2067442243020785e-06,1.7199957002156407e-05,1.4198214987340017e-05,0,0
1435033292,0.0,0.0,0.0,0.0,0,0
1435467909,0.0,0.0,0.0,0.0,0,0
1435902526,1.972490423321887e-06,2.775486556494154e-06,1.9605901993976586e-05,1.5255924272123003e-05,0,0
1436337143,0.0,0.0,0.0,0.0,0,0
1436771760,0.0,0.0,0.0,0.0,0,0
1437206377,2.4189752394576944e-06,2.9749710755341776e-06,2.2837771117384398e-05,1.3053870562703457e-05,0,0
1437640994,2.464496128986638e-06,2.870661840270149e-06,2.0651798108865244e-05,2.0849465842077847e-05,0,0
1438075611,0.0,0.0,0.0,0.0,0,0
1438510228,0.0,0.0,0.0,0.0,0,0
1438944845,1.835163527200413e-06,2.4638291673169407e-06,1.6033640002246075e-05,1.2032479950825266e-05,0,0
1439379462,1.9729942343774316e-06,2.103659689970027e-06,1.4272285951106343e-05,1.131696189037275e-05,0,0
1439814079,1.6624966794224063e-06,2.262745311066328e-06,1.526796225493392e-05,1.2837216866798343e-05,0,0
1440248696,2.1343271427591664e-06,2.596657532027318e-06,2.7656575158210607e-05,1.4241952584924033e-05,0,0
1440683313,2.023980183460061e-06,2.8459714560203044e-06,4.446855479097336e-05,1.789882044284968e-05,0,0
1441117930,2.1939794141337467e-06,2.494975494714095e-06,1.520584811253857e-05,1.0866890549800543e-05,0,0
1441552547,2.1889790622669176e-06,4.13995847400219e-06,1.7575823905438012e-05,1.4175859300647654e-05,0,0
1441987164,1.4193311160078252e-06,1.781164188270947e-06,1.0050483296219002e-05,9.397318031823722e-06,0,0
1442421781,2.128194792067152e-06,2.385995279056164e-06,1.3672572398441237e-05,1.2427974316411073e-05,0,0
1442856398,1.7761224707245346e-06,2.0849973992893815e-06,1.8815726561899578e-05,1.1731860127705857e-05,0,0
1443291015,1.5784974771391597e-06,1.9416230147304745e-06,1.3946107931237939e-05,1.1617735510941109e-05,0,0
1443725632,4.327895877784757e-06,2.2140975175480294e-06,1.7470882622148027e-05,1.314748673774871e-05,0,0
1444160249,1.8567966588861658e-06,2.261996110808421e-06,1.3445974065680582e-05,1.1790176061484685e-05,0,0
1444594866,1.9869944828234607e-06,2.6287427992127186e-06,1.3406966124614094e-05,1.2765967684731757e-05,0,0
1445029483,1.7757984528443126e-06,2.1106968045062977e-06,1.3425386749651045e-05,1.13953887836374e-05,0,0
1445464100,1.4818614735511674e-06,1.4858615553177712e-06,1.344306431188685e-05,9.60230720768607e-06,0,0
1445898717,1.7666228104390918e-06,2.204997344483423e-06,2.004872539622887e-05,1.4586106502072536e-05,0,0
1446333334,1.7369518078518577e-06,1.855428074874283e-06,1.6826135184111346e-05,1.2280613449947294e-05,0,0
1446767951,1.931595900146654e-06,2.684795341404068e-06,2.0176159188992403e-05,1.679216609194214e-05,0,0
1447202568,1.6965545074721739e-06,1.5928881357472534e-06,1.6910768159309946e-05,1.1262604562860828e-05,0,0
1447637185,2.139743281366877e-06,2.364493866961083e-06,2.3603941479431986e-05,1.8550204012706197e-05,0,0
1448071802,1.855198667537172e-06,1.8147316372545074e-06,2.3302517837759104e-05,1.3683324235308281e-05,0,0
1448506419,1.8624912271172395e-06,2.2694880711764044e-06,1.967390093485464e-05,1.5233423485705074e-05,0,0
1448941036,1.7619810267330937e-06,2.03897760111812e-06,1.0037899876009468e-05,1.0869890033332154e-05,0,0
1449375653,1.775116581933016e-06,2.1945284259508555e-06,1.6916695719371868e-05,1.1728052362778916e-05,0,0
1449810270,1.8406415985172965e-06,1.6871419997237703e-06,1.3319918743032799e-05,1.0233993081007486e-05,0,0
1450244887,1.9025697683932349e-06,1.4707124175331772e-06,1.644140466264538e-05,1.161841260054676e-05,0,0
1450679504,2.873492213807137e-06,2.0157444479662922e-06,1.4851713036407147e-05,1.139222120882622e-05,0,0
1451114121,0.0,0.0,0.0,0.0,0,0
1451548738,2.1429879951018903e-06,2.4139869574049543e-06,1.3472932488885218e-05,1.1896940664771155e-05,0,0
1451983355,2.506995532908545e-06,2.1371628617461936e-06,1.2625645646578966e-05,1.092564857135942e-05,0,0
1452417972,2.238854694111109e-06,2.625710571270891e-06,2.156725490951229e-05,1.290141051705453e-05,0,0
1452852589,2.0688401038120516e-06,2.6928402608259467e-06,1.5704202285081146e-05,1.1194099415162175e-05,0,0
1453287206,1.7836412675710474e-06,2.343569591707159e-06,2.1832269856509182e-05,2.6892980213789185e-05,0,0
1453721823,1.6923970891907114e-06,1.7653966259347402e-06,2.228735519528311e-05,1.414177104553946e-05,0,0
1454156440,1.9908293492638246e-06,4.65282525838806e-06,2.041763180777164e-05,1.2634311600819101e-05,0,0
1454591057,1.7256650173076558e-06,1.8154152439288057e-06,1.8616984660797312e-05,1.2495573068138975e-05,0,0
1455025674,1.6282394825727374e-06,1.5224791153801596e-06,1.7416712962629965e-05,1.2315035077145053e-05,0,0
1455460291,3.7034802880059947e-06,4.125480081650858e-06,2.9739352163398934e-05,1.919590383240816e-05,0,0
1455894908,1.6215325359287344e-06,1.6801319680934374e-06,2.1382919227248247e-05,1.443165755349565e-05,0,0
1456329525,1.5687488145146724e-06,1.721998544055303e-06,2.0784816681386457e-05,1.3367322103836095e-05,0,0
1456764142,1.5839988060026945e-06,2.0818654538529553e-06,1.6038589435013773e-05,1.3530457922936685e-05,0,0
1457198759,1.7453118522378897e-06,1.9142486822041265e-06,2.306204819604423e-05,1.3681491826128338e-05,0,0
1457633376,2.3414887687334724e-06,3.793980015301975e-06,1.7302912852965728e-05,1.3013936454742837e-05,0,0
1458067993,1.7763281809387696e-06,1.8666607125998216e-06,2.2634924827910428e-05,1.3039955660791521e-05,0,0
1458502610,1.8803978787042685e-06,1.8176984680570955e-06,1.6114684587334448e-05,1.1138188304751064e-05,0,0
1458937227,1.7942831451946643e-06,2.8125672900901147e-06,2.015797123551528e-05,1.3365123783830435e-05,0,0
1459371844,1.7261960274980011e-06,1.756996549669318e-06,1.4713370951499301e-05,1.0706778316985482e-05,0,0
1459806461,1.5402839854295286e-06,1.7107116154260532e-06,1.1244841043879102e-05,9.122415797326744e-06,0,0
1460241078,1.660123615095906e-06,1.7071226045559869e-06,1.596385487523087e-05,1.092111118863529e-05,0,0
1460675695,1.6671233049448135e-06,1.635123001236988e-06,1.602122982202618e-05,1.0518361517528327e-05,0,0
