ts,Dtree,nDtree,HK,HDT
916721318,98,185,627,701
917997376,32,56,102,128
919273434,148,268,966,1083
920549492,49,57,236,291
921825550,53,64,301,314
923101608,26,47,128,118
924377666,71,118,302,362
925653724,16,16,53,67
926929782,291,424,1078,1071
928205840,400,1142,1383,1489
929481898,562,1736,2388,2506
930757956,443,679,1961,2110
932034014,779,1317,2653,2909
933310072,1196,1684,3939,4094
934586130,553,921,2159,2316
935862188,350,596,1273,1494
937138246,496,1099,2585,2451
938414304,1222,2469,5068,5565
939690362,1999,6887,7431,7891
940966420,1539,4505,3763,4754
942242478,1756,3736,7195,7725
943518536,2359,5360,6433,7139
944794594,1765,5341,6014,6945
946070652,4620,13607,14917,14934
947346710,3204,10731,10791,11501
948622768,4244,13114,13685,15365
949898826,7923,31387,28997,31211
951174884,10633,21406,28315,30424
952450942,7528,39021,26504,30037
953727000,7466,17551,23149,26022
955003058,7851,26012,31815,30915
956279116,8709,21408,33527,37469
957555174,7917,41711,29897,34170
958831232,10581,51076,42027,46312
960107290,9119,30390,33051,32678
961383348,9865,34438,47672,51640
962659406,12813,53178,56158,62350
963935464,8676,20614,41274,38990
965211522,12350,42244,55980,56726
966487580,11177,46047,48961,59332
967763638,15356,41782,68058,71031
969039696,14793,53063,65064,62454
970315754,18128,77682,76186,77745
971591812,17311,83871,74034,84392
972867870,20241,57578,93054,96403
974143928,25525,85336,118093,131169
975419986,22095,108977,94490,99508
976696044,30919,105325,150439,163967
977972102,15976,65703,73722,74704
979248160,13612,49777,60076,63831
980524218,15381,60643,66496,71719
981800276,15272,82607,76141,79318
983076334,16235,96164,77437,80309
984352392,20378,68303,98879,95803
985628450,20350,76097,89808,98800
986904508,21556,82536,109469,107168
988180566,26108,119349,130779,126895
989456624,33512,140355,165885,178493
990732682,32592,218738,151594,172418
992008740,31193,151240,145350,153480
993284798,22034,93271,104327,104651
994560856,24305,80337,64018,63419
995836914,20146,51215,79701,81705
997112972,20288,125981,84106,94019
998389030,19743,58633,78660,88011
999665088,16704,93719,78618,84072
1000941146,30093,116702,111314,122034
1002217204,32964,139586,160189,160714
