ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,0.0,0.0,0.0,0.0
919273434,1.5233294261075663e-06,0.0,0.0,0.0
920549492,1.6423273162279026e-06,1.5914931743043296e-06,2.076981366688748e-06,3.985962552067814e-06
921825550,0.0,0.0,0.0,0.0
923101608,0.0,0.0,0.0,0.0
924377666,1.1929868223625546e-06,0.0,0.0,0.0
925653724,6.243308645357649e-07,0.0,0.0,5.690942477873e-06
926929782,0.0,0.0,0.0,0.0
928205840,7.699994500865343e-07,1.1864981319248237e-06,3.146989122642078e-06,5.8427881882133965e-06
929481898,8.818566067335053e-07,9.359982427047249e-07,6.377492113498721e-06,4.138159435335764e-06
930757956,5.872734588694796e-07,6.356833942025205e-07,2.7733756979171574e-06,2.871363350982776e-06
932034014,9.10094708134752e-07,8.083326436637794e-07,5.281219573204438e-06,3.645314117341533e-06
933310072,5.477778115406541e-07,7.650523715021535e-07,3.63204210277869e-06,2.3746658020550874e-06
934586130,6.324143480343563e-07,9.074067797645025e-07,3.5524349764796077e-06,3.285901001202746e-06
935862188,5.54363200527657e-07,7.765766497046514e-07,3.1898696211838358e-06,2.7396766955707546e-06
937138246,7.210411874161879e-07,6.742498711155653e-07,2.696640509782293e-06,2.8037047298761904e-06
938414304,5.642641347369071e-07,8.127408722436723e-07,3.623204658503321e-06,3.0763504453856346e-06
939690362,7.499255323260302e-07,1.0983522354971768e-06,5.470997462896721e-06,3.0083625346338903e-06
940966420,4.3389072799999685e-07,4.6356806597369067e-07,1.9305655451410594e-06,1.7829570434196286e-06
942242478,8.051273430095427e-07,1.0650450965057446e-06,4.0009564755040906e-06,3.8062157984952182e-06
943518536,7.675246640091621e-07,9.064355040851803e-07,3.5003432071156665e-06,2.7491287145054096e-06
944794594,7.688573374053197e-07,8.667028892961151e-07,4.718654967002747e-06,3.840312424480631e-06
946070652,5.973401416771587e-07,7.309844544631227e-07,3.5350656867498424e-06,2.558428488539349e-06
947346710,5.875927223085808e-07,6.960614828910904e-07,3.6765895323812125e-06,3.0131158688974157e-06
