ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,1.6396693328853717e-05,1.1618254711231807e-05,5.1109664505167656e-05,1.5661851912406336e-05
919273434,2.1160222162662108e-05,1.4613142926773177e-05,7.539821140143879e-05,3.300608337186875e-05
920549492,1.5292101770603967e-05,1.032107040706205e-05,4.4163167096143905e-05,1.798577610503675e-05
921825550,1.578321871152359e-05,1.178599089295506e-05,6.637040988045318e-05,2.674005666449149e-05
923101608,1.3914369696707281e-05,9.49699809542856e-06,4.5560677256475386e-05,1.2877076141480498e-05
924377666,1.750821897138504e-05,1.2811298926359902e-05,9.291665479753475e-05,2.5751293036969156e-05
925653724,1.5877558290390664e-05,1.0567201344114654e-05,4.694071764592597e-05,1.8194056257099604e-05
926929782,3.254163904488563e-05,1.1754823902139861e-05,7.733093553856421e-05,1.6312987148073677e-05
928205840,1.8368707325150824e-05,1.2303032933136877e-05,6.220914489558116e-05,4.580146255422913e-05
929481898,1.7024628855303207e-05,1.2947747024189585e-05,7.377517811861863e-05,3.970988658911937e-05
930757956,1.8147006556806477e-05,1.314456098133532e-05,7.120859495165798e-05,4.5373136522976376e-05
932034014,1.771798573435755e-05,1.1151937664041242e-05,5.3986676230815554e-05,3.570411055527887e-05
933310072,1.934598034155664e-05,1.197112668117151e-05,5.6308802821613445e-05,5.168447932986055e-05
934586130,1.9252153721035776e-05,1.1082918013906181e-05,5.148567151061359e-05,3.747292153190629e-05
935862188,1.7810423825822952e-05,1.157183578779113e-05,5.3897422897323194e-05,3.434205255910501e-05
937138246,1.668993158197184e-05,1.1367133433168675e-05,5.671647104000855e-05,3.405110747180289e-05
938414304,1.762348857822405e-05,1.1375953453635348e-05,5.2621671116346615e-05,3.085128164778521e-05
939690362,2.067285041394279e-05,1.2368206849105982e-05,7.421188593084692e-05,7.132010771659538e-05
940966420,2.1495210545003747e-05,1.4719566528768202e-05,6.986315324679265e-05,5.693425162007903e-05
942242478,1.844863890692342e-05,1.303178912672871e-05,5.866948255215811e-05,4.4894529126245214e-05
943518536,1.946921403163963e-05,1.2295047847644507e-05,5.3206177916955594e-05,3.0565974811611534e-05
944794594,2.2014379248177367e-05,1.3622367455405341e-05,5.6673030142041435e-05,4.696901184062531e-05
946070652,2.4814535382844317e-05,1.2662767664773888e-05,7.492371194878666e-05,7.54030595793941e-05
947346710,2.5765015669477338e-05,1.2730641042360774e-05,6.365097596138868e-05,6.876976715979765e-05
948622768,2.691996047666031e-05,1.4344441238950935e-05,8.312324662889361e-05,7.426987725352666e-05
949898826,2.2267885582715872e-05,1.3910463166349738e-05,8.412689700549394e-05,6.965392925283231e-05
951174884,2.6783087075058265e-05,1.324157187896411e-05,6.982313546491954e-05,7.373803733497625e-05
952450942,2.1956378333344777e-05,1.3423115914258764e-05,7.532627668530598e-05,7.042060652741632e-05
953727000,2.1417478517502368e-05,1.1723015119770852e-05,6.553276475528984e-05,4.905878990808269e-05
955003058,2.8258335163815294e-05,1.249237143147238e-05,6.698724344294708e-05,6.482387230507772e-05
956279116,2.041193546349859e-05,1.2275039701670533e-05,7.65611515353581e-05,5.5667321768615876e-05
957555174,1.6576928588609284e-05,1.140135394874966e-05,6.052188330041104e-05,4.4887673320631806e-05
958831232,1.7912291537995907e-05,1.1424695008927897e-05,6.634594642512167e-05,6.732766206440502e-05
960107290,1.9880679681005894e-05,1.1192599463702995e-05,6.9393347649773e-05,6.051515248619894e-05
961383348,2.5184856272744358e-05,1.1354312525843543e-05,6.54857462881433e-05,5.976712837924007e-05
962659406,1.790915504500148e-05,1.1175463667016452e-05,6.780903464526708e-05,5.727473173780012e-05
963935464,1.7390187118043815e-05,1.096609124155952e-05,6.86592222462378e-05,5.489953421196427e-05
965211522,1.929185508029481e-05,1.13259944566962e-05,6.952038218745559e-05,5.195867560925967e-05
966487580,1.7158087027312017e-05,1.1410087470611323e-05,6.547111626980255e-05,6.156793811141417e-05
967763638,1.7622629859087147e-05,1.1314318470717243e-05,6.630086976799076e-05,6.0814603201277444e-05
969039696,1.753015200070169e-05,1.1347166101261717e-05,7.029635902111041e-05,6.14819885351793e-05
970315754,1.7793001189637345e-05,1.0834994758875538e-05,7.534496191526867e-05,5.88981967989577e-05
971591812,1.832571520572381e-05,1.0680021868314045e-05,6.263784912925172e-05,5.6386981751861717e-05
972867870,1.604636947945336e-05,1.0579127095455523e-05,6.306269791770494e-05,6.124259835193292e-05
974143928,1.597178475437771e-05,1.0553856427278027e-05,6.437498740162646e-05,6.113895559636881e-05
975419986,1.6057276619773476e-05,1.0434146654810024e-05,5.6041794040895204e-05,5.3460961040045694e-05
976696044,1.7481989962237105e-05,1.1020093635342426e-05,7.170699985495425e-05,6.849856438936426e-05
977972102,1.628657873407139e-05,1.065753596744144e-05,6.325556426070888e-05,5.828894104753345e-05
979248160,1.867071061019679e-05,1.0468057274372313e-05,6.18214368994067e-05,6.16765838905014e-05
