ts,Dtree,nDtree,HK,HDT
916721318,0.0,0.0,0.0,0.0
917997376,3.0646615874638117e-06,3.124162450675095e-06,9.516983385107638e-06,9.765983823228499e-06
919273434,7.330662350099681e-06,3.6568549663605955e-06,9.363136025268216e-06,9.784063904789927e-06
920549492,1.9156610921477425e-06,2.5053245595291184e-06,6.102310758064551e-06,6.870965286424387e-06
921825550,0.0,0.0,0.0,0.0
923101608,0.0,0.0,0.0,0.0
924377666,2.9569970872029274e-06,1.9331814857853283e-06,3.640542587643965e-06,4.4995416933915285e-06
925653724,0.0,0.0,0.0,0.0
926929782,3.5226272632255554e-06,2.3181209501825325e-06,4.764901030314967e-06,5.576998411886428e-06
928205840,2.224277966794277e-06,2.0049596963972243e-06,4.740817292827604e-06,4.994367625342363e-06
929481898,1.617292743178955e-06,1.6070041495267922e-06,3.299372810358007e-06,4.062307600770162e-06
930757956,1.6685237896684058e-06,2.0932914696026544e-06,4.340402615211443e-06,4.791305143492857e-06
932034014,1.7554646205195134e-06,1.9242678429248515e-06,3.843490190016266e-06,4.3240463641062735e-06
933310072,1.713608287035766e-06,1.608414072959007e-06,3.7483471868580575e-06,4.149097157467261e-06
934586130,2.290294640754864e-06,2.258298777945444e-06,4.5764345174217924e-06,5.110604203036491e-06
935862188,1.9592764307465357e-06,2.171173073010704e-06,4.216325814358266e-06,4.805752275477853e-06
937138246,1.5924898087483696e-06,1.6528145147759783e-06,2.710182575827253e-06,3.6613429035590734e-06
938414304,1.8353636141907596e-06,1.554254948735428e-06,3.072723749153958e-06,3.838411094743229e-06
939690362,1.1022128361225186e-06,1.1696518682239226e-06,2.1398466290558757e-06,2.308371789202302e-06
940966420,2.415343369848969e-06,2.340582742390556e-06,4.570275570016676e-06,5.412436438096174e-06
942242478,1.8719852261873737e-06,2.2843946924290013e-06,4.5520000415376265e-06,4.499332355070392e-06
943518536,2.088425034892777e-06,2.0273075858457433e-06,4.011198155021261e-06,4.788728478625947e-06
944794594,2.150272531156369e-06,1.9849520347153e-06,3.6350584997177288e-06,4.164656290595101e-06
946070652,2.191393739017907e-06,1.986533642083485e-06,4.205462578730217e-06,4.901309130791243e-06
947346710,1.6006098710243315e-06,1.82271813937029e-06,3.3167906004595674e-06,3.826923092449938e-06
948622768,2.1327844521765704e-06,2.47826918068347e-06,4.339199979305639e-06,5.003577431204438e-06
949898826,1.998414983243139e-06,2.1878503522236173e-06,4.366654452203987e-06,4.821567181087099e-06
951174884,1.984280681499118e-06,2.25967253391874e-06,4.584751042372178e-06,4.9726782980876625e-06
952450942,2.0844904765553464e-06,2.1572094487007743e-06,4.255334672086813e-06,5.17375330475916e-06
953727000,1.4819827604152777e-06,1.6800081761883454e-06,2.895719487594184e-06,3.160107333226491e-06
