ts,Dtree,nDtree,HK,HDT
916721318,1.766420243691135e-06,1.999897552887121e-06,1.553460090850811e-05,1.2552987155380984e-05
917997376,1.9469981082265268e-06,4.0224964115790705e-06,2.324857636078374e-05,1.7131983952990082e-05
919273434,1.3353806481405402e-06,1.5783405604247275e-06,1.612342698551131e-05,1.1896181786142531e-05
920549492,2.0547947146575435e-06,2.8477939282628767e-06,2.6252346897743938e-05,1.6166767862979673e-05
921825550,2.1107767675334295e-06,3.579331993873819e-06,2.3470486663996883e-05,1.5699658099262083e-05
923101608,2.7989984886170743e-06,4.85883108378809e-06,2.746557167229358e-05,2.0355783521525202e-05
924377666,1.5733928762587955e-06,1.803000229688269e-06,1.3059854421001774e-05,9.975801574047925e-06
925653724,2.104414372124611e-06,2.57666546449882e-06,2.177964874516492e-05,1.576823635229386e-05
926929782,1.8529849624608774e-06,1.991855780635406e-06,1.8130150077157188e-05,1.2975521915192872e-05
928205840,1.660304011200528e-06,2.073239631168611e-06,2.0550430243351947e-05,1.5761166597833948e-05
929481898,1.916361012512768e-06,2.3851833539822903e-06,2.1564826596518913e-05,1.8125065782203588e-05
930757956,2.2285818596627437e-06,2.904626573112621e-06,2.680649731915636e-05,1.863138035122497e-05
932034014,1.7475880769236606e-06,2.0269878649306803e-06,1.810915940182053e-05,1.47342911877595e-05
933310072,1.7517359235064205e-06,1.8635845275897926e-06,1.6282597759344845e-05,1.510715088717096e-05
934586130,1.7681878595577324e-06,2.107118643528606e-06,1.844195462639296e-05,1.5182182292568327e-05
935862188,2.7486206796942786e-06,3.4654521990787076e-06,3.0004186537557918e-05,2.210432416330902e-05
937138246,1.8630102950202496e-06,2.211345416418629e-06,2.056699899702645e-05,1.6104880314484337e-05
938414304,1.552546308694538e-06,1.69731748783718e-06,2.0468217705512598e-05,1.3576980333431888e-05
939690362,2.1617133213386716e-06,2.5464730526320765e-06,2.4206615453964676e-05,1.7927307707546312e-05
940966420,2.331265424244268e-06,2.9750383969943826e-06,2.8012452368282948e-05,1.8668453340500784e-05
942242478,1.7677469951404674e-06,2.01773735166971e-06,1.6694600164874483e-05,1.3431216771284673e-05
943518536,1.927856590224255e-06,2.2487587611761902e-06,1.6790253177205868e-05,1.4927061908524336e-05
944794594,2.0340965286386004e-06,2.2539670479213956e-06,2.109819306576373e-05,1.5146909105285447e-05
946070652,2.0826838089714635e-06,2.310812500926912e-06,1.9824513365632677e-05,1.7247863059496374e-05
947346710,2.1797906755469356e-06,2.4906808822432027e-06,2.5547598192693934e-05,1.9358805847239863e-05
948622768,2.3743301563945462e-06,3.033282504694464e-06,2.6400201431744617e-05,2.1014294386268945e-05
949898826,2.0204411131585448e-06,2.4119626360332193e-06,0.0008522288783485756,1.5555228053620817e-05
951174884,1.9314165147533806e-06,2.5166465948832724e-06,2.0673360691693984e-05,1.5138141209170486e-05
952450942,2.172138137858392e-06,2.6872173657148607e-06,2.3264131085532135e-05,2.3036291926242376e-05
953727000,1.7848791579709521e-06,2.2078534441863648e-06,1.9853407294395592e-05,1.463698791350104e-05
955003058,1.929944201514934e-06,2.317267437088383e-06,2.128049704968338e-05,1.717524611319961e-05
956279116,1.9336650703768966e-06,2.327904404865222e-06,2.1381091318586625e-05,2.0108004584665348e-05
