ts,Dtree,nDtree,HK,HDT
1266238080,1.2462015862060044e-06,1.3343048421131823e-06,4.073819243721609e-06,3.931890032404212e-06
1266284160,8.6265544246674e-07,1.1312632070364672e-06,3.5456903945605748e-06,3.2658284889502225e-06
1266330240,1.8122817898014377e-06,2.3683941938183648e-06,7.705601768250891e-06,6.567738218335605e-06
1266376320,2.5605246689685635e-06,1.5706545690962207e-06,6.408717382718782e-06,7.526499141989755e-06
1266422400,1.3420421408847822e-06,1.7512103382468196e-06,7.081833407374559e-06,7.805984701502603e-06
1266468480,1.6757109773717632e-06,1.7055837130290193e-06,6.938451298406095e-06,7.246467333611749e-06
1266514560,1.3423828200877996e-06,1.6951223712012735e-06,7.505323158711963e-06,8.127801231251179e-06
1266560640,1.5370216556143159e-06,1.4317408952346603e-06,5.712950927822987e-06,5.5115235373817635e-06
1266606720,2.128393947272154e-06,1.6706946323511061e-06,7.050807649386432e-06,8.459547339437857e-06
1266652800,1.222823686369295e-06,2.024230273927625e-06,7.5266634421703015e-06,1.0695672544714949e-05
1266698880,1.5802048367235092e-06,1.812489411711615e-06,9.018017702930048e-06,1.4143339002808896e-05
