ts,Dtree,nDtree,HK,HDT
1266238080,1.682704964389784e-06,1.977459167102268e-06,2.865087854100756e-05,1.952289155888017e-05
1266284160,1.5138800721158982e-06,1.933974305151201e-06,3.3399998515317234e-05,2.304611646317787e-05
1266330240,9.473054998795776e-06,1.4643954539936658e-05,5.46061012311659e-05,3.6893741371939825e-05
1266376320,1.5032461772285006e-05,4.9204559217669694e-05,5.639496681454535e-05,3.623339043286781e-05
1266422400,2.2597714282938045e-06,7.5460873395841296e-06,4.919425105086576e-05,4.770115990885726e-05
1266468480,2.5345702259639203e-06,4.12684566223072e-05,5.4055926464172486e-05,4.391988378240278e-05
1266514560,2.6636287358556434e-06,1.1981883837634557e-05,6.142312522050028e-05,4.4636909149159e-05
1266560640,2.4354597382745543e-05,1.651865752215396e-05,5.235597080678079e-05,3.3933036365969076e-05
1266606720,2.561103660587998e-06,3.6055243194986727e-06,5.9942126232049644e-05,7.278864597061013e-05
1266652800,8.705091776073797e-06,3.8759461298033435e-05,5.319384700919426e-05,6.236213778911803e-05
1266698880,2.025662635121351e-06,3.1334947602561375e-06,4.8254752896867554e-05,8.10903645594124e-05
