ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,0.0,0.0,0.0,0.0,0,0
1084922078,0.0,0.0,0.0,0.0,0,0
1085090119,0.0,0.0,0.0,0.0,0,0
1085258160,0.0,0.0,0.0,0.0,0,0
1085426201,0.0,0.0,0.0,0.0,0,0
1085594242,0.0,0.0,0.0,0.0,0,0
1085762283,0.0,0.0,0.0,0.0,0,0
1085930324,4.7286635288882987e-07,5.95998573527682e-07,2.2537955772814825e-06,1.6917966419894952e-06,0,0
1086098365,3.8399990634631035e-07,4.3856133181542214e-07,1.9970166256112183e-06,1.4084742871671126e-06,0,0
1086266406,3.924367688809779e-07,4.629859487578396e-07,2.1583453717901057e-06,1.4270758596285913e-06,0,0
1086434447,4.0045905413158666e-07,4.645500143598922e-07,2.091576773586848e-06,1.4385068557438606e-06,0,0
1086602488,4.0254038706955954e-07,4.84080429819027e-07,2.3545267243691815e-06,1.5983620423416115e-06,0,0
1086770529,4.2089016134022127e-07,5.034632879366139e-07,2.567131936522704e-06,1.6669592045339373e-06,0,0
1086938570,4.1367014582885824e-07,4.7215351027738447e-07,2.103806844116141e-06,1.4916836336939852e-06,0,0
1087106611,4.2911019464301153e-07,5.162363017875141e-07,2.356507232346319e-06,1.631147790711323e-06,0,0
1087274652,4.130813030968789e-07,4.978055397165707e-07,2.303099400281195e-06,1.5885349718422424e-06,0,0
1087442693,4.1771145157002996e-07,5.520069265567197e-07,2.4060133725317725e-06,1.6319871582405512e-06,0,0
1087610734,4.280194580897059e-07,5.13707660519702e-07,2.349103390497576e-06,1.7063880694053511e-06,0,0
1087778775,4.2951263220685636e-07,5.407425245166228e-07,2.6946911229155414e-06,1.768347115594973e-06,0,0
1087946816,4.5110839157839635e-07,5.544294203927799e-07,2.739831096933122e-06,1.8190464055942e-06,0,0
1088114857,4.337390978970987e-07,5.471352884994029e-07,2.5247088973051704e-06,1.7834035133522917e-06,0,0
1088282898,4.441409403620623e-07,5.376110600341228e-07,2.657399817093271e-06,1.8765201384141453e-06,0,0
1088450939,4.6125171309314186e-07,5.720859072500341e-07,2.594425173200134e-06,1.843014900990315e-06,0,0
1088618980,4.3567776937113024e-07,5.56618165070885e-07,2.41963840071655e-06,1.7968403799974183e-06,0,0
1088787021,4.3846423964191476e-07,5.547041933552111e-07,2.3470907342929883e-06,1.7835288272042207e-06,0,0
1088955062,5.017287253538925e-07,5.74392673058579e-07,2.767533974930053e-06,2.003327835683102e-06,0,0
1089123103,4.827645676828187e-07,5.8149980777506e-07,2.69173453821076e-06,2.259860420775716e-06,0,0
1089291144,4.6770720356983656e-07,6.171903635584512e-07,2.5462641134289e-06,2.0413883843577963e-06,0,0
1089459185,5.060301587212787e-07,5.581783321097625e-07,2.3381913598563787e-06,1.9522751161685908e-06,0,0
1089627226,5.203402883318946e-07,5.933546801256206e-07,2.636363020198877e-06,1.9043071207311717e-06,0,0
1089795267,4.512092794262138e-07,5.915534220516315e-07,2.2996959698401464e-06,1.8200965518047294e-06,0,0
1089963308,5.357140796661259e-07,5.749997333920102e-07,2.584570797998654e-06,2.1934439065067534e-06,0,0
1090131349,4.5839985457964876e-07,5.954343361946065e-07,3.065824717570046e-06,2.129499015878114e-06,0,0
1090299390,4.86302949013311e-07,6.144720333953486e-07,2.9628699386428917e-06,2.1394832336031744e-06,0,0
1090467431,5.031816837410786e-07,5.928747260255392e-07,2.613131514003129e-06,2.6044594865313234e-06,0,0
1090635472,5.237197271213773e-07,6.180584774577295e-07,2.8697985474642007e-06,2.717816936195081e-06,0,0
1090803513,5.223074947364191e-07,6.010621059006243e-07,2.880198088671454e-06,2.553848658869221e-06,0,0
1090971554,4.915895959063148e-07,6.317644475517355e-07,2.3159988447822463e-06,2.0010575633151192e-06,0,0
1091139595,4.983331544273273e-07,6.075923590136734e-07,2.788832484428669e-06,2.216644240455783e-06,0,0
1091307636,5.322775373591556e-07,5.678743668972066e-07,2.6656973832675532e-06,2.2214976137889087e-06,0,0
1091475677,5.894283483918358e-07,6.330903355524777e-07,2.516330352051347e-06,1.925329923744602e-06,0,0
1091643718,6.161248402969757e-07,6.667266436177031e-07,4.4282462045671365e-06,2.2706650290743697e-06,0,0
1091811759,5.328925694417011e-07,6.001995280249442e-07,2.982544058819641e-06,2.0086513918670584e-06,0,0
1091979800,4.6864693623867976e-07,6.462936703656447e-07,3.028409922684272e-06,2.298664998148453e-06,0,0
1092147841,4.998459866919861e-07,5.840765732224296e-07,2.3290744227678235e-06,1.8428805893588154e-06,0,0
1092315882,4.925580191425663e-07,6.315664618600238e-07,3.1413092846014215e-06,2.0741658225326197e-06,0,0
1092483923,4.865294198934983e-07,5.38962722676007e-07,2.4305190263898364e-06,1.8349989579279777e-06,0,0
1092651964,5.096361580023678e-07,5.864281224054273e-07,2.4032263344636876e-06,2.0798409629896336e-06,0,0
1092820005,5.094397201410554e-07,5.614164830437285e-07,2.2682165589683707e-06,1.7454158603015784e-06,0,0
1092988046,4.5917993613808373e-07,5.791426322457293e-07,2.2443508164936173e-06,2.0667040163878032e-06,0,0
1093156087,4.797220109948541e-07,6.112720735797479e-07,2.2683829130469776e-06,1.948415090809364e-06,0,0
1093324128,5.71856190016881e-07,8.113320411378585e-07,2.730990967525564e-06,3.4037413059806028e-06,0,0
1093492169,4.6816617611651784e-07,6.136995809630888e-07,2.7365526280730548e-06,1.7566646304221778e-06,0,0
1093660210,4.954734490979389e-07,5.848121173768714e-07,2.674893259189794e-06,1.6388738106565987e-06,0,0
1093828251,4.922497668451854e-07,5.43499634667383e-07,2.4063170440994532e-06,1.915848994713885e-06,0,0
1093996292,4.66045088936552e-07,5.827137486965107e-07,2.5007250938569842e-06,2.054998231343499e-06,0,0
1094164333,5.597774586315787e-07,6.446661605383171e-07,2.7775973157981337e-06,2.12538296120379e-06,0,0
1094332374,4.7377745587163e-07,6.456424866938755e-07,3.2408930548724475e-06,2.171748934477725e-06,0,0
1094500415,4.802495663852923e-07,5.865329240503524e-07,2.515179514649206e-06,3.2214589582987434e-06,0,0
1094668456,5.160585461547902e-07,7.079996076794739e-07,2.7401644328751474e-06,1.994731917735445e-06,0,0
1094836497,6.677270183264885e-07,6.265993861658798e-07,2.5149983715697133e-06,2.253331575681334e-06,0,0
1095004538,4.5638423020712476e-07,6.926424108260208e-07,2.9811979536669152e-06,2.2904597605722305e-06,0,0
1095172579,5.265449470886267e-07,5.940995349925772e-07,3.6272454187854752e-06,2.916852791955845e-06,0,0
1095340620,4.693073004449239e-07,6.313566738338366e-07,2.3534147903721785e-06,2.5069146307473706e-06,0,0
1095508661,4.7078102692546126e-07,5.622914165822784e-07,2.3151655850781175e-06,1.9834278058878048e-06,0,0
1095676702,5.192995822872681e-07,6.411993990639576e-07,3.113269880092847e-06,2.6460883423542324e-06,0,0
1095844743,4.818329142374358e-07,6.383324916078029e-07,3.2275669208796396e-06,3.945620121322461e-06,0,0
1096012784,5.439994786982512e-07,5.253317867500058e-07,2.6166622212705105e-06,2.3755680533152278e-06,0,0
1096180825,5.241659341261471e-07,6.308323560498584e-07,2.3025956911974636e-06,1.7292476271360633e-06,0,0
1096348866,5.448323477905106e-07,6.863309116888016e-07,3.414983189878849e-06,2.6113246010276794e-06,0,0
1096516907,5.165711185743467e-07,5.723325416719118e-07,2.8497099612270464e-06,3.052196774728287e-06,0,0
1096684948,5.254278510957168e-07,6.724438618727869e-07,2.946396908011902e-06,2.0943982210017593e-06,0,0
1096852989,6.053325924309562e-07,5.399952557939951e-07,3.240241852191518e-06,4.721476710444479e-06,0,0
1097021030,4.942493848910253e-07,5.220993679774202e-07,2.9356130389430424e-06,2.9060881675520236e-06,0,0
1097189071,4.838661989097018e-07,6.21362990803694e-07,2.7891791790642613e-06,2.412581388351942e-06,0,0
1097357112,4.897140273956568e-07,5.813328401456167e-07,2.3520575236063257e-06,2.1015779706577607e-06,0,0
1097525153,4.7464253327690237e-07,5.423742136977642e-07,2.230531783124733e-06,2.4069976986605175e-06,0,0
1097693194,4.795828262203229e-07,5.768995521905112e-07,2.464931815835254e-06,2.0176414841961996e-06,0,0
1097861235,5.505450021861249e-07,5.383994066720261e-07,2.3479961151542275e-06,2.64509743982181e-06,0,0
1098029276,4.852721150429276e-07,5.653315335663904e-07,2.687746524306299e-06,2.380567668476381e-06,0,0
1098197317,4.94284978007427e-07,6.75998209617565e-07,2.372658525426118e-06,2.4755954255925536e-06,0,0
1098365358,5.249951096791153e-07,8.479916470907825e-07,1.9859800558318608e-06,4.074958447161449e-06,0,0
