ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,0.0,0.0,0.0,0.0,0,0
1084922078,0.0,0.0,0.0,0.0,0,0
1085090119,0.0,0.0,0.0,0.0,0,0
1085258160,0.0,0.0,0.0,0.0,0,0
1085426201,0.0,0.0,0.0,0.0,0,0
1085594242,0.0,0.0,0.0,0.0,0,0
1085762283,0.0,0.0,0.0,0.0,0,0
1085930324,2.5754395197163085e-05,1.3167037738477358e-05,9.968604548125928e-05,6.320778952294877e-05,0,0
1086098365,2.915041774230684e-05,1.3909203932474174e-05,0.0001286845107463573,0.00011323471010091998,0,0
1086266406,2.713781123883228e-05,1.5416790086823087e-05,0.00015747887139495507,7.956790937877109e-05,0,0
1086434447,2.1355478742564944e-05,1.4705531917838852e-05,0.00010401789081609853,5.322091202906715e-05,0,0
1086602488,2.2335012536776693e-05,1.472800994341795e-05,0.00011377676838579845,9.442241411082041e-05,0,0
1086770529,2.3280797220060855e-05,1.5732442676178264e-05,8.7006418180325e-05,6.0640410017400385e-05,0,0
1086938570,2.288260410253217e-05,1.42260192183482e-05,0.00011190843998540153,6.021891422950648e-05,0,0
1087106611,1.9479843008357156e-05,1.380264918247046e-05,9.362184979322359e-05,5.997323086267972e-05,0,0
1087274652,2.408345141950371e-05,1.4214455128115371e-05,0.00013622720754901833,5.621279578213324e-05,0,0
1087442693,2.637604095195822e-05,1.4130890218982638e-05,9.537410231003003e-05,7.048991069499604e-05,0,0
1087610734,2.3155921649154203e-05,1.461497460442728e-05,0.00010398599970146086,6.210917734450944e-05,0,0
1087778775,2.4710673826928783e-05,1.504613843795558e-05,8.683854266778728e-05,7.01503174927481e-05,0,0
1087946816,2.1459903004773314e-05,1.4443671913091747e-05,7.775288333305256e-05,5.025938758021806e-05,0,0
1088114857,2.3746847299999225e-05,1.4151810757579735e-05,7.917610001663198e-05,5.2477408907448774e-05,0,0
1088282898,2.042803417828885e-05,1.43953694620594e-05,9.925381821129062e-05,7.729292162622689e-05,0,0
1088450939,2.15849477987578e-05,1.372840940263245e-05,8.523005585832966e-05,5.82160807539009e-05,0,0
1088618980,2.173107990303193e-05,1.3870132397619463e-05,8.851860478878995e-05,7.576148187266652e-05,0,0
1088787021,1.9790362266020813e-05,1.4271225922660106e-05,9.652785737713582e-05,6.533710584718689e-05,0,0
1088955062,1.915615442516426e-05,1.4332587060312278e-05,8.390603038469557e-05,6.247423655116884e-05,0,0
1089123103,2.3962429357960337e-05,1.4019771973878974e-05,8.954065181099882e-05,6.227762718999104e-05,0,0
1089291144,2.1792123071000708e-05,1.5033801104389582e-05,9.672070432054387e-05,8.588954112023951e-05,0,0
1089459185,2.236337034583173e-05,1.319441261597739e-05,9.493140085095976e-05,6.177446888793543e-05,0,0
1089627226,3.724482914936804e-05,1.6039643639309263e-05,9.907392330749177e-05,8.437265181995032e-05,0,0
1089795267,2.369280909040178e-05,1.575566789118939e-05,0.00010256061012551986,7.965139385252113e-05,0,0
1089963308,2.6214578227720133e-05,1.4683498141485084e-05,7.889847586594127e-05,6.859608652156046e-05,0,0
1090131349,2.52003749950777e-05,1.4265312245684798e-05,7.435196769403757e-05,6.262849771067004e-05,0,0
1090299390,2.085348276670801e-05,1.3747669599745584e-05,6.848429600529726e-05,5.7598464242222436e-05,0,0
1090467431,1.89952592482104e-05,1.3507421578750133e-05,8.467661350153229e-05,5.8565311965088615e-05,0,0
1090635472,1.9659871503359207e-05,1.3797700962821203e-05,7.946511814034068e-05,6.022983721046787e-05,0,0
1090803513,1.7682633114954076e-05,1.4717890066305801e-05,8.346194188625365e-05,5.499381072675647e-05,0,0
1090971554,1.722610435047172e-05,1.3859874845976053e-05,7.811510751913958e-05,5.6916468351951685e-05,0,0
1091139595,1.7167723436693126e-05,1.409640861318938e-05,7.490926036331685e-05,7.294494038927627e-05,0,0
1091307636,2.6148236146683206e-05,1.4434805464523754e-05,8.490627000650194e-05,6.794394042316374e-05,0,0
1091475677,1.9171544874079442e-05,1.4813992844748756e-05,8.728465765018684e-05,9.399677154601939e-05,0,0
1091643718,3.652860693320795e-05,1.669695388500356e-05,8.574124212956543e-05,7.743328429214111e-05,0,0
1091811759,2.200215962782413e-05,1.4011071416818389e-05,6.991420161978259e-05,6.26837895316149e-05,0,0
1091979800,1.7551376740824357e-05,1.3255306347204978e-05,6.452534187650346e-05,5.174996769058603e-05,0,0
1092147841,2.1915504028379603e-05,1.2992961918857905e-05,6.881073992909522e-05,5.9776172813172475e-05,0,0
1092315882,1.893192595735299e-05,1.4264178961164577e-05,8.152335937407493e-05,5.9916595170642087e-05,0,0
1092483923,1.6423790250012995e-05,1.2822167306187805e-05,6.167388634140857e-05,4.766724335408875e-05,0,0
1092651964,1.9865236318390438e-05,1.271987495614125e-05,6.309767783170821e-05,5.698909526468193e-05,0,0
1092820005,2.8797915856977933e-05,1.284861286400826e-05,6.434559161742583e-05,5.222987457984023e-05,0,0
1092988046,1.664255219180767e-05,1.1837170381797262e-05,5.738434820588072e-05,3.842272602901083e-05,0,0
1093156087,1.9090646432656517e-05,1.3319571640247252e-05,7.122126733326444e-05,5.20462961544843e-05,0,0
1093324128,1.723481860296707e-05,1.1771203487351497e-05,7.264289899611696e-05,4.331079098821986e-05,0,0
1093492169,1.6612545812398858e-05,1.2155318688314255e-05,5.4717639169814296e-05,4.2776111617731623e-05,0,0
1093660210,1.8611950268170293e-05,1.3419252324730481e-05,6.815341640514779e-05,6.586270938435792e-05,0,0
1093828251,1.636140691528476e-05,1.3750655993836815e-05,6.941605760772233e-05,5.549358209640845e-05,0,0
1093996292,1.816952118582181e-05,1.4128863358624051e-05,8.054443047668993e-05,6.99541320080674e-05,0,0
1094164333,1.743457446548474e-05,1.2934996610396319e-05,6.619972478340076e-05,4.958717453970103e-05,0,0
1094332374,1.7013654407511915e-05,1.3304041602381111e-05,5.831853538395358e-05,4.203352764858526e-05,0,0
1094500415,1.931060660875133e-05,1.3202870884268219e-05,7.615456213371984e-05,5.52976896815239e-05,0,0
1094668456,1.734438429605889e-05,1.1934305467004723e-05,6.48882842908105e-05,3.988210984920665e-05,0,0
1094836497,1.731970246185354e-05,1.3816712093559804e-05,6.303475192330896e-05,4.956417226085642e-05,0,0
1095004538,3.26890890567685e-05,1.3034374791758403e-05,5.6943765389297704e-05,4.5961384683603415e-05,0,0
1095172579,1.5996282430061106e-05,1.2353057539743458e-05,5.2993009014798814e-05,3.748121937516728e-05,0,0
1095340620,2.2275346297699937e-05,1.1939087312477036e-05,5.4796498716473245e-05,4.6526872378090774e-05,0,0
1095508661,2.1887649615192726e-05,1.224133131783581e-05,6.585322242451126e-05,3.958049297982723e-05,0,0
1095676702,2.160724548476051e-05,1.2881976532927222e-05,5.289643563720481e-05,4.65689901166026e-05,0,0
1095844743,1.9027278825915894e-05,1.2762025580742662e-05,6.194885997929253e-05,4.2618111632717357e-05,0,0
1096012784,1.5575449865292136e-05,1.1934917959483737e-05,6.014632570139851e-05,3.177349057528068e-05,0,0
1096180825,2.0233312044452083e-05,1.2594434939191102e-05,7.807143155526851e-05,3.781728791279072e-05,0,0
1096348866,1.5174511901194699e-05,1.3870964337659591e-05,5.911707304417061e-05,3.8746331738922693e-05,0,0
1096516907,1.8153141054613265e-05,1.2497352651545251e-05,7.280926943179469e-05,3.765202598104513e-05,0,0
1096684948,2.5378562374620864e-05,1.3160110354701703e-05,7.017465186150887e-05,4.504166193370801e-05,0,0
1096852989,2.5223587484275534e-05,1.4456914215572294e-05,7.380946641769426e-05,5.097239528794591e-05,0,0
1097021030,1.9063527039613097e-05,1.4859423300254516e-05,5.1635739410232094e-05,4.618046421389867e-05,0,0
1097189071,2.0269059533586565e-05,1.3059879779220742e-05,6.150155654247037e-05,4.6839270598807586e-05,0,0
1097357112,1.9236307111890613e-05,1.2322648507404742e-05,5.744061895328093e-05,3.4520406306338815e-05,0,0
1097525153,1.6347932067274396e-05,1.1954510722170714e-05,4.5871060557963634e-05,3.1589755429655176e-05,0,0
1097693194,1.9142144563676433e-05,1.1148872925476063e-05,4.91450100462655e-05,4.661922183802176e-05,0,0
1097861235,2.1991459355720728e-05,1.2351060514965381e-05,6.591712406416409e-05,5.2482305567740805e-05,0,0
1098029276,1.705008147938705e-05,1.1326670779981837e-05,5.000461000588072e-05,4.1646168333688e-05,0,0
1098197317,1.429382569496526e-05,1.045338393238928e-05,4.566034541331126e-05,2.9874272101718655e-05,0,0
1098365358,1.5655201759319892e-05,1.114720356308683e-05,6.341114020972859e-05,5.9233100263144446e-05,0,0
