ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,1.5749251310314145e-06,1.230547323777335e-06,4.469561644285613e-06,2.2410509511842776e-06,0,0
1084922078,1.092994269625967e-06,1.3164888876154919e-06,2.0773352603100073e-06,1.695998506699599e-06,0,0
1085090119,9.996218235686755e-07,1.1513472159685216e-06,2.02032160746877e-06,1.8056878242340094e-06,0,0
1085258160,9.848779920493993e-07,1.1933526501742961e-06,2.0802319070511585e-06,1.807347893087291e-06,0,0
1085426201,1.0323193192768666e-06,1.1505792085393336e-06,2.206785986899548e-06,1.9153508050478765e-06,0,0
1085594242,9.289076013580286e-07,1.1087459095880235e-06,1.971403880297241e-06,1.7188138982669682e-06,0,0
1085762283,8.68585443367357e-07,1.049786009468577e-06,1.826833269928339e-06,1.5401144654880713e-06,0,0
1085930324,9.258983567635446e-07,1.1504813273932875e-06,2.0466114242850045e-06,1.817159560959914e-06,0,0
1086098365,9.154349073673157e-07,1.2465690538147148e-06,2.015479606448945e-06,1.7706383973033757e-06,0,0
1086266406,1.012094043287163e-06,1.4591287872621631e-06,2.3070441586072375e-06,2.2651192679613564e-06,0,0
1086434447,9.802817320799855e-07,1.424051925879658e-06,2.1577725096186877e-06,2.201313404224371e-06,0,0
1086602488,1.0486140141251258e-06,1.641518407063933e-06,2.3358564646188656e-06,2.5025979057191004e-06,0,0
1086770529,1.1204451534776411e-06,1.6529512544293446e-06,2.5863040347972415e-06,2.9250967206422485e-06,0,0
1086938570,1.0064999772268967e-06,1.5125243388954624e-06,2.232652888956882e-06,2.2909531692738085e-06,0,0
1087106611,1.1276534840145868e-06,1.5379940833818975e-06,2.377796921839799e-06,2.5537400267609582e-06,0,0
1087274652,1.1061983064888808e-06,1.5292149378503743e-06,2.5289121025376234e-06,2.571713617509164e-06,0,0
1087442693,1.1337480543758549e-06,1.5362537411424638e-06,2.4608016030241885e-06,2.5856474985638232e-06,0,0
1087610734,1.1459460092623452e-06,1.616947981262043e-06,2.4649394267686625e-06,2.594793137239379e-06,0,0
1087778775,1.3117976366431523e-06,1.7095832145930482e-06,2.9822400440564217e-06,3.1380918908344673e-06,0,0
1087946816,1.4361713004754396e-06,1.8577110096026138e-06,3.193335563201515e-06,3.4686327902254373e-06,0,0
1088114857,1.4539915536659012e-06,1.9360885165869886e-06,3.028906055368635e-06,3.2335791805098123e-06,0,0
1088282898,1.4192486021014028e-06,1.6773836966297774e-06,2.824546759180085e-06,2.930309956797012e-06,0,0
1088450939,1.4613443822692535e-06,1.6980037758783993e-06,2.9164316778540093e-06,3.1056141048572497e-06,0,0
