ts,Dtree,nDtree,HK,HDT,ET,opt
1084754037,1.569594833672237e-06,1.7078543962520443e-06,1.6958315378782794e-05,1.077531580083417e-05,0,0
1084922078,1.447548276548792e-06,1.6822063674369717e-06,1.9980837417240056e-05,1.2707541060662523e-05,0,0
1085090119,1.644499906610418e-06,1.7659125962409788e-06,2.567773602160443e-05,1.427979256567654e-05,0,0
1085258160,1.562024838510243e-06,1.7662373190889333e-06,2.6484909128559417e-05,1.561127293544176e-05,0,0
1085426201,1.5714724332772487e-06,1.7945632079990711e-06,2.4853650140708797e-05,1.5363051866295267e-05,0,0
1085594242,1.6104190806162646e-06,1.970048087662487e-06,2.464796377723994e-05,1.6064013488121767e-05,0,0
1085762283,1.577534648865411e-06,1.864604126757382e-06,2.6333459117343112e-05,2.1442297412386252e-05,0,0
1085930324,1.6787885713866458e-06,1.9493675066232083e-06,3.5391718333761947e-05,1.744109624044774e-05,0,0
1086098365,1.753230058512797e-06,2.1904992016903276e-06,2.4865951903567343e-05,1.724695484768626e-05,0,0
1086266406,1.9315892496252134e-06,2.6339480786852454e-06,3.103768416102268e-05,1.9619610431667656e-05,0,0
1086434447,1.7033320104423478e-06,2.3330649945321726e-06,2.7865314866941417e-05,1.6551988847456596e-05,0,0
1086602488,1.8293982871503535e-06,2.6923973015781124e-06,2.9772770507854726e-05,2.242207778787338e-05,0,0
1086770529,1.9674695692384705e-06,2.7545866414049232e-06,3.1198040338597705e-05,2.0335635161316576e-05,0,0
1086938570,1.8653320611260136e-06,2.695747856094603e-06,2.739856053795249e-05,1.9481067117294655e-05,0,0
1087106611,1.806873804822113e-06,2.3043736327476815e-06,2.785498268913366e-05,1.8115738488140145e-05,0,0
1087274652,1.8509401476233375e-06,2.3655871053316337e-06,2.8344159671534975e-05,1.894834171150195e-05,0,0
1087442693,1.8971321660993297e-06,2.3699316408556743e-06,2.8316381070793042e-05,1.941118695999602e-05,0,0
1087610734,2.0989970862869307e-06,4.0908514322203735e-06,3.44790939377751e-05,2.0998113167518973e-05,0,0
1087778775,1.8259940052253386e-06,2.6343247358736988e-06,3.567054736722154e-05,1.7023610120737203e-05,0,0
1087946816,1.974442490566438e-06,2.9552189624987864e-06,3.0393077680711827e-05,1.9165867471207558e-05,0,0
1088114857,1.9549072274265965e-06,2.4047248734669912e-06,2.7254065930171987e-05,1.7202620740399212e-05,0,0
1088282898,1.8204968885015703e-06,2.233496228419921e-06,2.713412150981623e-05,1.8147969734394575e-05,0,0
1088450939,1.959997709652703e-06,2.4837753285385344e-06,2.828441291963333e-05,1.888253472056781e-05,0,0
1088618980,2.263665259351138e-06,2.6722651223665558e-06,2.8269247812588416e-05,1.931698701855455e-05,0,0
1088787021,1.8907844092743136e-06,2.5755694411285025e-06,2.4401268333038737e-05,1.9104486581321427e-05,0,0
1088955062,2.033075266675884e-06,2.4503825973525717e-06,2.6089287820345943e-05,1.9970753812457774e-05,0,0
1089123103,1.991997840959015e-06,2.5777750384464846e-06,2.7622413683310566e-05,2.0320310752930656e-05,0,0
1089291144,1.964581800408471e-06,2.4603313362279003e-06,2.7359977152163224e-05,1.7694735443329158e-05,0,0
1089459185,1.948104171279217e-06,2.692208976098887e-06,2.4484250379005785e-05,1.7542990803446306e-05,0,0
1089627226,1.9581798344324875e-06,2.5606343648944954e-06,2.6026521799094267e-05,1.6144440243641282e-05,0,0
1089795267,2.0558627261607514e-06,2.9444531564627212e-06,2.653357872078218e-05,1.833962796617338e-05,0,0
1089963308,2.274664336942515e-06,2.9595519925534885e-06,2.790052452539472e-05,1.8564090662813778e-05,0,0
1090131349,1.9699902348876555e-06,2.688987221641959e-06,2.52263742518525e-05,1.9699900984641324e-05,0,0
1090299390,2.004248014529066e-06,2.8584142585564874e-06,2.6354811266612284e-05,1.7235485566882448e-05,0,0
1090467431,1.973153103753884e-06,2.4496529709785605e-06,2.2635029630734443e-05,1.6601147429721154e-05,0,0
1090635472,1.998152236136553e-06,2.252536799047306e-06,2.687659480137147e-05,1.8397678154569765e-05,0,0
1090803513,2.051372512701243e-06,2.8443715479857126e-06,2.5666343253257254e-05,1.8735351546028056e-05,0,0
1090971554,1.8944276222078084e-06,2.9449985274670997e-06,2.707008230145209e-05,1.7380039194837174e-05,0,0
1091139595,2.204463458632613e-06,2.4943562160538465e-06,2.3537920151213743e-05,1.5264601648463795e-05,0,0
1091307636,2.0092208770914834e-06,2.5839986740333653e-06,2.617665208489833e-05,1.8156823310650223e-05,0,0
1091475677,2.1176594952484002e-06,2.2089933772382695e-06,2.9981233441762062e-05,1.721894255622356e-05,0,0
1091643718,2.3617569635464216e-06,2.9043022486213186e-06,3.132674791476331e-05,2.1155993398689948e-05,0,0
1091811759,2.212424815834557e-06,3.456709236171655e-06,3.3973665846600283e-05,2.2209111038818098e-05,0,0
1091979800,1.8974258036363428e-06,2.0867113895507484e-06,2.2648825243327064e-05,1.4635264841745254e-05,0,0
