ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0.0,0.0,0.0,0,0
1082420323,0.0,0.0,0.0,0.0,0,0
1082613604,0.0,0.0,0.0,0.0,0,0
1082806885,0.0,0.0,0.0,0.0,0,0
1083000166,0.0,0.0,0.0,0.0,0,0
1083193447,0.0,0.0,0.0,0.0,0,0
1083386728,0.0,0.0,0.0,0.0,0,0
1083580009,0.0,0.0,0.0,0.0,0,0
1083773290,1.0623293199889308e-06,0.0,0.0,0.0,0,0
1083966571,4.763076007668158e-07,4.4248147197641614e-07,1.791653081614292e-06,1.4984994362951529e-06,0,0
1084159852,4.286536133625704e-07,4.705251990713926e-07,2.20891637407533e-06,1.5103147957900276e-06,0,0
1084353133,4.469891291854021e-07,5.175152422824405e-07,2.2226341574001657e-06,1.5484011030797617e-06,0,0
1084546414,4.355787059109272e-07,4.867499828838468e-07,2.275776754722342e-06,1.5659494145423465e-06,0,0
1084739695,4.543293413002225e-07,4.95655815898514e-07,2.3560275674876777e-06,1.677099590034737e-06,0,0
1084932976,4.475031107200515e-07,4.935460241546903e-07,2.208344014367001e-06,1.5806887474196577e-06,0,0
1085126257,4.715120075737645e-07,5.152612897791296e-07,2.292964380055094e-06,1.6590016198310746e-06,0,0
1085319538,4.752938399200067e-07,5.237701364647102e-07,2.4061353207268503e-06,1.763017422701006e-06,0,0
1085512819,5.009558383924106e-07,5.522962476477258e-07,2.6018824959552483e-06,1.91612942680324e-06,0,0
1085706100,4.834432590138328e-07,5.256315974080873e-07,2.4089780985044887e-06,1.769975823448325e-06,0,0
1085899381,5.263526896593281e-07,5.623604495584983e-07,2.640704305056469e-06,1.907634546627014e-06,0,0
1086092662,5.037903942572077e-07,5.349503223994351e-07,2.5878327955370745e-06,1.809220575960065e-06,0,0
1086285943,5.038032130731057e-07,5.60254937975861e-07,2.7298963293303903e-06,1.869808360435437e-06,0,0
1086479224,5.117369309305189e-07,5.774682684405282e-07,2.6937091613335356e-06,1.903006094586993e-06,0,0
1086672505,5.15143867476968e-07,5.725522140917197e-07,2.756107492517277e-06,1.9022686593962472e-06,0,0
1086865786,5.075700883420038e-07,5.595252544434152e-07,2.6413567500940374e-06,1.8352207012228171e-06,0,0
1087059067,5.170137746056454e-07,5.833522607060625e-07,2.693132816451341e-06,2.0380534635110284e-06,0,0
1087252348,5.461427687291556e-07,6.109362388622312e-07,2.8211141721679244e-06,2.1870365501886417e-06,0,0
1087445629,5.832540241969075e-07,6.981258703305093e-07,3.3055095571644834e-06,2.5998786849718492e-06,0,0
1087638910,5.371667250345756e-07,6.52146663235308e-07,2.787339478126214e-06,2.2241907388424152e-06,0,0
1087832191,5.542713280026392e-07,6.580767632485288e-07,3.113311050699476e-06,2.4919823113964367e-06,0,0
1088025472,5.851205904172484e-07,6.634216257532534e-07,3.202474786332327e-06,2.661227027845758e-06,0,0
1088218753,5.589416763291744e-07,6.742679482556633e-07,2.917139152251258e-06,2.4946380647340504e-06,0,0
1088412034,5.555236924303246e-07,6.576559817686987e-07,2.8401992670223718e-06,2.7150883023101697e-06,0,0
1088605315,5.16935321955258e-07,5.774811564295621e-07,1.9601808678165415e-06,2.2133744341684495e-06,0,0
1088798596,7.179934123805144e-07,7.719913918343821e-07,3.056984673138713e-06,3.948961039636008e-06,0,0
1088991877,7.069922744792481e-07,0.0,0.0,4.550955019767919e-06,0,0
1089185158,8.17991354861023e-07,0.0,0.0,0.0,0,0
1089378439,5.719993552339617e-07,7.059918403116395e-07,2.0919806033180207e-06,0.0,0,0
1089571720,6.739924987178768e-07,0.0,0.0,0.0,0,0
1089765001,5.887891360350145e-07,6.307480054720914e-07,2.9012426467715498e-06,2.5683948042934356e-06,0,0
1089958282,5.717499969438172e-07,6.482937550376996e-07,2.7601890755249844e-06,2.2989987302135723e-06,0,0
1090151563,5.759998251788851e-07,6.827031195657352e-07,2.7884338574967647e-06,2.4206803153297794e-06,0,0
1090344844,5.326496713430483e-07,6.168212302580433e-07,3.1823833527220392e-06,2.290999062174318e-06,0,0
1090538125,5.456151764553919e-07,6.195555784100609e-07,2.8725302859185e-06,2.3699987461105595e-06,0,0
1090731406,5.887366725787772e-07,6.867492685514592e-07,2.5608864479844297e-06,2.1204976616083566e-06,0,0
1090924687,5.614995858926483e-07,6.893328597595157e-07,2.4627492585653063e-06,2.5129575218723646e-06,0,0
1091117968,6.299999368727973e-07,5.941101807961767e-07,2.182442080871781e-06,2.495282201260911e-06,0,0
1091311249,6.001657616415689e-07,7.41798402275947e-07,2.3436587771961148e-06,2.1076596343352765e-06,0,0
1091504530,8.209926573638486e-07,7.334956240494304e-07,2.0379789859217253e-06,1.800491283297098e-06,0,0
1091697811,5.927852259744027e-07,6.237267653847158e-07,2.3393979316140504e-06,2.1007483536192302e-06,0,0
1091891092,5.549989204278907e-07,5.624434294551262e-07,2.6696644034874422e-06,1.9385964487640434e-06,0,0
1092084373,7.00248233599552e-07,9.809911843038763e-07,0.0,2.6856579615555137e-06,0,0
1092277654,5.244538553075703e-07,6.114272085384783e-07,2.508886045133821e-06,2.5827246482170995e-06,0,0
1092470935,5.658566662233663e-07,5.932494647314745e-07,2.283921618073918e-06,2.159898053984739e-06,0,0
1092664216,5.261813975824267e-07,5.831103598750907e-07,2.1858543558635046e-06,3.177396962578399e-06,0,0
1092857497,4.893332738117813e-07,6.821242664005212e-07,2.1264963256613608e-06,2.0989974611073705e-06,0,0
1093050778,5.609994689162711e-07,6.341988458934696e-07,2.1034961524818473e-06,1.8686609879463364e-06,0,0
1093244059,8.249983077456995e-07,0.0,3.345966625336489e-06,1.9419906709966935e-06,0,0
1093437340,6.239982074173787e-07,5.537490122754256e-07,2.100659580114145e-06,1.7129919640202263e-06,0,0
1093630621,5.848741658656466e-07,6.004986361476269e-07,2.3184886722208193e-06,2.5569933963107103e-06,0,0
1093823902,6.644272869308254e-07,7.292487639063087e-07,2.134979263841836e-06,1.922660540041094e-06,0,0
1094017183,5.689997660614046e-07,6.26665967765017e-07,2.2486621788778505e-06,2.2078862784871833e-06,0,0
1094210464,5.887852711331159e-07,5.734995005974548e-07,2.3772470128611387e-06,2.3785980235550735e-06,0,0
1094403745,6.838561448502164e-07,7.254989266254921e-07,3.097138680797288e-06,3.5814941264494387e-06,0,0
1094597026,5.512304624172199e-07,6.064437236880159e-07,2.1319977206720028e-06,1.8644972783062742e-06,0,0
1094790307,5.608879931334232e-07,6.978322937437024e-07,2.790567424249495e-06,2.4464249952445652e-06,0,0
1094983588,7.85248486431916e-07,8.083307306483601e-07,2.2989758895098702e-06,1.589984565666619e-06,0,0
1095176869,6.809988263600461e-07,7.146633961968168e-07,2.305394928392106e-06,2.9599936996464917e-06,0,0
1095370150,5.863991741485543e-07,5.987484238838666e-07,2.659621572678538e-06,2.491662690450993e-06,0,0
1095563431,6.999981231818405e-07,6.51496901225899e-07,2.0937959522543757e-06,1.3829934659161293e-06,0,0
1095756712,7.05198589686826e-07,9.159902479775284e-07,3.3594917708790823e-06,3.1909936141626845e-06,0,0
1095949993,6.274275361857149e-07,6.334971815817093e-07,5.9682352863453745e-06,2.534324004595232e-06,0,0
1096143274,6.072485401163458e-07,8.769981572737899e-07,2.5069919609243645e-06,2.6957437421479203e-06,0,0
1096336555,6.02832395662777e-07,5.552483105430526e-07,2.8508285223641164e-06,3.1487423664683666e-06,0,0
1096529836,5.934993480884324e-07,5.062484964898694e-07,2.7563716791261053e-06,2.9421218699812853e-06,0,0
1096723117,5.972486708700256e-07,6.109963951637791e-07,2.001659592836716e-06,2.1622445787828464e-06,0,0
1096916398,5.967990433646489e-07,7.967476539458633e-07,3.1494922429752874e-06,2.9364927542975965e-06,0,0
1097109679,6.964988510649494e-07,7.219969400283354e-07,2.2339888514729023e-06,4.138978734521307e-06,0,0
1097302960,6.409968373942497e-07,6.859974314097524e-07,3.85998080631098e-06,3.16739372904297e-06,0,0
1097496241,7.463306834953235e-07,0.0,0.0,3.755962736934609e-06,0,0
1097689522,5.029980061343045e-07,4.739988044839332e-07,1.8185954112290333e-06,2.1692449420014845e-06,0,0
1097882803,5.6319873830296e-07,5.649985241178754e-07,2.1233265378450052e-06,1.7819904345778767e-06,0,0
1098076084,7.314965646902302e-07,0.0,2.4139767065620793e-06,2.6749736101502243e-06,0,0
1098269365,5.639975819490274e-07,7.099917580108599e-07,1.9329806915743878e-06,2.107989904473419e-06,0,0
1098462646,0.0,5.939941447334697e-07,3.1419838039813533e-06,2.1329890603452725e-06,0,0
1098655927,0.0,0.0,0.0,0.0,0,0
1098849208,0.0,0.0,2.855972159753962e-06,4.988950555260581e-06,0,0
1099042489,0.0,0.0,0.0,0.0,0,0
1099235770,0.0,0.0,0.0,0.0,0,0
1099429051,0.0,0.0,0.0,0.0,0,0
1099622332,0.0,0.0,0.0,0.0,0,0
1099815613,0.0,0.0,0.0,0.0,0,0
1100008894,0.0,0.0,0.0,0.0,0,0
1100202175,0.0,0.0,0.0,0.0,0,0
1100395456,0.0,0.0,0.0,0.0,0,0
