ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0.0,0.0,0.0,0,0
1082420323,0.0,0.0,0.0,0.0,0,0
1082613604,0.0,0.0,0.0,0.0,0,0
1082806885,0.0,0.0,0.0,0.0,0,0
1083000166,0.0,0.0,0.0,0.0,0,0
1083193447,0.0,0.0,0.0,0.0,0,0
1083386728,2.418575975276258e-05,1.831581595567863e-05,7.552524365670623e-05,2.4628753821150858e-05,0,0
1083580009,1.8051819568558873e-05,1.3057870480402678e-05,6.777932208794701e-05,2.1435786321523563e-05,0,0
1083773290,2.232805533305219e-05,1.2931580536709073e-05,0.0001177528128206675,0.00016392202117717004,0,0
1083966571,1.634843999718365e-05,1.2059521727828367e-05,9.377304662612683e-05,7.32250973335906e-05,0,0
1084159852,1.894558155923941e-05,1.2475109280803755e-05,8.846309546177092e-05,5.731156240875022e-05,0,0
1084353133,2.3014912936837615e-05,1.527388857991805e-05,9.012073133787477e-05,7.569134111324616e-05,0,0
1084546414,2.573361206791913e-05,1.4250969087446189e-05,0.0001445710878853794,9.811088804606245e-05,0,0
1084739695,1.9716819906301248e-05,1.453548317332408e-05,0.00014544977702806,6.827998354145333e-05,0,0
1084932976,2.620775457737735e-05,1.6516788546905902e-05,0.00011173684904740148,7.281083944715811e-05,0,0
1085126257,2.0950701543560255e-05,1.50091838721426e-05,9.861974685706828e-05,7.124725415010868e-05,0,0
1085319538,2.0285243123250105e-05,1.3904639705054232e-05,0.00011664670070384527,6.238473785840491e-05,0,0
1085512819,1.886621620584095e-05,1.456733903060584e-05,0.00010590210963596643,6.72941438360102e-05,0,0
1085706100,2.3539284225463528e-05,1.5174903293855619e-05,0.00011652893016977984,7.571654035551118e-05,0,0
1085899381,2.1380842471572195e-05,1.5087249089968115e-05,0.0001262166449804579,8.514036579829083e-05,0,0
1086092662,2.288459681109693e-05,1.5529148830059953e-05,0.00010962229931883529,9.292597543587871e-05,0,0
1086285943,2.0702192478743057e-05,1.5463541184137337e-05,0.000101327323190847,7.746271182998214e-05,0,0
1086479224,2.194132114891785e-05,1.4848386902616477e-05,0.00011721208784439524,7.215546195567149e-05,0,0
1086672505,2.1477325946069144e-05,1.5185128447075226e-05,0.0001285469887795091,9.198141156883787e-05,0,0
1086865786,2.043214906920395e-05,1.548529780246469e-05,0.00010385779917595056,8.796875034534224e-05,0,0
1087059067,2.245590899829413e-05,1.498823897462364e-05,9.214322920702738e-05,7.6236788591088e-05,0,0
1087252348,1.8461306633785825e-05,1.5344482759114816e-05,8.976709349320455e-05,7.063657375419841e-05,0,0
1087445629,1.8522065390289652e-05,1.4707734086249167e-05,8.713999632270802e-05,7.183653363906785e-05,0,0
1087638910,2.1154968403166977e-05,1.4383959645066716e-05,9.038276142245534e-05,7.44132426625873e-05,0,0
1087832191,1.6824885921623944e-05,1.3988210943437186e-05,8.049370560400596e-05,6.065105102816949e-05,0,0
1088025472,1.955118632812925e-05,1.4055584151323713e-05,7.05406756282084e-05,6.53809730214431e-05,0,0
1088218753,2.002339762593009e-05,1.2519999519928287e-05,6.063724021384361e-05,6.0475028431273455e-05,0,0
1088412034,1.856060717423415e-05,1.2402980223028542e-05,5.6342216061314954e-05,5.0291594408760734e-05,0,0
1088605315,1.6713631926762505e-05,1.1281393115013052e-05,4.805386032564255e-05,4.3394244133730394e-05,0,0
1088798596,3.113373421369816e-05,1.0915194433717626e-05,4.4991502713769535e-05,3.7221981471702096e-05,0,0
1088991877,1.5266990438798582e-05,1.1819169768379122e-05,5.018632307492987e-05,3.742635138297116e-05,0,0
1089185158,1.3746655050600361e-05,1.034091532209904e-05,4.4612811960384114e-05,4.155966032414949e-05,0,0
1089378439,1.4389547372717336e-05,1.162290392067916e-05,6.292438047814688e-05,7.574244540920421e-05,0,0
1089571720,1.508713220932331e-05,1.14839922833301e-05,4.9820566844396095e-05,3.8228374473848666e-05,0,0
1089765001,1.5806060397125002e-05,1.2438304393356568e-05,6.658213436296212e-05,5.6026564722509974e-05,0,0
1089958282,1.660399798295895e-05,1.2641790277731443e-05,6.429019971858727e-05,6.167500415697043e-05,0,0
1090151563,1.7408606038024137e-05,1.2391381856108932e-05,6.783217296414879e-05,5.008940387645266e-05,0,0
1090344844,2.112438588754686e-05,1.180210753992775e-05,6.10967786808944e-05,5.3186673722026195e-05,0,0
1090538125,2.0875462749920694e-05,1.2134716112647126e-05,5.688491774598918e-05,5.25258830594067e-05,0,0
1090731406,1.682986817951752e-05,1.1900409224083735e-05,5.869360295563803e-05,4.280289821766725e-05,0,0
1090924687,1.721360598259448e-05,1.102861458748203e-05,5.144068463912483e-05,3.87870717934365e-05,0,0
1091117968,1.83655454260997e-05,1.144109040042303e-05,5.049962013110626e-05,6.262766723598875e-05,0,0
1091311249,1.7787660800198293e-05,1.1115189872056682e-05,6.535134364266035e-05,5.53715893501038e-05,0,0
1091504530,1.8786518463887876e-05,1.1043180312466824e-05,6.619419626221771e-05,4.366359791638751e-05,0,0
1091697811,2.2391315611546473e-05,1.2133525960112359e-05,6.456037684969132e-05,6.561637195179035e-05,0,0
1091891092,1.8456973805332925e-05,1.1364130903329256e-05,4.912167865295122e-05,4.8628418682838354e-05,0,0
1092084373,1.4922887460576969e-05,1.2087221702735637e-05,4.9335172308077624e-05,4.485174291120722e-05,0,0
1092277654,2.1015675682614566e-05,1.216042357243082e-05,5.857373889695544e-05,4.5977990748117834e-05,0,0
1092470935,1.8822977493419453e-05,1.1978319955988043e-05,6.97036907459466e-05,4.918155277174804e-05,0,0
1092664216,1.7451704131108972e-05,1.127823909895127e-05,6.796278073882014e-05,3.5906270034228835e-05,0,0
1092857497,1.7939840366415696e-05,1.0380149944804115e-05,4.9967302110638966e-05,3.758920930606016e-05,0,0
1093050778,2.296428349274415e-05,1.2324156293836091e-05,5.919138157569413e-05,6.967772396197615e-05,0,0
1093244059,1.7243212541308674e-05,1.2459448995076506e-05,5.757059162077292e-05,4.904072551614811e-05,0,0
1093437340,1.8840408788776686e-05,1.1167870267853376e-05,5.92284961303739e-05,4.167348399541172e-05,0,0
1093630621,1.6526377569483373e-05,1.0779691503659868e-05,5.655376103697611e-05,4.3048041159104565e-05,0,0
1093823902,1.6685745789306674e-05,1.098913697910387e-05,5.8954530642872476e-05,5.727157788426297e-05,0,0
1094017183,1.590155215349791e-05,1.172756150240023e-05,5.7701462249508916e-05,4.686749103653301e-05,0,0
1094210464,2.2157840467395416e-05,1.2423555182460197e-05,6.359138579390207e-05,5.2397569241687356e-05,0,0
1094403745,1.7072697499238558e-05,1.271446248219965e-05,5.7356904726278864e-05,5.024180354619888e-05,0,0
1094597026,2.032920518673911e-05,1.164259243671695e-05,6.152093797612156e-05,4.754803556487258e-05,0,0
1094790307,1.661299582467018e-05,1.2419270029251367e-05,4.740633780386209e-05,4.695019835532759e-05,0,0
1094983588,1.8582562564044806e-05,1.1896891565196276e-05,5.8268060532461705e-05,6.831155790010775e-05,0,0
1095176869,1.4572300807468575e-05,1.0300881817141628e-05,4.1073607843414184e-05,3.664095501794313e-05,0,0
1095370150,1.578228501438539e-05,1.0577215496774832e-05,4.201955646587296e-05,4.866425057513292e-05,0,0
1095563431,1.6938301218642263e-05,1.1177388812916769e-05,4.12991434099646e-05,5.3912373759469305e-05,0,0
1095756712,1.5365833716746115e-05,1.1840961470570362e-05,4.87928274517585e-05,5.0684979749812704e-05,0,0
1095949993,1.6902325424605745e-05,1.25346490599817e-05,4.970789599974158e-05,5.204409913018311e-05,0,0
1096143274,1.793887889208037e-05,1.0970169910610353e-05,5.275739366479311e-05,4.570536341433554e-05,0,0
1096336555,1.6230223927694704e-05,1.1625321304348522e-05,4.6476929621628435e-05,3.76224222343929e-05,0,0
1096529836,1.6226291658603268e-05,1.1651622455873323e-05,4.7237852839777737e-05,4.1754649516298026e-05,0,0
1096723117,1.757642772035841e-05,1.0773867149867327e-05,5.099636637753311e-05,5.206335170519184e-05,0,0
1096916398,1.67442943437144e-05,1.1960415532861779e-05,4.8275435925167045e-05,5.174788645654692e-05,0,0
1097109679,1.474044995029651e-05,1.0375768395201572e-05,4.503570148900184e-05,4.453224429231849e-05,0,0
1097302960,1.6391745788743014e-05,1.1202202465436347e-05,4.680731325034112e-05,4.2415826485480484e-05,0,0
1097496241,1.531641701128816e-05,1.1060996144149589e-05,4.6409018593120366e-05,3.5538558717800653e-05,0,0
1097689522,1.5737575442810226e-05,1.066996297239155e-05,4.5102329313981496e-05,3.252702252095348e-05,0,0
1097882803,2.004649278551632e-05,1.2530960866589942e-05,5.460574847055026e-05,5.595649807429803e-05,0,0
1098076084,2.2969303697536577e-05,1.2163994283603013e-05,5.641757178101389e-05,4.9096575284122354e-05,0,0
1098269365,2.1304954947870574e-05,1.3460887917581598e-05,4.91015181498856e-05,6.283268060668352e-05,0,0
1098462646,1.9185093607959214e-05,1.3391788398205239e-05,4.878316094694885e-05,5.1507588772310305e-05,0,0
1098655927,1.41693415099382e-05,1.0110777974810944e-05,3.578433226274825e-05,3.3000246341641024e-05,0,0
