ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,0.0,0.0,0.0,0.0,0,0
1082420323,0.0,0.0,0.0,0.0,0,0
1082613604,1.718190173057451e-06,1.0231424907819137e-06,1.8970712374730098e-06,2.08719005905729e-06,0,0
1082806885,1.1363785554681365e-06,9.719139468073979e-07,1.7140413302528434e-06,1.552483962375574e-06,0,0
1083000166,9.584990324767592e-07,9.966817174308706e-07,1.7745984777491473e-06,1.4578679469563726e-06,0,0
1083193447,9.90866642009747e-07,1.0180975911416454e-06,1.7316921800916387e-06,1.4952409688947068e-06,0,0
1083386728,9.380847776584143e-07,1.041764585226644e-06,1.8550240926425778e-06,1.5530583857225823e-06,0,0
1083580009,9.044161400015788e-07,1.0138313148152506e-06,1.8268864437297357e-06,1.4843313168981067e-06,0,0
1083773290,9.298153334776436e-07,1.1233759120082384e-06,1.922279620526991e-06,1.5829868353973801e-06,0,0
1083966571,9.376245476967538e-07,1.2635359386892402e-06,1.9436238070679405e-06,1.7308302051950221e-06,0,0
1084159852,9.568725638559602e-07,1.2536100349382073e-06,2.013837256214223e-06,1.879616196418797e-06,0,0
1084353133,9.437556820713164e-07,1.2986678343121064e-06,2.068002738656317e-06,1.91999104874657e-06,0,0
1084546414,1.042128712717308e-06,1.4973341151634933e-06,2.2441584820942646e-06,2.236811799375625e-06,0,0
1084739695,1.0791074619273406e-06,1.5187697166652624e-06,2.2549013859319366e-06,2.3765919382453795e-06,0,0
1084932976,1.0157405964645526e-06,1.6487346209765337e-06,2.1203240722938467e-06,2.000687239951249e-06,0,0
1085126257,1.0586718751924625e-06,1.5836389655075728e-06,2.162687029322935e-06,2.1670158336718143e-06,0,0
1085319538,1.0544663481602143e-06,1.5127793528770283e-06,2.206668516665047e-06,2.2149872013998686e-06,0,0
1085512819,1.1093072018643305e-06,1.5287543878506065e-06,2.3942804679565607e-06,2.4146712557559354e-06,0,0
1085706100,1.0079455740461634e-06,1.5034552470196432e-06,2.124158719619447e-06,2.0622862053868666e-06,0,0
1085899381,1.2205419116032762e-06,1.6453724694985324e-06,2.708220728765314e-06,2.8422061472273e-06,0,0
1086092662,1.2826704698635765e-06,1.7842771579146377e-06,2.7394491441982836e-06,2.895792273054442e-06,0,0
1086285943,1.3223340073715066e-06,1.862759654287093e-06,2.809855753743983e-06,3.1083761385022607e-06,0,0
1086479224,1.3308900741025876e-06,1.8836976079478707e-06,2.8359042760741773e-06,3.261382683532273e-06,0,0
1086672505,1.2959114559040373e-06,1.9004537926915968e-06,2.691371150151647e-06,3.1100553581527354e-06,0,0
1086865786,1.2035640607821249e-06,1.7339429918683998e-06,2.443098921201068e-06,2.758827787028882e-06,0,0
1087059067,1.3392765579769509e-06,1.8347041802855195e-06,2.5294765816779556e-06,2.7917004605681802e-06,0,0
1087252348,1.2606984241589577e-06,1.8235318863961078e-06,2.4265215407716404e-06,2.6292455281926366e-06,0,0
1087445629,1.5323903021338544e-06,2.2234184137854066e-06,3.4496296564427547e-06,4.047300753626221e-06,0,0
1087638910,3.167542604180922e-06,2.573197499022562e-06,4.584795678023367e-06,5.091661378839803e-06,0,0
1087832191,2.2844956040755274e-06,2.475710422949699e-06,3.7649942381450104e-06,5.179421227260765e-06,0,0
1088025472,2.502246444181468e-06,2.8089965684053035e-06,4.439550764257155e-06,4.272995790912362e-06,0,0
1088218753,3.0739060756906898e-06,2.3979978045444497e-06,3.939088251525279e-06,4.559745765396134e-06,0,0
1088412034,1.65755148918072e-06,1.5902430835896926e-06,2.2549649515016993e-06,2.5217588039933806e-06,0,0
1088605315,1.4805286820403496e-06,1.4078155046188575e-06,2.0667108170175368e-06,2.004738027927055e-06,0,0
1088798596,1.4319200595103543e-06,1.3668301822830593e-06,2.067117266771864e-06,2.134224017151052e-06,0,0
1088991877,1.6347594532475864e-06,1.4594406967588257e-06,2.373476556321426e-06,2.278049854766387e-06,0,0
1089185158,1.3264438075341414e-06,1.2456339405321862e-06,2.3672475823166095e-06,2.247305863961808e-06,0,0
1089378439,1.1904424527003238e-06,1.3738782405520998e-06,2.4028963148174633e-06,2.333156625233764e-06,0,0
1089571720,1.2172466169398022e-06,1.289967925065231e-06,2.3094148315788856e-06,2.1837828969844555e-06,0,0
1089765001,1.4074321485978039e-06,1.686202967543042e-06,3.0680094461165588e-06,2.8478584207882635e-06,0,0
1089958282,1.2568439994050503e-06,1.6705358985364985e-06,2.5393256731103568e-06,2.5254887929476535e-06,0,0
1090151563,1.312624748593926e-06,2.0462488562399257e-06,3.074518688492736e-06,3.4252843221695973e-06,0,0
1090344844,1.4709858308977616e-06,1.5690863176190207e-06,2.570805232882189e-06,2.597450301458951e-06,0,0
1090538125,1.5520077131906324e-06,1.4421822098252844e-06,2.475492604213654e-06,2.650749866372447e-06,0,0
1090731406,1.6380292755841931e-06,1.5590539110114784e-06,2.7271964814997327e-06,2.801793781225136e-06,0,0
1090924687,1.4043797921727708e-06,1.383706625989955e-06,2.1973944380381625e-06,2.313829273026591e-06,0,0
1091117968,1.284007318559009e-06,1.337486606002611e-06,2.0113266317436783e-06,2.161749847461609e-06,0,0
1091311249,1.3927034319502247e-06,1.2973067784375718e-06,2.0940566925932954e-06,2.1833022110692123e-06,0,0
1091504530,1.4339365422460264e-06,1.349127402441054e-06,2.202489116440878e-06,2.298849710531432e-06,0,0
1091697811,1.5270773943025937e-06,1.4551998427353204e-06,2.072851256868056e-06,2.2183758866282314e-06,0,0
1091891092,1.834118584452034e-06,1.5217045293654793e-06,2.1890147157195298e-06,2.2874527424106517e-06,0,0
1092084373,1.515174729785887e-06,1.6888244188334996e-06,2.453975412604125e-06,2.4662044135558743e-06,0,0
1092277654,1.5736871247487311e-06,1.453727142064054e-06,2.2379236091191e-06,2.3584998677711117e-06,0,0
1092470935,2.1082455878296432e-06,1.6182104805680147e-06,2.36282141187915e-06,2.783318534703936e-06,0,0
1092664216,1.6999993589586118e-06,1.3633910228346506e-06,2.239917794804446e-06,2.5500228003249755e-06,0,0
1092857497,1.2733655185219195e-06,1.3805903778265505e-06,2.252023441535627e-06,2.0845190232303076e-06,0,0
1093050778,1.5354476385934833e-06,1.377570281547955e-06,2.1612357974577805e-06,2.0867448088973837e-06,0,0
1093244059,1.5073136425912014e-06,1.2327044735902438e-06,1.8565633696145645e-06,1.6599732028432094e-06,0,0
1093437340,1.4064766993792216e-06,1.4341829963684597e-06,2.0780954689586763e-06,2.0783129769646394e-06,0,0
1093630621,1.476349852469892e-06,1.2722440409680767e-06,2.073103832706564e-06,1.7587689935130263e-06,0,0
1093823902,1.522410380288044e-06,1.3556572835100273e-06,2.9587551627642716e-06,2.1586334397586733e-06,0,0
1094017183,1.3680234636860505e-06,1.2237629329359405e-06,2.0590622995929104e-06,1.6701998496222995e-06,0,0
1094210464,2.0228920661814988e-06,1.4019998421251855e-06,2.547585797134944e-06,2.19973538877954e-06,0,0
1094403745,1.7124509938390945e-06,1.651435569638448e-06,3.0833836787104424e-06,2.7875996309177716e-06,0,0
1094597026,1.5691459016692523e-06,1.4498685643245578e-06,2.462629017206207e-06,2.1635329511461597e-06,0,0
1094790307,1.3887229163383198e-06,1.4113067134956528e-06,2.5191107161960467e-06,2.0365691298098984e-06,0,0
1094983588,1.9592623250892765e-06,1.5268154084564672e-06,2.670113583574303e-06,2.2925581265033974e-06,0,0
1095176869,1.3626477599108707e-06,1.1448261190470887e-06,1.936927490196106e-06,1.6097856806564782e-06,0,0
1095370150,1.2636288507719633e-06,1.4367318694726567e-06,2.366961045324109e-06,2.456791037034556e-06,0,0
1095563431,1.4831994065762056e-06,1.3836771444917715e-06,2.4469996705932525e-06,2.4292316228625143e-06,0,0
1095756712,2.0173879833936726e-06,1.0953833830375158e-06,2.836598505894908e-06,1.5866107352423578e-06,0,0
1095949993,2.7531892611592126e-06,1.482585493807889e-06,3.0009987314286265e-06,2.6223452049498364e-06,0,0
1096143274,1.536473138680517e-06,1.3762292654123886e-06,2.472856730275139e-06,2.188786262001674e-06,0,0
1096336555,1.640843378218513e-06,1.1676806070835375e-06,1.7692815042999106e-06,1.657038104762966e-06,0,0
1096529836,1.574415996746857e-06,1.681593105066903e-06,2.7829688296215813e-06,3.0003863189421177e-06,0,0
1096723117,2.057198761325733e-06,1.562028379737612e-06,2.4507686167596564e-06,2.5438321256490323e-06,0,0
1096916398,1.8743146072901663e-06,1.690998912700319e-06,2.7705483961425775e-06,3.3328315796870432e-06,0,0
1097109679,1.2187602870075931e-06,1.096708774542238e-06,1.8014595119678766e-06,1.7578406710892503e-06,0,0
1097302960,1.117411534126355e-06,1.2771106401795706e-06,2.1823412968915286e-06,2.1999714239594036e-06,0,0
1097496241,1.5773992743143973e-06,1.910065293402416e-06,3.1103820360482165e-06,3.1909208082270674e-06,0,0
1097689522,2.0477989657689366e-06,1.428513868068588e-06,2.8280269590624695e-06,2.2283881232754203e-06,0,0
1097882803,1.4801993404506056e-06,1.7209038247902426e-06,2.699998646029545e-06,2.7907489909644184e-06,0,0
