ts,Dtree,nDtree,HK,HDT,ET,opt
1082227042,2.3379872316393323e-06,2.619986477358923e-06,1.2439936300076574e-05,1.1413943185456214e-05,0,0
1082420323,2.4399752621214046e-06,3.5669625329612167e-06,3.303266821783107e-05,2.06297947197602e-05,0,0
1082613604,1.4251535985314926e-06,1.4575383919924101e-06,1.4461062316198018e-05,1.0266870551959824e-05,0,0
1082806885,1.418173377775266e-06,1.5011240080742003e-06,1.6486031738936008e-05,1.0614602377194302e-05,0,0
1083000166,1.4869186072876506e-06,1.6061975121910763e-06,2.0527009396712715e-05,1.2260370538017947e-05,0,0
1083193447,1.5957036579817881e-06,1.7323053368062252e-06,2.166017387534465e-05,1.4419655847381492e-05,0,0
1083386728,1.573770085870684e-06,1.740444288155283e-06,2.312259078761785e-05,1.447121369446111e-05,0,0
1083580009,1.6346350490567376e-06,1.8133377059090308e-06,2.5294293883877546e-05,1.729926783112351e-05,0,0
1083773290,1.664411762273143e-06,1.8757645660046209e-06,2.490730709336692e-05,1.4546285657200647e-05,0,0
1083966571,1.6881194391948986e-06,2.231991223260002e-06,2.770683536496165e-05,1.5736289117791804e-05,0,0
1084159852,1.6676873888788646e-06,2.1023390744609564e-06,2.2794890805337585e-05,1.5636828883732573e-05,0,0
1084353133,1.728343434545294e-06,2.282733915152948e-06,2.7579714395043215e-05,1.7262872179809293e-05,0,0
1084546414,1.84087132741147e-06,2.508178892623232e-06,2.8676120627369975e-05,2.2789532415780976e-05,0,0
1084739695,1.7770385941544106e-06,2.509862165759942e-06,2.797703372378738e-05,1.78766435063764e-05,0,0
1084932976,1.7982750715663365e-06,2.6319561513385237e-06,2.56463151175814e-05,1.67542150463853e-05,0,0
1085126257,1.8664268990507482e-06,2.648020738478409e-06,2.879069479834549e-05,1.8127925089869787e-05,0,0
1085319538,1.9031094540254102e-06,2.537753125419308e-06,2.7938612491916962e-05,1.7758600344504813e-05,0,0
1085512819,1.914095079951061e-06,2.453356880291676e-06,2.7808544237790626e-05,2.363750906866048e-05,0,0
1085706100,1.8117408288657812e-06,2.6100264749926626e-06,2.7664631487305086e-05,1.7739560892351564e-05,0,0
1085899381,1.902332649956534e-06,2.5605547983691342e-06,2.8632771281573805e-05,1.9145218165069513e-05,0,0
1086092662,1.9139205686774833e-06,2.7811832301642758e-06,3.0450833975286218e-05,1.9382679412697528e-05,0,0
1086285943,1.959062142985703e-06,2.8122371199870695e-06,2.9754833768062587e-05,1.838457264806818e-05,0,0
1086479224,1.9534852857032647e-06,2.7234277839617226e-06,2.8009249270457268e-05,1.969536563325332e-05,0,0
1086672505,2.0295000009834025e-06,3.2243088829036618e-06,2.947644532345675e-05,2.183254218723743e-05,0,0
1086865786,1.8712896154534238e-06,2.761740795210004e-06,2.850241008680921e-05,2.002821946615792e-05,0,0
1087059067,1.9612213871888715e-06,2.679480144717007e-06,2.5925508686905146e-05,1.8598326463730564e-05,0,0
1087252348,1.9692213669926887e-06,2.80899908138722e-06,2.861158205943827e-05,1.8714511539311473e-05,0,0
1087445629,2.202229187733863e-06,3.4707667956505046e-06,2.9604054256755203e-05,1.9603369167248385e-05,0,0
1087638910,1.92774514385246e-06,3.268991817334349e-06,3.005542556300069e-05,1.741145628307404e-05,0,0
1087832191,1.971829733444914e-06,2.9479954395427673e-06,2.0345299511528564e-05,1.67558054830155e-05,0,0
1088025472,2.3544258397531623e-06,2.8695668007561263e-06,2.514196389856592e-05,1.739411745148392e-05,0,0
1088218753,2.0316905270770533e-06,2.2971523771287564e-06,1.7055294670875108e-05,1.3133912775356424e-05,0,0
1088412034,2.055796410390083e-06,2.781321607272214e-06,2.1384572621267603e-05,1.4641878945190979e-05,0,0
1088605315,1.9629537633161976e-06,2.2172067623066135e-06,2.0470986249041303e-05,1.4392239798949622e-05,0,0
1088798596,1.8915854941405676e-06,2.2828140429632983e-06,2.0677940050046017e-05,1.4681826419572402e-05,0,0
1088991877,1.8594076739441132e-06,2.4473873776531593e-06,2.3428015517928065e-05,1.5998895092267123e-05,0,0
1089185158,1.860333016535108e-06,2.134204515062643e-06,2.4036865554170785e-05,1.5926508610698964e-05,0,0
1089378439,1.997033655788441e-06,2.4295509253065126e-06,3.269243689053633e-05,1.687085651964985e-05,0,0
1089571720,1.8685190827605917e-06,2.209359216352405e-06,2.408443052223032e-05,1.5481193469258056e-05,0,0
1089765001,1.9190614539841123e-06,2.1791381122284022e-06,1.7409074120576205e-05,1.2977182454811974e-05,0,0
1089958282,2.0709960198106806e-06,2.5016631743593145e-06,2.3910127478509848e-05,1.5686139633100355e-05,0,0
