ts,Dtree,nDtree,HK,HDT
1266238080,80941,296842,726190,686944
1266284160,81407,306429,636176,677344
1266330240,81879,311790,710415,728038
1266376320,81908,311913,642461,700372
1266422400,81920,312122,660215,732919
1266468480,81941,312294,676283,683152
1266514560,81992,312554,646965,676477
1266560640,82019,312735,702337,685529
1266606720,82020,312977,708439,711098
1266652800,82030,313055,661576,699502
1266698880,82027,313133,689786,722171
1266744960,82028,313192,695459,730212
1266791040,82037,313224,651628,698636
1266837120,82061,313315,648248,699353
1266883200,82096,313536,706949,698399
1266929280,82120,313646,648934,678780
1266975360,82131,313783,680698,686417
1267021440,82171,314003,661734,738575
1267067520,82193,314121,693581,724605
1267113600,82228,314361,703139,689469
1267159680,82253,314552,704379,689534
1267205760,82291,314774,653347,696581
1267251840,82295,314839,659003,713134
