ts,Dtree,nDtree,HK,HDT
1266238080,0.0,0.0,0.0,0.0
1266284160,0.0,0.0,0.0,0.0
1266330240,0.0,0.0,0.0,0.0
1266376320,0.0,0.0,0.0,0.0
1266422400,0.0,0.0,0.0,0.0
1266468480,0.0,0.0,0.0,0.0
1266514560,0.0,0.0,0.0,0.0
1266560640,0.0,0.0,0.0,0.0
1266606720,0.0,0.0,0.0,0.0
1266652800,0.0,0.0,0.0,0.0
1266698880,0.0,0.0,0.0,0.0
1266744960,0.0,0.0,0.0,0.0
1266791040,0.0,0.0,0.0,0.0
1266837120,0.0,0.0,0.0,0.0
1266883200,0.0,0.0,0.0,0.0
1266929280,0.0,0.0,0.0,0.0
1266975360,0.0,0.0,0.0,0.0
1267021440,0.0,0.0,0.0,0.0
1267067520,0.0,0.0,0.0,0.0
1267113600,0.0,0.0,0.0,0.0
1267159680,0.0,0.0,0.0,0.0
1267205760,0.0,0.0,0.0,0.0
1267251840,0.0,0.0,0.0,0.0
