ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,8.434961844893094e-07,9.299908694104065e-07,3.3959655965767434e-06,3.5239647819230085e-06,0,0
1097511572,9.049974890893683e-07,7.249928136113465e-07,3.741963024987338e-06,2.2429779512063924e-06,0,0
1097629073,3.6933213752193684e-07,5.566649874416833e-07,2.5586583637213383e-06,3.3266558672742646e-06,0,0
1097746574,5.063312931053458e-07,4.6299547585559306e-07,3.850961237033896e-06,6.247936929145878e-06,0,0
1097864075,4.113325420728978e-07,6.055989327013445e-07,3.136393846031746e-06,4.483791181009037e-06,0,0
1097981576,4.856652170487803e-07,4.736650807891419e-07,2.8329901551672054e-06,1.6426610996708416e-06,0,0
1098099077,4.56832667179652e-07,4.657991446009406e-07,2.4019950778501554e-06,1.7543966733145827e-06,0,0
1098216578,5.899988404802184e-07,5.989985343015781e-07,2.6063248221530626e-06,2.6471947228467275e-06,0,0
1098334079,4.299978500619724e-07,5.889980226427281e-07,1.8669904749106712e-06,3.100989156113929e-06,0,0
1098451580,4.968327838265655e-07,4.913991864684806e-07,2.453395068120872e-06,1.7452454837491527e-06,0,0
1098569081,4.4766603694065005e-07,5.889988686047131e-07,2.923992690366589e-06,2.3656584712049865e-06,0,0
1098686582,5.043991139378871e-07,6.762483200352764e-07,2.6362431558936725e-06,2.085494786511464e-06,0,0
1098804083,6.039982687582486e-07,7.879919721168704e-07,4.635953725619155e-06,1.97198034388459e-06,0,0
1098921584,4.87199330234346e-07,7.13398577518035e-07,3.3133279384210334e-06,2.351595529750505e-06,0,0
1099039085,4.521989518288945e-07,6.729977638046367e-07,4.01165316101076e-06,2.3789922254169317e-06,0,0
1099156586,5.65142049864393e-07,6.695984916744646e-07,3.652327123175473e-06,2.1195959006575525e-06,0,0
1099274087,4.5842794075873913e-07,6.541241427645435e-07,3.6855514914888776e-06,3.147996083887053e-06,0,0
1099391588,4.6749888947382506e-07,5.407487275089952e-07,3.0437423751433623e-06,3.6817408542518034e-06,0,0
1099509089,5.352848106643465e-07,5.285987186645114e-07,3.0779922683716695e-06,2.6511946725452257e-06,0,0
1099626590,5.567136445758277e-07,4.999976692795316e-07,2.5042435176036036e-06,2.2949954229731644e-06,0,0
1099744091,5.027136431512501e-07,5.829985161343588e-07,3.2834918551146207e-06,2.9673235906654513e-06,0,0
1099861592,5.836658878442443e-07,6.381414983947543e-07,3.890994414705863e-06,5.049849989818823e-06,0,0
1099979093,4.4114261914375204e-07,5.323074602471569e-07,2.870997967598355e-06,2.520270530636188e-06,0,0
1100096594,4.599994956381177e-07,6.544991951733715e-07,3.7188271427814394e-06,2.8843283396288407e-06,0,0
1100214095,5.153987027608916e-07,6.092722619112329e-07,3.825106830896566e-06,2.4592466116129743e-06,0,0
1100331596,5.217494007530003e-07,5.626656901806368e-07,3.41059303539314e-06,2.804495301499031e-06,0,0
1100449097,5.274437879551565e-07,6.204278151048429e-07,3.1199969903600784e-06,4.243565378926987e-06,0,0
1100566598,5.234991240386474e-07,6.808563757535246e-07,4.558791056399468e-06,4.359991009804049e-06,0,0
1100684099,5.1211053275995e-07,6.116659354081717e-07,3.97781458340235e-06,4.602883805673359e-06,0,0
1100801600,5.943741672111763e-07,6.455703704339757e-07,4.403191194142133e-06,4.813850224199611e-06,0,0
1100919101,5.599992156873878e-07,6.826659646330215e-07,4.509412854719609e-06,2.5194523168737696e-06,0,0
1101036602,6.122487021126129e-07,5.649971116286274e-07,3.4509914839753404e-06,3.1286561958832964e-06,0,0
1101154103,5.042851178231354e-07,6.163987968872888e-07,3.6147929231322434e-06,2.404595318002044e-06,0,0
1101271604,5.179992671610044e-07,2.2806588955337105e-06,3.6149909312267413e-06,2.791993279449627e-06,0,0
1101389105,3.982489991371829e-07,5.679984848917714e-07,2.919194212721813e-06,2.247595200502369e-06,0,0
1101506606,5.569990928855695e-07,6.015988011042699e-07,2.79949295401126e-06,1.8159953544727428e-06,0,0
1101624107,5.452994632259102e-07,6.731103186387452e-07,4.5899953449832055e-06,3.4036637601821887e-06,0,0
1101741608,5.599084896726255e-07,7.603629240641514e-07,4.295619620411661e-06,3.0761968607164657e-06,0,0
1101859109,6.309987042360947e-07,1.0559971063205529e-06,5.935988107579858e-06,4.353985219321428e-06,0,0
1101976610,6.874985139970472e-07,8.364979300058608e-07,5.431589357439124e-06,4.564390622180212e-06,0,0
1102094111,4.519991656429157e-07,5.101242540063721e-07,3.030996663138492e-06,2.440853438660871e-06,0,0
1102211612,7.544980926936068e-07,6.453313303630497e-07,4.811990055097307e-06,4.094991886647777e-06,0,0
1102329113,6.256357103469962e-07,9.328878900597652e-07,4.540995928124651e-06,3.6432690849185733e-06,0,0
1102446614,5.953326413720369e-07,7.697984139625857e-07,4.789658659796579e-06,2.8269930491848547e-06,0,0
1102564115,5.898322516449918e-07,5.037487565513964e-07,3.5684913118582453e-06,2.6335947119732583e-06,0,0
1102681616,6.478322995172583e-07,1.000998235014415e-06,5.969313972157512e-06,4.378239023197432e-06,0,0
1102799117,5.222485146570888e-07,6.094986243833214e-07,3.8133923355977203e-06,2.2403954729436496e-06,0,0
1102916618,6.173988752612016e-07,6.569984580495565e-07,3.145992061365968e-06,2.4613248683474847e-06,0,0
1103034119,4.974970261002228e-07,6.324967424119549e-07,3.154984510992311e-06,1.6949828600139565e-06,0,0
1103151620,4.86332854124432e-07,6.604991142823925e-07,4.033740117065095e-06,2.4994958520971934e-06,0,0
1103269121,6.13856335488918e-07,5.4049681110642e-07,3.5904820480174695e-06,2.4699874494221097e-06,0,0
1103386622,5.236657128738741e-07,6.81499103261344e-07,4.177814436218919e-06,2.5464958830497785e-06,0,0
1103504123,5.848883189865797e-07,8.564989664926397e-07,5.350824444131385e-06,4.336869701047972e-06,0,0
1103621624,5.002493139387099e-07,6.646357998804307e-07,3.2357244661425495e-06,2.9786901029782196e-06,0,0
1103739125,7.689928177883772e-07,8.769958900885346e-07,5.8784849819344545e-06,4.820790126332579e-06,0,0
1103856626,5.599993843837902e-07,5.874437941492111e-07,4.334244675246262e-06,3.6198274452508996e-06,0,0
1103974127,5.159982800672004e-07,8.3699232816073e-07,3.780961767811933e-06,0.0,0,0
1104091628,5.172490347801427e-07,7.517482423374223e-07,4.04399189134691e-06,4.46139091700172e-06,0,0
1104209129,4.309978344866496e-07,7.679986319644348e-07,4.748737816743309e-06,2.8943939788953957e-06,0,0
1104326630,4.085994539674623e-07,6.139226535581053e-07,3.4185966262277896e-06,3.748905723638816e-06,0,0
1104444131,4.793323159424973e-07,7.492845805153089e-07,4.722992051355386e-06,4.342565294920293e-06,0,0
1104561632,5.064986069075809e-07,8.666640105513064e-07,2.8499856235051445e-06,2.6316578031329758e-06,0,0
1104679133,5.322483839034091e-07,1.197397402297853e-06,8.596782477502902e-06,6.70438699389441e-06,0,0
1104796634,0.0,6.629964947371485e-07,3.0064852323199753e-06,4.283239355864962e-06,0,0
1104914135,0.0,7.439975341975397e-07,6.272312637882113e-06,5.815980649342385e-06,0,0
1105031636,5.649966568835503e-07,8.159913960114128e-07,0.0,4.654953789433254e-06,0,0
1105149137,6.989968435156823e-07,9.213305232041624e-07,5.64197215037901e-06,4.731477009436328e-06,0,0
1105266638,0.0,0.0,0.0,0.0,0,0
1105384139,0.0,9.679900875529999e-07,0.0,0.0,0,0
1105501640,8.664975377448214e-07,3.1989842804231856e-06,1.6791277138798678e-05,1.5153423822240741e-05,0,0
1105619141,0.0,0.0,0.0,0.0,0,0
1105736642,0.0,0.0,0.0,0.0,0,0
1105854143,5.364973281527883e-07,7.504962687590973e-07,4.0714795584830575e-06,3.312483194741665e-06,0,0
1105971644,1.1659878326356208e-06,0.0,0.0,0.0,0,0
1106089145,7.354965023889391e-07,7.229928547617363e-07,3.6109643561094613e-06,4.040479586572986e-06,0,0
1106206646,6.379932394248935e-07,0.0,0.0,0.0,0,0
1106324147,0.0,0.0,0.0,0.0,0,0
1106441648,0.0,5.904969418304348e-07,2.6774871733856327e-06,4.746976085901209e-06,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
