ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,0.0,0.0,0.0,0.0,0,0
1096219061,0.0,0.0,0.0,0.0,0,0
1096336562,0.0,0.0,0.0,0.0,0,0
1096454063,0.0,0.0,0.0,0.0,0,0
1096571564,0.0,0.0,0.0,0.0,0,0
1096689065,0.0,0.0,0.0,0.0,0,0
1096806566,0.0,0.0,0.0,0.0,0,0
1096924067,0.0,0.0,0.0,0.0,0,0
1097041568,0.0,0.0,0.0,0.0,0,0
1097159069,0.0,0.0,0.0,0.0,0,0
1097276570,0.0,0.0,0.0,0.0,0,0
1097394071,1.563376919103509e-05,9.308504143339854e-06,4.4103191350739386e-05,2.107080198297463e-05,0,0
1097511572,1.3871403891020741e-05,8.746555741317366e-06,4.3174754602664016e-05,2.8379852598935535e-05,0,0
1097629073,1.5237566877605092e-05,9.333013935561234e-06,4.444245470320091e-05,2.979938012129634e-05,0,0
1097746574,1.3676221957408302e-05,9.719929971163333e-06,4.379219040626473e-05,2.1776560735922467e-05,0,0
1097864075,2.08573868906629e-05,9.321088555383254e-06,4.574098127976135e-05,2.528824034660639e-05,0,0
1097981576,1.9851588683954953e-05,9.604362528316799e-06,4.9924948940123086e-05,2.22961337018889e-05,0,0
1098099077,1.4845998087046385e-05,9.342631716239245e-06,4.5191905642756285e-05,2.7816249668245018e-05,0,0
1098216578,2.1966255029478353e-05,9.384485079476438e-06,4.623613456705415e-05,2.5838761739748304e-05,0,0
1098334079,1.5154467434690537e-05,9.789029359734725e-06,5.120156801643721e-05,3.3426641052688934e-05,0,0
1098451580,1.857662792196822e-05,9.522916469015633e-06,4.8644802828473437e-05,3.9191896469265315e-05,0,0
1098569081,1.814818629648067e-05,1.0241410763732255e-05,4.779629630165151e-05,3.122797776090529e-05,0,0
1098686582,1.387201939901704e-05,9.3329062587221e-06,4.611896426774116e-05,2.3950554187873512e-05,0,0
1098804083,1.8205250613595837e-05,9.563589592698661e-06,4.79802620806752e-05,2.5039292811059774e-05,0,0
1098921584,1.6394998136000812e-05,9.911271563235383e-06,5.344982145061815e-05,2.6236337925766807e-05,0,0
1099039085,1.6912420173366928e-05,9.988272724909022e-06,4.910839044507127e-05,2.8586133136381873e-05,0,0
1099156586,1.4519224041929829e-05,9.767652881477827e-06,4.882660698752162e-05,3.419804484275364e-05,0,0
1099274087,1.7823215330553303e-05,9.697684777146893e-06,4.961685105432054e-05,2.7910368746773075e-05,0,0
1099391588,1.5597558803405295e-05,9.637746218974953e-06,4.789477500369585e-05,2.6383612468006444e-05,0,0
1099509089,1.4550144309732326e-05,9.724784748802587e-06,4.8079459889471873e-05,2.3098813954562562e-05,0,0
1099626590,1.6409306754771488e-05,1.0781847404748638e-05,5.390464396256041e-05,2.9486486490219974e-05,0,0
1099744091,1.5782910325190668e-05,9.755467106955706e-06,5.077683496431141e-05,2.8705354819988804e-05,0,0
1099861592,1.5136825158300806e-05,9.902449195892735e-06,5.158122900455653e-05,3.5183263716710556e-05,0,0
1099979093,1.934837301350843e-05,9.89343192993405e-06,5.212832456743995e-05,3.031746154326774e-05,0,0
1100096594,1.9522460553232985e-05,1.0470065258122726e-05,5.73570034673803e-05,4.0952053575178714e-05,0,0
1100214095,1.892865195431735e-05,1.0440713281363166e-05,5.583611445286286e-05,5.3680351125267114e-05,0,0
1100331596,1.4144526918100637e-05,9.747156488232315e-06,5.779470114390696e-05,2.83388121918764e-05,0,0
1100449097,1.4964124194607367e-05,9.766445696610967e-06,5.3278445199378096e-05,4.262192781712259e-05,0,0
1100566598,1.694954439086298e-05,1.1557603001868518e-05,5.649802067044227e-05,3.0002004223888297e-05,0,0
1100684099,1.556057549602998e-05,1.098283130377036e-05,5.335456640589175e-05,3.951469786470759e-05,0,0
1100801600,1.539880798974177e-05,9.673653346853944e-06,4.6711777271917904e-05,3.476782916294372e-05,0,0
1100919101,1.8367507290992256e-05,1.0833909786599163e-05,5.760548092206656e-05,4.8598459221419115e-05,0,0
1101036602,1.9640374376172283e-05,1.0104422536803642e-05,4.7628922263285556e-05,3.15764607530015e-05,0,0
1101154103,1.5381237474502496e-05,9.650436200420855e-06,4.8929767306405986e-05,3.4315589961274196e-05,0,0
1101271604,1.5571253339482117e-05,1.0126065662593695e-05,5.394494670527119e-05,3.73351406455027e-05,0,0
1101389105,1.6428328514739208e-05,1.0850377520458348e-05,5.693058261316001e-05,3.982272157644342e-05,0,0
1101506606,1.86836831994398e-05,1.0103067872850364e-05,5.216420066537127e-05,3.839959563259913e-05,0,0
1101624107,1.8728606483468275e-05,1.0831689616479947e-05,5.900260330424874e-05,3.883219196157809e-05,0,0
1101741608,1.762483062493948e-05,1.0833287094186734e-05,5.7332347080490656e-05,3.852960009711554e-05,0,0
1101859109,1.7182811595316586e-05,1.1392926439497922e-05,6.380423066364177e-05,3.7836580944585096e-05,0,0
1101976610,1.562453095063204e-05,1.0865661821880134e-05,6.152580632916891e-05,3.669043552685108e-05,0,0
1102094111,1.6673949075828304e-05,9.809066422786104e-06,4.900076702335901e-05,3.994985502039449e-05,0,0
1102211612,1.5181742827371434e-05,1.0953776876833632e-05,5.568095521804453e-05,3.736693251221538e-05,0,0
1102329113,1.6257227744826067e-05,1.0461487917229997e-05,5.198205709307461e-05,3.595463853576253e-05,0,0
1102446614,1.4899947424309765e-05,1.0347546583574948e-05,5.14454334961641e-05,4.323672228910716e-05,0,0
1102564115,1.5801058468156864e-05,1.0416888929666872e-05,5.145714325396783e-05,3.376219008364754e-05,0,0
1102681616,1.555708341589009e-05,1.0559650927434985e-05,5.328804754633291e-05,3.613403614101671e-05,0,0
1102799117,1.5748232189961552e-05,1.0095214016728175e-05,4.6344080485222655e-05,2.4859846712500742e-05,0,0
1102916618,1.5370317019671e-05,1.0073238026601842e-05,4.659928837016241e-05,3.8126716378441594e-05,0,0
1103034119,1.4682674828321225e-05,9.53091343474061e-06,4.7547843065122675e-05,3.498517591663708e-05,0,0
1103151620,1.4204805768190923e-05,9.865947873711231e-06,4.9244323645347926e-05,3.5101620947055806e-05,0,0
1103269121,1.4818611714547175e-05,1.000550308563621e-05,4.8069368389657744e-05,3.3386943219828274e-05,0,0
1103386622,1.6396673202293546e-05,1.0497770828031158e-05,5.4761987601622884e-05,6.157558442444264e-05,0,0
1103504123,2.1255761071485607e-05,1.1376199140726434e-05,6.260869280934766e-05,3.954586858259178e-05,0,0
1103621624,1.6480738493617537e-05,1.013935749382491e-05,5.02721041149044e-05,4.0606844018338405e-05,0,0
1103739125,2.28551433435558e-05,1.1367257606187453e-05,5.616074065334101e-05,4.385405812196163e-05,0,0
1103856626,2.3553429183879367e-05,1.0559463916500013e-05,5.332886746096722e-05,4.060386061851185e-05,0,0
1103974127,1.4728730912730966e-05,1.014904687963353e-05,4.857705660366696e-05,4.9306579445767916e-05,0,0
1104091628,1.4735102407783995e-05,9.694621735061161e-06,4.722002409844073e-05,2.9569682892784564e-05,0,0
1104209129,1.5641809336218684e-05,1.0696219690711553e-05,5.1493619096180716e-05,2.7251341670049834e-05,0,0
1104326630,3.4732642927447574e-05,1.0169277899764505e-05,5.267845732605483e-05,3.676505185550377e-05,0,0
1104444131,1.8140589207691534e-05,1.0590466900356776e-05,5.0711377235633094e-05,5.668824253279353e-05,0,0
1104561632,1.872138580360548e-05,9.769322241345582e-06,5.08247349096212e-05,3.4202693552282664e-05,0,0
1104679133,1.5168958699400903e-05,1.0350951975250041e-05,5.4293374709514885e-05,3.895722036894959e-05,0,0
1104796634,1.4749165631845298e-05,9.305154765353805e-06,4.343611195345945e-05,2.2242251875180894e-05,0,0
1104914135,2.1842793306898283e-05,1.037799883096943e-05,4.5676428218963545e-05,3.4896662755344806e-05,0,0
1105031636,1.6017752022263715e-05,9.912958519570616e-06,4.9686886655842183e-05,3.26561852411673e-05,0,0
1105149137,1.9105480504644023e-05,1.0759766231803165e-05,5.2350374868724216e-05,4.676214351606085e-05,0,0
1105266638,2.1205807998564e-05,1.5505187136613604e-05,6.613130189202999e-05,6.214996458316171e-05,0,0
1105384139,1.4513574092848233e-05,9.866189555656687e-06,4.420311847307782e-05,3.1425883898136065e-05,0,0
1105501640,1.7063272940152707e-05,1.2423744758532768e-05,5.281406389392456e-05,4.663254274021762e-05,0,0
1105619141,1.4240153117193592e-05,1.0148665495960063e-05,3.970641193890324e-05,3.2832734296749165e-05,0,0
1105736642,1.2851769461566613e-05,8.880714801078084e-06,3.7522455223112025e-05,2.6361520464546637e-05,0,0
1105854143,1.4017829558492511e-05,1.099653938590102e-05,3.9051303266369797e-05,2.9643029884845152e-05,0,0
1105971644,1.4227139134634047e-05,1.061148600120623e-05,4.255072667467976e-05,3.419864914680761e-05,0,0
1106089145,1.5855274086114004e-05,1.2052852504454283e-05,4.127834390686263e-05,3.1986682428193085e-05,0,0
1106206646,1.5496724984049206e-05,1.0820332575523695e-05,3.649290224719484e-05,3.0002249654507894e-05,0,0
1106324147,1.5547005998776405e-05,1.0218680141202689e-05,3.401841599961351e-05,2.9781600683254624e-05,0,0
1106441648,1.337840780643139e-05,8.82042477574176e-06,2.5482089726285037e-05,2.0293211804990217e-05,0,0
1106559149,0.0,0.0,0.0,0.0,0,0
1106676650,0.0,0.0,0.0,0.0,0,0
1106794151,0.0,0.0,0.0,0.0,0,0
1106911652,0.0,0.0,0.0,0.0,0,0
1107029153,0.0,0.0,0.0,0.0,0,0
1107146654,0.0,0.0,0.0,0.0,0,0
1107264155,0.0,0.0,0.0,0.0,0,0
1107381656,0.0,0.0,0.0,0.0,0,0
1107499157,0.0,0.0,0.0,0.0,0,0
1107616658,0.0,0.0,0.0,0.0,0,0
1107734159,0.0,0.0,0.0,0.0,0,0
