ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,2.896121618142167e-06,1.835747731972814e-06,4.644869128369901e-06,6.060617620597048e-06,0,0
1096219061,2.765998294053539e-06,1.247998924632276e-06,2.7369978087119476e-06,3.4323823708610985e-06,0,0
1096336562,2.910938498723825e-06,2.302870148738262e-06,5.601643158475961e-06,5.727030311703029e-06,0,0
1096454063,1.2673710460696637e-06,1.1253327717536808e-06,2.4639250622236513e-06,2.4742582992932142e-06,0,0
1096571564,9.307440887413538e-07,9.322192643004576e-07,1.7757068274387799e-06,1.866536155613551e-06,0,0
1096689065,1.2041247546337287e-06,1.0259308704657146e-06,2.111861367974839e-06,2.1876543964304215e-06,0,0
1096806566,8.580623838412702e-07,8.593873252600182e-07,1.8150498026820555e-06,1.743999789875028e-06,0,0
1096924067,1.2050848676763585e-06,9.273451691401456e-07,1.9291996694635816e-06,2.137126871722707e-06,0,0
1097041568,1.0044875403973423e-06,9.341814672681043e-07,1.8478175105699353e-06,1.953544859590172e-06,0,0
1097159069,1.3123569730652474e-06,1.1591665015436003e-06,2.510020150756732e-06,2.519895271641009e-06,0,0
1097276570,1.1278482099438983e-06,1.05327257550422e-06,2.3363450519539247e-06,2.529472132303367e-06,0,0
1097394071,1.1779581360961954e-06,1.0502811200586416e-06,2.176999687202898e-06,2.124749764762573e-06,0,0
1097511572,1.0205304325841047e-06,1.117999434118429e-06,2.166171668554088e-06,2.3940680994183187e-06,0,0
1097629073,1.07337483538741e-06,1.243117319683707e-06,2.577037980090744e-06,2.559749486080866e-06,0,0
1097746574,1.4123330150299632e-06,1.254817746598966e-06,3.7014990868148723e-06,3.5623878433582988e-06,0,0
1097864075,1.2554132738613193e-06,1.3440197583108463e-06,2.487046876018164e-06,2.368490203324294e-06,0,0
1097981576,1.057083142120487e-06,1.2167088759872625e-06,2.7859993706379904e-06,2.4862977395852292e-06,0,0
1098099077,1.1378821693615685e-06,1.2130791488347385e-06,2.473968333993504e-06,2.2953435172103e-06,0,0
1098216578,1.1944078911617192e-06,1.3155766795933902e-06,2.767097551306304e-06,3.155395569576505e-06,0,0
1098334079,1.2354163986255705e-06,1.1553267009321067e-06,2.274711113820725e-06,2.463968840682356e-06,0,0
1098451580,1.170675549960024e-06,1.3314587847573219e-06,2.9469643681612148e-06,3.624867276540667e-06,0,0
1098569081,1.289688080826055e-06,1.292394159002123e-06,2.664405335865085e-06,2.8585143698351755e-06,0,0
1098686582,1.2784665052611683e-06,1.2600114232557864e-06,2.664401941860635e-06,2.88075831859879e-06,0,0
1098804083,1.354055342407871e-06,1.498191392486171e-06,3.081094379041746e-06,3.4591470367728977e-06,0,0
1098921584,1.2331181463917312e-06,1.3136020189986676e-06,2.6567063167378237e-06,2.7825636704579907e-06,0,0
1099039085,1.017721512850441e-06,1.2246740055863085e-06,2.250838438126507e-06,2.528736649250435e-06,0,0
1099156586,1.132982421203126e-06,1.4603982019618794e-06,2.9346914117068586e-06,3.4565616508452403e-06,0,0
1099274087,1.0938349225563089e-06,1.1716624164673447e-06,2.193926183228432e-06,2.239628635649336e-06,0,0
1099391588,1.1628769453326117e-06,1.3022624111265267e-06,2.6125915598794173e-06,2.621221921444611e-06,0,0
1099509089,1.1518731653077505e-06,1.2553869509927556e-06,2.647411548059625e-06,2.9658777976879344e-06,0,0
1099626590,1.0138911682840475e-06,1.2194131655319076e-06,2.7970621573101235e-06,3.1131370834679703e-06,0,0
1099744091,1.1922836668234255e-06,1.3497664616073478e-06,2.8663901685448934e-06,3.479671388228787e-06,0,0
1099861592,1.3294052147672448e-06,1.4921576412961086e-06,3.0588059852308447e-06,3.7221928833179557e-06,0,0
1099979093,1.0890155412276312e-06,1.7418044890215575e-06,2.9200562064126964e-06,3.016263584590822e-06,0,0
1100096594,1.2967203868090239e-06,1.4940497532847868e-06,3.5713557004998456e-06,5.344356528675865e-06,0,0
1100214095,1.0888998483543274e-06,1.201374741524071e-06,2.668627233214423e-06,2.77860545276457e-06,0,0
1100331596,1.1892166889108024e-06,1.3883286211471869e-06,2.907116663527769e-06,3.422936408954527e-06,0,0
1100449097,1.3861717002169054e-06,1.4667616506305492e-06,3.291108908085148e-06,3.8049994223358462e-06,0,0
1100566598,1.2574073050687602e-06,1.6553277759993338e-06,4.060854423417057e-06,4.825581377151853e-06,0,0
1100684099,1.3492498123306395e-06,1.6666491670879127e-06,3.730364556848634e-06,4.574462067809673e-06,0,0
1100801600,1.5787193998176743e-06,1.6679282885131104e-06,4.7299064740927245e-06,5.6935168101504885e-06,0,0
1100919101,1.356742106963444e-06,1.52542338024103e-06,3.7031441494113346e-06,4.2416501117496135e-06,0,0
1101036602,1.1520788543599989e-06,1.3389716050222196e-06,2.9496760331201403e-06,3.346187970899892e-06,0,0
1101154103,1.1390997482915942e-06,1.4558872634592064e-06,2.9985311573978933e-06,3.473114863559999e-06,0,0
1101271604,1.132632198954328e-06,1.3339998931121772e-06,2.8842564127821095e-06,3.0479568715672912e-06,0,0
1101389105,1.4894867402574932e-06,1.2959792364265904e-06,2.915169502409944e-06,3.117265860566666e-06,0,0
1101506606,1.1675760655444486e-06,1.3127800821350796e-06,2.924871152635452e-06,3.0756206621179832e-06,0,0
1101624107,1.3009997389613663e-06,1.8745256006306458e-06,5.048873674401122e-06,5.841160742512856e-06,0,0
1101741608,1.423566971448605e-06,1.6269998895047782e-06,4.005249267879964e-06,4.933591648609024e-06,0,0
1101859109,1.7473820072226028e-06,1.8036761900043603e-06,4.42529661606471e-06,5.46039052007461e-06,0,0
1101976610,1.438075144663817e-06,1.77667229292938e-06,4.836591614466212e-06,5.4854895300968525e-06,0,0
1102094111,1.245577614147394e-06,1.2994679629956915e-06,2.621428315282142e-06,2.8075491895450926e-06,0,0
1102211612,1.5326449830265276e-06,1.7597497209216684e-06,3.7451441932837976e-06,4.614359090631278e-06,0,0
1102329113,1.4683197739414433e-06,1.6710524029969905e-06,4.277586672467273e-06,4.788126131732989e-06,0,0
1102446614,1.368509902079263e-06,1.5969996803217885e-06,3.3421355025486825e-06,4.434643480647421e-06,0,0
1102564115,1.405433609059573e-06,1.4396093979225015e-06,3.7043740410348772e-06,5.3209153949035604e-06,0,0
1102681616,1.4239773886544051e-06,1.6950734911231937e-06,4.835321183825531e-06,5.271685951049675e-06,0,0
1102799117,1.3140341589898216e-06,1.4865962417309254e-06,3.5440168516499433e-06,3.5033614146654564e-06,0,0
1102916618,1.3289541830089263e-06,1.3966424255668704e-06,2.9711530407445826e-06,3.0587202433689793e-06,0,0
1103034119,1.1831088570956713e-06,1.457450618066782e-06,2.9084393831248376e-06,3.212183061038201e-06,0,0
