ts,Dtree,nDtree,HK,HDT,ET,opt
1096101560,1.979322511846414e-06,2.414551505622411e-06,1.3610315672711637e-05,1.5349625315928295e-05,0,0
1096219061,1.4807148735294605e-06,1.4899419296989886e-06,1.4323414757144817e-05,1.252872882151502e-05,0,0
1096336562,2.3898584747932723e-06,2.6520975912389055e-06,2.9947431562747066e-05,2.5085377809727562e-05,0,0
1096454063,1.6108544207407277e-06,1.666236235240408e-06,2.1998270776967273e-05,1.5026444045877894e-05,0,0
1096571564,1.508517490194741e-06,1.5268069324055883e-06,2.1310243751521308e-05,1.4352402209382432e-05,0,0
1096689065,1.5896695556391698e-06,1.5849540179548213e-06,2.1118255019532588e-05,1.5550282949007532e-05,0,0
1096806566,1.5371324860343853e-06,1.6982039070380462e-06,2.0866885646443176e-05,1.5725733155832274e-05,0,0
1096924067,1.6011466517956358e-06,1.6328531277644572e-06,2.374714469972714e-05,1.6005705103180863e-05,0,0
1097041568,1.6575773280448287e-06,1.691281365146298e-06,2.3975574003815982e-05,1.7074025766255624e-05,0,0
1097159069,1.6594031636201627e-06,1.927529233487268e-06,2.3765082026048202e-05,1.7668914473399685e-05,0,0
1097276570,1.6115090659769154e-06,1.6044165574692921e-06,2.290091459280845e-05,1.7045359473372886e-05,0,0
1097394071,1.656978755112944e-06,1.7563997080113515e-06,2.3896734410325413e-05,1.6532577206840115e-05,0,0
1097511572,1.6327734354547694e-06,1.6875375211772952e-06,2.0822998119059176e-05,1.5428300396415264e-05,0,0
1097629073,1.645406292158066e-06,1.8578569951661658e-06,2.1494931715014065e-05,1.5481020292833267e-05,0,0
1097746574,1.8121166482676116e-06,1.931038722845739e-06,2.601552922219385e-05,1.840507558756515e-05,0,0
1097864075,1.7396346137029083e-06,1.8970867656667227e-06,2.3951745667093164e-05,1.747812022211162e-05,0,0
1097981576,1.7572961351639256e-06,1.98622205265007e-06,2.380724784918451e-05,1.7993331658656155e-05,0,0
1098099077,1.6894164156390925e-06,1.9787735497668317e-06,2.4763163696944627e-05,1.7696069296558524e-05,0,0
1098216578,1.7691790604321153e-06,1.989782848350329e-06,2.286335631561721e-05,1.667968714040107e-05,0,0
