ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,0.0,0.0,0.0,0.0,0,0
1082927524,8.756634306272827e-07,1.0109914765336358e-06,3.236968413289931e-06,3.2869682940157925e-06,0,0
1084144326,1.421491274658432e-06,0.0,0.0,0.0,0,0
1085361128,3.5069619485016977e-06,1.7554950086669703e-06,3.0079953113487424e-06,4.358492041906661e-06,0,0
1086577930,5.359962475803817e-07,1.538984250773149e-06,0.0,0.0,0,0
1087794732,0.0,0.0,0.0,0.0,0,0
1089011534,0.0,0.0,0.0,0.0,0,0
1090228336,6.499967194669471e-07,5.649971116286274e-07,1.6783274218429277e-06,2.573991180624238e-06,0,0
1091445138,5.854284301347094e-07,4.798459572533623e-07,1.5685536460468205e-06,1.7931410813363863e-06,0,0
1092661940,6.293318560659418e-07,6.184969604664739e-07,2.3684247622043906e-06,1.4471981717884455e-06,0,0
1093878742,0.0,0.0,0.0,0.0,0,0
1095095544,0.0,0.0,0.0,0.0,0,0
1096312346,4.450582955291681e-07,5.348987650655436e-07,1.735209859274132e-06,1.2295989327147598e-06,0,0
1097529148,4.4528239421150093e-07,5.019284630506641e-07,1.669186881208566e-06,1.1796141801434515e-06,0,0
1098745950,4.697898952068887e-07,5.062019017351481e-07,1.7378635418438971e-06,1.2430181172499139e-06,0,0
1099962752,4.823816203095944e-07,5.456015613864611e-07,1.7198606553165946e-06,1.421673274117208e-06,0,0
1101179554,5.371641632584836e-07,6.051834263261445e-07,2.2673189247156047e-06,1.5592257382058352e-06,0,0
1102396356,4.6414789837487877e-07,5.054697030670525e-07,1.7527149583477168e-06,1.2932124991534022e-06,0,0
1103613158,4.896666076153057e-07,5.441031699263734e-07,1.8229199240933877e-06,1.4276362775793846e-06,0,0
1104829960,4.895453893595037e-07,5.296249156850352e-07,1.5961869401300387e-06,1.5390611935078275e-06,0,0
1106046762,5.277187464274961e-07,5.266364883657398e-07,1.760455670639861e-06,1.3880141976506899e-06,0,0
1107263564,4.962925447595145e-07,5.392819124497546e-07,1.957310697743876e-06,1.5506410206389735e-06,0,0
1108480366,5.033785053467737e-07,5.431783332384167e-07,1.829893802400804e-06,1.4400846642490769e-06,0,0
1109697168,4.857539934035421e-07,5.189130383273116e-07,1.5208303890077545e-06,1.4293284373453929e-06,0,0
1110913970,5.66454374569742e-07,5.779132447288002e-07,1.5928082266712425e-06,1.4979471334729308e-06,0,0
1112130772,5.441690544250401e-07,7.147832837452071e-07,1.927924309936882e-06,1.4161414617771204e-06,0,0
1113347574,5.124747093836925e-07,5.558090822610906e-07,1.8892497871708715e-06,1.4044295783768043e-06,0,0
1114564376,5.012049144543063e-07,5.307349315617082e-07,1.8891131687641975e-06,1.4080651751467371e-06,0,0
1115781178,5.077670439631906e-07,5.420410912751171e-07,2.008954879380815e-06,1.4399334878370028e-06,0,0
1116997980,5.04911694152404e-07,5.624269378937233e-07,1.980834777989418e-06,1.6945622365444824e-06,0,0
1118214782,5.233487309596469e-07,5.378099202672946e-07,2.089533101641644e-06,1.4861867448284082e-06,0,0
1119431584,5.023022641063509e-07,5.504261126486746e-07,2.024191590705908e-06,1.4554813904010018e-06,0,0
1120648386,5.040758753769422e-07,5.545059707064986e-07,2.1672629761696598e-06,1.51657234593749e-06,0,0
1121865188,5.252230543590923e-07,6.262973948478191e-07,2.2464386709511143e-06,1.7067985472345896e-06,0,0
1123081990,5.316267655906631e-07,5.587825842378929e-07,2.254846275762279e-06,1.5484133260639746e-06,0,0
1124298792,5.483167843966089e-07,5.772750048800087e-07,2.359013897156073e-06,1.6775035450018341e-06,0,0
1125515594,5.03433096353558e-07,5.508296806790511e-07,2.1959731054885398e-06,1.5534802550757195e-06,0,0
1126732396,5.456045407536567e-07,5.974608778878012e-07,2.3859405864820527e-06,1.6505744926220232e-06,0,0
1127949198,5.224108041279332e-07,5.501531446423519e-07,2.1811842064805125e-06,1.5809861051477142e-06,0,0
1129166000,5.407565775894562e-07,5.561196736085112e-07,2.280425617606577e-06,1.5786839071957053e-06,0,0
1130382802,5.173735760576648e-07,5.596597796913281e-07,2.3439552193225508e-06,1.5903375309811363e-06,0,0
1131599604,5.247561609636359e-07,5.60070270127826e-07,2.4159966585104023e-06,1.6546944923298655e-06,0,0
1132816406,5.560609664713932e-07,5.841515464174483e-07,2.556903472141286e-06,1.734028113065954e-06,0,0
1134033208,5.388582607871752e-07,6.2363311865909e-07,2.5237327247054626e-06,1.7352675066369148e-06,0,0
1135250010,5.513847607559134e-07,5.683021696904455e-07,2.4081054703167133e-06,1.6865693076340368e-06,0,0
1136466812,5.639650711902713e-07,5.62411747473746e-07,2.424079141551059e-06,1.6812616066994408e-06,0,0
