ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,0.0,0.0,0.0,0.0,0,0
1082927524,1.6111496409170882e-05,1.126325762305301e-05,4.28840311448783e-05,2.2369035542394215e-05,0,0
1084144326,1.7988023168841694e-05,1.1940861556709851e-05,4.8844392186599164e-05,2.2391885652910577e-05,0,0
1085361128,1.777215335690154e-05,1.1683101917828479e-05,5.664298784295095e-05,2.578569002299208e-05,0,0
1086577930,1.5723377657506886e-05,1.0247349974505314e-05,4.278670150221301e-05,1.9582937672263484e-05,0,0
1087794732,1.9280839478696642e-05,1.0002975654790731e-05,4.0347435593609365e-05,1.767739639106106e-05,0,0
1089011534,1.6567994012315054e-05,1.0020282318101726e-05,3.9497771263651765e-05,2.0822849853641228e-05,0,0
1090228336,1.798611758249637e-05,1.11476642041482e-05,5.1072304491045816e-05,3.472645461306663e-05,0,0
1091445138,1.9013329963830187e-05,1.0284014917579955e-05,4.4414868052248285e-05,2.5817086929983005e-05,0,0
1092661940,1.6257578944229844e-05,1.020596689550082e-05,4.0194287721320085e-05,2.2654041387937315e-05,0,0
1093878742,1.517284052914295e-05,9.493170047549567e-06,3.89011660481259e-05,1.8866968828602225e-05,0,0
1095095544,1.2816218438077157e-05,8.565719372677941e-06,2.7705214945599944e-05,9.33405280524221e-06,0,0
1096312346,2.168667198752933e-05,1.1066869875277358e-05,5.525204090599135e-05,2.8555671009216202e-05,0,0
1097529148,1.8142912394060806e-05,1.1917391142841868e-05,5.9640741435008236e-05,3.79459578501296e-05,0,0
1098745950,1.820694659480251e-05,1.1648999327718418e-05,5.8265311518253005e-05,3.80560961522423e-05,0,0
1099962752,1.8798103052359156e-05,1.1499480240925783e-05,5.9464084179757964e-05,4.177755413760815e-05,0,0
1101179554,1.9755728342841445e-05,1.2497879790463219e-05,6.623032110513973e-05,4.18842074536538e-05,0,0
1102396356,2.0221547502089267e-05,1.1490183423033227e-05,5.9231107167587985e-05,3.857295735833071e-05,0,0
1103613158,2.091217366107044e-05,1.176899943421059e-05,5.861741316232373e-05,4.202781704312288e-05,0,0
1104829960,1.88528617805724e-05,1.1396117395809649e-05,5.223187927027653e-05,3.813309803323466e-05,0,0
1106046762,1.9871290424493692e-05,1.1660684511587176e-05,6.30383074869397e-05,4.0259239834897644e-05,0,0
1107263564,1.8238614630116426e-05,1.1248901462972459e-05,5.4852449922836844e-05,3.2783320182292634e-05,0,0
1108480366,2.2256626995301813e-05,1.1785845941711483e-05,5.5774338805574706e-05,3.618019495565251e-05,0,0
1109697168,1.943540884640663e-05,1.0908110448261576e-05,5.091870499201993e-05,3.619787808669918e-05,0,0
1110913970,2.037059734928918e-05,1.1271099688638386e-05,5.3103746465701815e-05,3.8530007603010986e-05,0,0
1112130772,2.27216292871671e-05,1.2382028442856697e-05,6.394378158840117e-05,4.287111640157974e-05,0,0
1113347574,1.922096296481691e-05,1.1747417455992276e-05,6.090854805647017e-05,4.2628586139374246e-05,0,0
1114564376,1.8889638550502447e-05,1.1787827970120929e-05,6.359192035605749e-05,4.128310145852396e-05,0,0
1115781178,1.9353585857808686e-05,1.2006545937915907e-05,6.641969007555412e-05,4.499879552814291e-05,0,0
1116997980,1.8384575737385615e-05,1.1299820317847256e-05,5.4527705621931804e-05,3.340559072113778e-05,0,0
1118214782,2.475941949893795e-05,1.2626308692697701e-05,6.905680151572796e-05,4.063067309192703e-05,0,0
1119431584,1.949183473185956e-05,1.1970794229976717e-05,6.216956128804993e-05,4.837061912638706e-05,0,0
1120648386,2.621255922892143e-05,1.2507963604359222e-05,7.151629228420865e-05,5.613379511241411e-05,0,0
1121865188,2.4352657379021715e-05,1.2199953741861162e-05,6.556018600475415e-05,5.468756850191931e-05,0,0
1123081990,1.7363494470087254e-05,1.1800165115193144e-05,6.606445580556198e-05,4.572714497620006e-05,0,0
1124298792,2.087187517649474e-05,1.2615122050073826e-05,7.24447281502567e-05,5.8029659451169584e-05,0,0
1125515594,2.3407791815286368e-05,1.2545274359441854e-05,6.867361420701901e-05,4.340488230618155e-05,0,0
1126732396,2.8530645558936595e-05,1.268322023498589e-05,7.313079224509091e-05,5.044611580098767e-05,0,0
1127949198,2.106437894309506e-05,1.2795636658404482e-05,7.263810052018135e-05,5.284945644867419e-05,0,0
1129166000,2.0387902424146013e-05,1.3174706884949814e-05,7.531762340419363e-05,6.556187325972947e-05,0,0
1130382802,2.131081444299731e-05,1.292404577900315e-05,8.022303858251896e-05,5.9446659397964873e-05,0,0
1131599604,2.3256508070396083e-05,1.3639556581472894e-05,8.46208649465121e-05,6.745029233655847e-05,0,0
1132816406,2.0872558853037424e-05,1.2870936825698348e-05,7.911827259100196e-05,5.6296161172750165e-05,0,0
1134033208,2.3120923549613324e-05,1.2784328280568824e-05,8.188917053554065e-05,5.9786648691807166e-05,0,0
1135250010,2.2809912947655338e-05,1.3125004013405406e-05,8.331725693995052e-05,5.487078185587617e-05,0,0
1136466812,2.0235726589585358e-05,1.332541306474759e-05,7.883090674336236e-05,5.873167311684749e-05,0,0
1137683614,2.2529976926041653e-05,1.4143923880150814e-05,8.958317729937658e-05,6.420121172933589e-05,0,0
1138900416,2.114751076197862e-05,1.3515132631614879e-05,8.015122972020306e-05,6.229199245499114e-05,0,0
1140117218,2.0668554504696692e-05,1.3526914103461774e-05,8.496410275665806e-05,5.780769732665269e-05,0,0
1141334020,2.0840969509284825e-05,1.3517593152334337e-05,8.516195277531698e-05,5.4919908171211804e-05,0,0
1142550822,2.4985042488765824e-05,1.2992517668368662e-05,7.822543859657696e-05,5.402322130743723e-05,0,0
1143767624,2.068581250931046e-05,1.3418681905904658e-05,8.346438761220214e-05,5.6721744105877814e-05,0,0
1144984426,2.1459626445425863e-05,1.347075444178895e-05,9.088898602611367e-05,5.864282724313755e-05,0,0
1146201228,2.108865070161128e-05,1.3002948633356274e-05,8.319633530310709e-05,5.6729656350224345e-05,0,0
1147418030,1.8850684234689928e-05,1.2782629791153282e-05,7.902724273175294e-05,5.502823914736192e-05,0,0
1148634832,2.1806654144172607e-05,1.3245079783602723e-05,8.738991714283637e-05,5.9641090156119685e-05,0,0
1149851634,2.0237816262464382e-05,1.3092580135667832e-05,8.301073342564164e-05,5.571006212214619e-05,0,0
1151068436,2.1526958076461655e-05,1.3473812657635614e-05,8.975131997069182e-05,5.981359461158779e-05,0,0
1152285238,2.1593808351831254e-05,1.3879263369178939e-05,8.784203582260236e-05,5.8053172460986465e-05,0,0
1153502040,2.0636412790946556e-05,1.3439855652250487e-05,9.1238930328518e-05,5.7086311814184304e-05,0,0
1154718842,2.64293182560903e-05,1.30877275576127e-05,8.516302470569957e-05,5.672217714986302e-05,0,0
1155935644,2.2674467966753883e-05,1.2893718812665679e-05,8.28138241718554e-05,5.631153106107466e-05,0,0
1157152446,2.2706534983255388e-05,1.3344501715451234e-05,8.147986971771012e-05,6.009322478258657e-05,0,0
1158369248,2.7801234789433186e-05,1.2818610869315625e-05,7.672868454085834e-05,5.32166898535654e-05,0,0
1159586050,2.4302320170849572e-05,1.3315657007157699e-05,7.861470384487828e-05,5.674019496039729e-05,0,0
1160802852,2.127384830298559e-05,1.353677206929213e-05,7.32321210925528e-05,6.186980856886014e-05,0,0
1162019654,2.2421257979722428e-05,1.297165972688981e-05,8.390216553346528e-05,5.511341115333658e-05,0,0
1163236456,2.357089515966247e-05,1.2422635134618205e-05,7.032180643464804e-05,5.400638166007702e-05,0,0
1164453258,2.0908398431329105e-05,1.2771732663431223e-05,7.920845782371434e-05,6.227944908472465e-05,0,0
1165670060,2.016150301382926e-05,1.268023485870333e-05,6.533057612912191e-05,5.743156625732477e-05,0,0
1166886862,2.3709241786833142e-05,1.2874109698068884e-05,7.465084753211937e-05,6.019537607814598e-05,0,0
1168103664,2.038236520929485e-05,1.2774344403342366e-05,7.363606160213746e-05,5.551165135064281e-05,0,0
1169320466,2.395047211107646e-05,1.3163941404676525e-05,8.65270342894688e-05,5.798403865297014e-05,0,0
1170537268,2.2500252898351754e-05,1.320641191558462e-05,7.540924211703909e-05,5.344846120027164e-05,0,0
1171754070,2.295473310959761e-05,1.4132299470963535e-05,9.057856918691982e-05,6.130171849560499e-05,0,0
1172970872,2.061762094372815e-05,1.3663919874635713e-05,8.530540210209034e-05,6.30670265048172e-05,0,0
1174187674,2.3614904237059515e-05,1.317867714911406e-05,8.049300301511058e-05,5.7902997808069516e-05,0,0
1175404476,2.0382191136511697e-05,1.3300706504524771e-05,8.238488481149293e-05,5.540255140576824e-05,0,0
1176621278,2.3878807768250042e-05,1.3866404471673511e-05,8.54382964196202e-05,6.094796785333328e-05,0,0
1177838080,2.2570107012929838e-05,1.3194404709055083e-05,7.669478883251325e-05,5.6061023690414076e-05,0,0
1179054882,2.512423070268973e-05,1.3413474876918245e-05,8.359314798468653e-05,6.154191426807463e-05,0,0
1180271684,2.705116063026551e-05,1.3240268838564014e-05,8.793474773954155e-05,5.808650650029575e-05,0,0
1181488486,2.3348028084501735e-05,1.2854437068212217e-05,8.578206171650582e-05,6.530551044422065e-05,0,0
1182705288,2.177321792850737e-05,1.4019850737263131e-05,8.275036245645034e-05,6.846034192147175e-05,0,0
1183922090,3.261510660502152e-05,1.4781592286483833e-05,9.191174357433207e-05,6.595857154389059e-05,0,0
1185138892,2.4420248552246056e-05,1.4458740390956092e-05,9.088156757464452e-05,6.617104182784312e-05,0,0
1186355694,2.495264793770686e-05,1.4497788294215126e-05,8.069204234131686e-05,5.966347082261795e-05,0,0
1187572496,2.0759463339349275e-05,1.3516618227734826e-05,7.56855664889661e-05,5.754123968585379e-05,0,0
1188789298,2.2878951276590425e-05,1.4853895401155647e-05,8.728306139229602e-05,5.536853893390025e-05,0,0
1190006100,2.1353916555666003e-05,1.3867248931659187e-05,8.01764861584237e-05,6.431418995366954e-05,0,0
1191222902,2.3922349206692513e-05,1.6702867522429202e-05,9.214084683178703e-05,7.435484785854544e-05,0,0
1192439704,2.5767057147711357e-05,1.757283384736925e-05,0.0001037814642212838,8.05744296410186e-05,0,0
1193656506,2.6095085155081744e-05,1.740928198297485e-05,0.00010027896345697745,8.001163506818388e-05,0,0
1194873308,2.598649606123046e-05,1.7232280136350217e-05,0.0001056585076565522,8.448717965227378e-05,0,0
1196090110,2.613652788526127e-05,1.7774063464769518e-05,0.00010239934218920362,7.399759438071896e-05,0,0
1197306912,2.7058022347388677e-05,1.5825220752475095e-05,9.150592077127705e-05,7.532338523263394e-05,0,0
1198523714,2.7374925774416775e-05,1.8605705137931808e-05,0.00011797040931612862,9.02874064221075e-05,0,0
1199740516,2.2743592733911634e-05,1.5092790577261666e-05,9.071753081065984e-05,7.124556902734388e-05,0,0
1200957318,2.0386817472518444e-05,1.2649686775199097e-05,6.51692060181228e-05,5.066112606701413e-05,0,0
1202174120,0.0,0.0,0.0,0.0,0,0
