ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,3.928995374762849e-06,1.6202217805355685e-06,3.3864399348000765e-06,4.501772259319453e-06,0,0
1082927524,1.616247826537712e-06,1.4183720401018143e-06,2.8831214308120966e-06,3.684994622182745e-06,0,0
1084144326,2.061957022326729e-06,1.6792078568306336e-06,3.6000826039781246e-06,3.6523316885824744e-06,0,0
1085361128,1.957229133742804e-06,1.9003065626684042e-06,4.093689032282159e-06,4.066611856694095e-06,0,0
1086577930,1.3397469204680482e-06,1.2439964671362294e-06,2.3397429400243515e-06,2.6549930244170766e-06,0,0
1087794732,1.499270887617989e-06,1.3903614765293321e-06,3.129360397684861e-06,3.516814048719227e-06,0,0
1089011534,1.7675434691024195e-06,1.3078181275132522e-06,2.5171794089989823e-06,2.9817244066753483e-06,0,0
1090228336,1.7764733137786642e-06,1.310315756509367e-06,2.5621839523575047e-06,2.8814728015916463e-06,0,0
1091445138,1.5010877149711906e-06,1.2186757832140611e-06,2.2254409682323266e-06,2.6045291623711765e-06,0,0
1092661940,1.406375407367224e-06,1.1777491420278063e-06,2.395824359556004e-06,2.6987495931947345e-06,0,0
1093878742,1.400996688034527e-06,1.3269976556117573e-06,3.20399175774084e-06,3.701740592744444e-06,0,0
1095095544,1.2824867320259787e-06,1.1811532836565791e-06,2.3697425008066963e-06,2.452281502507194e-06,0,0
1096312346,1.5103463069004606e-06,1.689878423802417e-06,3.0771891753503017e-06,2.5223889687823823e-06,0,0
1097529148,1.4658057651642764e-06,1.3972549291103246e-06,2.740463838407866e-06,2.3986362502680235e-06,0,0
1098745950,1.5646263232844183e-06,1.4110425930833e-06,2.7439214065916047e-06,2.4999033761601294e-06,0,0
1099962752,1.543257036566726e-06,1.388141185034718e-06,2.7885322950365897e-06,2.5121974944006905e-06,0,0
1101179554,1.6241501416075597e-06,1.5223005008291327e-06,3.135490075564498e-06,2.7771944136520568e-06,0,0
1102396356,1.6478702596403947e-06,1.4298109457824006e-06,2.664302541614377e-06,2.5010547241083365e-06,0,0
1103613158,1.636291547934543e-06,1.5129941953115992e-06,2.8200236047350727e-06,2.7554288262316107e-06,0,0
1104829960,1.7991957728105101e-06,1.4682235761055148e-06,2.6992868978743633e-06,2.461901979281761e-06,0,0
1106046762,1.743834232561437e-06,1.4234585007201424e-06,2.8310164220188238e-06,2.602811973459747e-06,0,0
1107263564,1.5971094899811961e-06,1.4653559601745158e-06,2.7950474888396085e-06,2.671397282176409e-06,0,0
1108480366,1.4711880217148408e-06,1.420993549401975e-06,2.5111036056140458e-06,2.4391488542743303e-06,0,0
1109697168,1.6739994692886517e-06,1.6265281428466472e-06,2.7793016145440932e-06,2.76537660119677e-06,0,0
1110913970,1.5275383423182465e-06,1.4116010529824152e-06,2.6926873487984085e-06,2.5519566753951895e-06,0,0
1112130772,1.6785516854019962e-06,1.4751166848697277e-06,2.8175931668071588e-06,2.6085740405503683e-06,0,0
