ts,Dtree,nDtree,HK,HDT,ET,opt
1081710722,1.8051161014975988e-06,1.8863715237155986e-06,1.7348531258033978e-05,1.169820663387005e-05,0,0
1082927524,1.7047924100367057e-06,1.7313787499912286e-06,1.6158304234477834e-05,1.0378720801711723e-05,0,0
1084144326,2.255378484759927e-06,2.7471714551503132e-06,2.6455336006510572e-05,1.4596028842379876e-05,0,0
1085361128,1.888712620078926e-06,2.3513326832828403e-06,2.858751056040383e-05,1.4464231145778877e-05,0,0
1086577930,1.7854138842060252e-06,1.612707359839789e-06,1.723360548776779e-05,1.1094338954833916e-05,0,0
1087794732,1.7339498724604498e-06,1.7464992559797612e-06,1.2858692508288218e-05,8.890345372929864e-06,0,0
1089011534,1.762580095901194e-06,1.6382247494111768e-06,1.4788447028416814e-05,1.0069673651001762e-05,0,0
1090228336,1.6723138316778455e-06,1.6327421962500192e-06,1.6110081063166304e-05,1.0610683221766629e-05,0,0
1091445138,1.547531918243303e-06,1.626096874410403e-06,1.4549820809099172e-05,1.066880481330153e-05,0,0
1092661940,1.581550528622831e-06,1.5103466112970002e-06,1.561803806421277e-05,1.0201160743069864e-05,0,0
1093878742,1.5809224922943571e-06,1.6126148602158538e-06,9.86537686836207e-06,9.502300706124153e-06,0,0
1095095544,1.4165315558539519e-06,1.5026836723384757e-06,1.3573137508475913e-05,9.94994832672277e-06,0,0
1096312346,1.831882965721437e-06,1.8655715427830486e-06,2.2294789266400924e-05,1.3783063044514379e-05,0,0
1097529148,1.700223533384489e-06,1.7888940776056895e-06,2.1977867761113975e-05,1.3475916397946278e-05,0,0
1098745950,1.7129718881904721e-06,1.9137256976718004e-06,2.2062449185544544e-05,1.363847768071938e-05,0,0
1099962752,1.7227376822381627e-06,1.832187306887221e-06,2.223324763170759e-05,1.3579123500403035e-05,0,0
1101179554,1.7536755970951001e-06,2.000527392434721e-06,2.264004402427993e-05,1.868777614757575e-05,0,0
1102396356,1.7637998156601826e-06,1.8961155800895273e-06,2.2241576511281892e-05,1.4115377309374709e-05,0,0
1103613158,1.8093329361086638e-06,1.9501165685481825e-06,2.212761344563231e-05,1.4289230646806989e-05,0,0
1104829960,2.416344228926426e-06,1.856568400944753e-06,2.0765048117621634e-05,1.2849032462944894e-05,0,0
1106046762,1.6954038846331554e-06,1.768000193209612e-06,1.9795335006298004e-05,1.3048470500206437e-05,0,0
1107263564,1.7584607276736378e-06,1.9824097016954723e-06,2.229819957715925e-05,1.432620155523154e-05,0,0
1108480366,1.776549056194667e-06,1.8537886642607713e-06,2.0110109877619673e-05,1.2133266077505417e-05,0,0
1109697168,1.819832686752246e-06,1.9349325983418593e-06,2.0732693157140238e-05,1.2836195760869033e-05,0,0
1110913970,1.6708558369191144e-06,1.7540236637746119e-06,2.1921469997111768e-05,1.2614007175634647e-05,0,0
1112130772,1.8294860394717974e-06,1.993192934710992e-06,2.205842912753062e-05,1.3810806312725138e-05,0,0
1113347574,1.7487890954425466e-06,1.914105191924384e-06,2.3270534401804007e-05,1.4068924767061484e-05,0,0
1114564376,1.772208070504331e-06,1.8755830086334103e-06,2.317020578592986e-05,1.3939884096026404e-05,0,0
1115781178,1.7427520267865543e-06,1.9609995620498443e-06,2.2432989149842385e-05,1.464871432595363e-05,0,0
1116997980,1.7480172217350642e-06,1.926457169049969e-06,2.035845559057028e-05,1.281282061135496e-05,0,0
1118214782,1.752082037141132e-06,1.9649403513027884e-06,2.5109371345564432e-05,1.4721237581902038e-05,0,0
1119431584,1.8326295326512182e-06,2.0033268786986428e-06,2.3648918175585077e-05,1.4484813970985019e-05,0,0
1120648386,1.969191185256731e-06,2.2826321670208517e-06,2.5402755379096392e-05,1.6078587171291102e-05,0,0
1121865188,1.951603235242804e-06,2.0920723569971936e-06,2.494248495464966e-05,1.5334379166003627e-05,0,0
1123081990,1.8810777771936028e-06,2.087460867910716e-06,2.3508629588147783e-05,1.5286601719592544e-05,0,0
1124298792,1.928141504233059e-06,2.11836086551147e-06,2.5248340279161524e-05,1.555415056796849e-05,0,0
1125515594,2.0358790931577194e-06,2.2685836859817355e-06,2.471255576711325e-05,1.607927408885129e-05,0,0
1126732396,2.0920214475088796e-06,2.242043256337209e-06,2.5679824013330364e-05,1.6471583622412163e-05,0,0
1127949198,2.143214416406906e-06,2.291434734706905e-06,2.5397290423611762e-05,1.5989453720044055e-05,0,0
1129166000,1.9966171698178573e-06,2.329612928992527e-06,2.637577649373506e-05,1.648799923292264e-05,0,0
1130382802,2.0228487793397106e-06,2.265199840302035e-06,2.718124408709613e-05,1.7309330017443647e-05,0,0
1131599604,1.984183246368423e-06,2.4327728298868946e-06,2.729803816229124e-05,1.7598876666452526e-05,0,0
1132816406,2.1164885656819495e-06,2.3199731097305168e-06,2.638032148297619e-05,1.7745703189102193e-05,0,0
1134033208,2.0082898840112533e-06,2.3019818725800274e-06,2.6361658450058634e-05,1.699293766699155e-05,0,0
1135250010,1.9914900941009657e-06,2.319150573246508e-06,2.661053749326476e-05,1.783709143301743e-05,0,0
1136466812,2.0191123211634147e-06,2.4819474538697237e-06,2.7177811761567966e-05,1.7486482343584397e-05,0,0
1137683614,2.0868469593735617e-06,2.517885118899359e-06,2.7351237513544927e-05,1.7830587806551338e-05,0,0
1138900416,2.064965725689327e-06,2.5668528051811767e-06,2.8100126191792505e-05,1.8807934062266296e-05,0,0
1140117218,2.142155493035418e-06,2.600492975063702e-06,2.8380456480604983e-05,1.9411305832951603e-05,0,0
1141334020,2.082287151817418e-06,2.443181637472566e-06,2.8053515365824324e-05,1.971194354137793e-05,0,0
1142550822,2.190561912577609e-06,2.412763515700828e-06,2.8404994947170484e-05,1.8905258912601532e-05,0,0
1143767624,2.0629640005301963e-06,2.477941322089592e-06,2.765608400972715e-05,1.8060724974704848e-05,0,0
1144984426,2.086170339792847e-06,2.4945238000300688e-06,2.8180644857772955e-05,1.9121353065092908e-05,0,0
1146201228,2.0653301656812483e-06,2.4218585183887675e-06,2.7296929999182733e-05,1.8450798369912794e-05,0,0
1147418030,1.9829070050501143e-06,2.2894428868500784e-06,2.8125745727554305e-05,1.876941289078776e-05,0,0
1148634832,1.956632040491976e-06,2.1371823861046186e-06,2.826168586790541e-05,1.8115097559994516e-05,0,0
1149851634,2.0352937833648364e-06,2.369315660662218e-06,2.8165370459543313e-05,1.9184084728314162e-05,0,0
1151068436,2.1891744185358876e-06,2.4155930875649547e-06,2.9245867098946564e-05,1.9052111702741972e-05,0,0
1152285238,2.1957067696758826e-06,2.5474139988222324e-06,2.838264742852023e-05,1.98508897772497e-05,0,0
1153502040,2.090414107600406e-06,2.4174270082944046e-06,2.7062248371957647e-05,1.8315717825718747e-05,0,0
1154718842,2.085065544271486e-06,2.411141261664951e-06,2.7753530076102742e-05,1.8906313324218704e-05,0,0
1155935644,2.1273018082868127e-06,2.4459395790013072e-06,2.8568112233635148e-05,1.874274262150709e-05,0,0
1157152446,2.036140349300695e-06,2.5220553895265833e-06,2.7061177723145652e-05,1.883661195836295e-05,0,0
1158369248,2.0196906604025155e-06,2.3278777604599283e-06,2.5458480105110282e-05,1.778828540664849e-05,0,0
1159586050,2.0943272598314813e-06,2.3398514680492668e-06,2.9030444118827622e-05,1.9164514456821095e-05,0,0
1160802852,1.9067267641810903e-06,2.158283209050318e-06,2.726241778327801e-05,1.699212734539856e-05,0,0
1162019654,2.0303217655079224e-06,2.384982551285209e-06,2.7665149489006135e-05,1.9270978854506484e-05,0,0
1163236456,2.055495235090147e-06,2.347744082297189e-06,2.7096615615586644e-05,1.8257191038984794e-05,0,0
1164453258,2.0678284393026786e-06,2.4700183970180174e-06,2.874199415389551e-05,1.9008429814204612e-05,0,0
1165670060,1.9606652764495047e-06,2.364112679769754e-06,2.6352480125791393e-05,1.6970681246247126e-05,0,0
1166886862,2.156077510861391e-06,2.403205250436781e-06,2.597877069013905e-05,1.7337264220669548e-05,0,0
1168103664,1.984282723222159e-06,2.4380081711220044e-06,2.5780789985999438e-05,1.622763460625925e-05,0,0
1169320466,1.974730592583812e-06,2.2932183313549814e-06,2.663053824503977e-05,1.843554807162249e-05,0,0
1170537268,2.0230761701479948e-06,2.3734954565177813e-06,2.788153741261444e-05,1.9049510063442444e-05,0,0
1171754070,2.071548988242914e-06,2.6403600566549925e-06,2.8742894176981604e-05,2.0294202105859113e-05,0,0
1172970872,2.216581675005507e-06,2.607213401929938e-06,2.9094080442466137e-05,2.0602544453606193e-05,0,0
1174187674,2.0742823887699934e-06,2.5275765480154344e-06,2.7857653380763418e-05,1.928293032456899e-05,0,0
1175404476,2.0158422042029445e-06,2.4440139006426285e-06,2.8625297391720053e-05,1.9282813305431028e-05,0,0
1176621278,2.0532113965551767e-06,2.5534783976507497e-06,2.657442413310475e-05,1.9165486847373444e-05,0,0
1177838080,2.2070037706991534e-06,2.567686745430127e-06,2.8847934913545313e-05,1.9627425780215393e-05,0,0
1179054882,2.0627240985714314e-06,2.4759330831104634e-06,2.7546686995212756e-05,1.9120826811019403e-05,0,0
1180271684,2.1016506339540053e-06,2.509870243220665e-06,2.8203455434853588e-05,1.814219106531389e-05,0,0
1181488486,2.1694147341610563e-06,2.3436537554338153e-06,2.8178532170570767e-05,2.1240178070915926e-05,0,0
1182705288,2.333396330776653e-06,2.763396202040498e-06,3.064642263930588e-05,2.1387192586890805e-05,0,0
1183922090,2.64601583403257e-06,2.920425184478695e-06,3.147889647183372e-05,2.200337327308853e-05,0,0
1185138892,2.2636385320048605e-06,2.6682857311743574e-06,3.0296330587620984e-05,1.9997818802068806e-05,0,0
1186355694,2.1091504752192533e-06,2.6027505481601846e-06,3.31263236851832e-05,1.9879687693099403e-05,0,0
1187572496,2.0759699345418776e-06,2.6672180029044803e-06,2.7928255201267194e-05,1.9346276870250844e-05,0,0
1188789298,2.268587648267066e-06,2.796587332604789e-06,3.0368154775321145e-05,2.0280164936793053e-05,0,0
1190006100,2.0750798139495474e-06,2.431128989747855e-06,2.9432382740563722e-05,1.849253622211983e-05,0,0
1191222902,2.603710207242957e-06,3.3615612656200422e-06,3.5118169538845614e-05,2.5219738740988524e-05,0,0
1192439704,2.8553705324260864e-06,3.624732955770694e-06,3.654185499091922e-05,2.7966676014457354e-05,0,0
1193656506,2.7168765954526105e-06,3.6108969154686806e-06,3.564935658747644e-05,2.480221311001538e-05,0,0
1194873308,2.5405461126284854e-06,3.2771827479753368e-06,3.503300765697235e-05,2.5072230528793523e-05,0,0
1196090110,3.0414503298072103e-06,4.596507603661598e-06,4.1879646925671165e-05,2.9903532478094164e-05,0,0
1197306912,2.314287562827992e-06,3.1795863768360327e-06,3.0324647284670443e-05,2.262770312019613e-05,0,0
1198523714,2.597904305046777e-06,3.5884846037628495e-06,3.380862665891535e-05,2.4881848781701578e-05,0,0
1199740516,2.6118773484531913e-06,3.218035383359283e-06,3.324725953674893e-05,2.3946651114470372e-05,0,0
1200957318,0.0,0.0,0.0,0.0,0,0
1202174120,0.0,0.0,0.0,0.0,0,0
